reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
14GLUCANtexi,b4036,lamB,946666666666666.8,325913285294799.94,225316441887966.72,364475105714133.3,1216666666666666.8,381389912140800.0,1100000000000000.0,357904884848799.94,193254985476566.7,223809250510299.97,254086868844800.0,573333333333333.4,258638676004799.97,257048186659566.7,130000000000000.0,201934556256766.7,646555037341199.9,92861779259700.0,227574411740800.0,209000653538133.34,173140919122266.66
23PDE2pp,b4213,cpdB,976666666666666.8,6699749287566299.0,2195365605437099.8,5805116926420533.0,933333333333333.4,4120486152176799.5,833333333333333.4,4768222676108000.0,3220093309833900.0,2671458837380899.5,3697083350736000.0,523333333333333.4,3950104926348799.5,2797523755388800.0,350000000000000.0,2964475807111300.0,5709111250950467.0,3369735187604199.5,3259516135074133.0,2391799045436267.0,2763775611388399.5
23PDE4pp,b4213,cpdB,976666666666666.8,6699749287566299.0,2195365605437099.8,5805116926420533.0,933333333333333.4,4120486152176799.5,833333333333333.4,4768222676108000.0,3220093309833900.0,2671458837380899.5,3697083350736000.0,523333333333333.4,3950104926348799.5,2797523755388800.0,350000000000000.0,2964475807111300.0,5709111250950467.0,3369735187604199.5,3259516135074133.0,2391799045436267.0,2763775611388399.5
23PDE7pp,b4213,cpdB,976666666666666.8,6699749287566299.0,2195365605437099.8,5805116926420533.0,933333333333333.4,4120486152176799.5,833333333333333.4,4768222676108000.0,3220093309833900.0,2671458837380899.5,3697083350736000.0,523333333333333.4,3950104926348799.5,2797523755388800.0,350000000000000.0,2964475807111300.0,5709111250950467.0,3369735187604199.5,3259516135074133.0,2391799045436267.0,2763775611388399.5
23PDE9pp,b4213,cpdB,976666666666666.8,6699749287566299.0,2195365605437099.8,5805116926420533.0,933333333333333.4,4120486152176799.5,833333333333333.4,4768222676108000.0,3220093309833900.0,2671458837380899.5,3697083350736000.0,523333333333333.4,3950104926348799.5,2797523755388800.0,350000000000000.0,2964475807111300.0,5709111250950467.0,3369735187604199.5,3259516135074133.0,2391799045436267.0,2763775611388399.5
2AGPA120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPEAT120,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT140,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT141,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT160,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT161,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT180,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT181,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPG120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPGAT120,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT140,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT141,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT160,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT161,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT180,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT181,b2836,aas,,,,,,,,,,,,,,,,,,,,,
