reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
2AGPG160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPGAT120,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT140,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT141,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT160,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT161,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT180,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPGAT181,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2DGULRGx,b3553,ghrB,,,,,,,,,,,,,,,,,,,,,
2DGULRGy,b3553,ghrB,,,,,,,,,,,,,,,,,,,,,
2DGULRx,b3553,ghrB,,,,,,,,,,,,,,,,,,,,,
2DGULRy,b3553,ghrB,,,,,,,,,,,,,,,,,,,,,
3AMACHYD,b1009,rutD,,,,,,,,,,,,,,,,,,,,,
3HCINNMH,b0347,mhpA,,,,,,,,,,,,,,,,,,,,,
3HPPPNH,b0347,mhpA,,,,,,,,,,,,,,,,,,,,,
3KGK,b3580,lyx,,,,,,,,,,,,,,,,,,,,,
3NTD2pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
3NTD4pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
3NTD7pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
3NTD9pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
3OAR100,b1093,fabG,,,,,,,,,,,,,,,,,,,,,
3OAR120,b1093,fabG,,,,,,,,,,,,,,,,,,,,,
