Unnamed: 0,acetate_heinmann,fumarate_heinmann,galactose_heinmann,glucose_heinmann,glucosamine_heinmann,glycerol_heinmann,pyruvate_heinmann,succinate_heinmann,anaerobic_heinmann,Chemostat_heinmann_035,Chemostat_heinmann_05,Chemostat_heinmann_02,Chemostat_heinmann_012,42Cdeg_henimann,pH6_heinmann,NaCl_50mM_heinmann,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
"('DM_4CRSOL', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.0001338,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012265,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014495,0.0001115,0.00014495,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_4CRSOL', 'maximum')",6.467000000128664e-05,0.00010480999999664168,3.791000000392825e-05,0.0001337999999928563,8.697000000044974e-05,0.00010481000000742147,8.9200000002565e-05,8.919999999963896e-05,0.00012264999999335772,7.805000000121742e-05,0.00011150000002824179,4.4600000000449835e-05,2.6760000001818662e-05,0.0001449500000012538,0.00011150000002824179,0.0001449500000012538,2.45299999993287e-05,4.6829999996805816e-05,6.912999999256209e-05,8.920000001086392e-05,0.0001092700000037139
"('DM_5DRIB', 'minimum')",6.524999999999999e-05,0.00010575,3.825e-05,0.000135,8.775e-05,0.00010575,9e-05,9e-05,0.00012375,7.875e-05,0.0001125,4.5e-05,2.7e-05,0.00014625,0.0001125,0.00014625,2.4750000000000002e-05,4.7249999999999997e-05,6.975e-05,9e-05,0.00011025
"('DM_5DRIB', 'maximum')",6.524999999999999e-05,0.00010575,3.825e-05,0.000135,8.775e-05,0.00010575,9e-05,9e-05,0.00012375,7.875e-05,0.00011250000037602907,4.5e-05,2.7e-05,0.00014624999979874433,0.00011250000037602907,0.00014624999979874433,2.4750000000000002e-05,4.7249999999999997e-05,6.975e-05,9e-05,0.00011025
"('DM_AACALD', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AACALD', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'minimum')",0.0,0.0,0.0,1.2e-06,0.0,0.0,0.0,0.0,1.1e-06,0.0,1e-06,0.0,0.0,1.3e-06,1e-06,1.3e-06,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'maximum')",5.8e-07,9.399999999999999e-07,3.4000000000000003e-07,1.1999999943501568e-06,7.800000003110874e-07,9.399999999999999e-07,8e-07,8e-07,1.1e-06,6.999999974555097e-07,1.000000013662293e-06,4e-07,2.4e-07,1.3000000066209968e-06,1.000000013662293e-06,1.3000000066209968e-06,2.1999999851862705e-07,4.200000005505335e-07,6.199999987632751e-07,8.000000073282707e-07,9.800000032922349e-07
"('DM_MTHTHF', 'minimum')",0.0001293400000000229,0.00020962000000010472,7.582000000001463e-05,0.000268799999999906,0.00017394000000004253,0.00020962000000002146,0.00017840000000000217,0.00017840000000000217,0.00024640000000007364,0.00015610000000005134,0.00022400000000007483,8.920000000000943e-05,5.351999999998902e-05,0.0002911999999999311,0.00022400000000007483,0.0002911999999999311,4.906000000000663e-05,9.365999999999052e-05,0.00013825999999997574,0.00017840000000001886,0.00021853999999997195
"('DM_MTHTHF', 'maximum')",0.00013839385521307037,0.00022375525339286514,8.11274324123722e-05,0.0002687999999786379,0.0001888193334699446,0.00022508393084126296,0.00019054083138881944,0.0001905485785526188,0.00024639999991247244,0.00016734819844093813,0.00022400000018159432,9.562754202658305e-05,5.7376525210665175e-05,0.0002911999998611725,0.00022400000018159432,0.0002911999998611725,5.259514808799753e-05,0.00010040891909840248,0.00014822269003286818,0.0001912550840780351,0.00023428747807968127
"('DM_OXAM', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_OXAM', 'maximum')",3.4867586230502567e-06,5.728173921193402e-06,2.0439619564521783e-06,0.0,4.365046405663264e-06,5.651735131978475e-06,4.914989488832844e-06,4.826460146434286e-06,0.0,4.107587680990399e-06,0.0,2.347192967933065e-06,1.408315785884906e-06,0.0,0.0,0.0,1.2909561167839811e-06,2.464552604442005e-06,3.6381490620129853e-06,4.694385937420442e-06,5.750622789957305e-06
"('Ec_biomass_iJO1366_WT_53p95M', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Ec_biomass_iJO1366_WT_53p95M', 'maximum')",4.2948266304465577e-07,7.111040151441816e-07,2.524087729383062e-07,0.0,5.850033670817822e-07,7.016503326486598e-07,5.999620788546919e-07,6.038207850757641e-07,0.0,5.141179404422047e-07,0.0,2.945393088836512e-07,1.7635871636060424e-07,0.0,0.0,0.0,1.6158642907665232e-07,3.08776031237261e-07,4.5543033601639586e-07,5.88561603218074e-07,7.212936348236182e-07
"('Ec_biomass_iJO1366_core_53p95M', 'minimum')",0.29,0.47,0.17,0.6,0.39,0.47,0.4,0.4,0.55,0.35,0.5,0.2,0.12,0.65,0.5,0.65,0.11,0.21,0.31,0.4,0.49
"('Ec_biomass_iJO1366_core_53p95M', 'maximum')",0.29,0.47,0.17,0.6,0.39,0.47,0.4,0.4,0.55,0.35,0.5,0.2,0.12,0.65,0.5,0.65,0.11,0.21,0.31,0.4,0.49
"('EX_12ppd_R_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_12ppd_R_e', 'maximum')",1.5247047818967019e-05,2.380432175264069e-05,8.937924656393648e-06,0.0,2.433804504287096e-05,2.5751970407439373e-05,2.066391844590676e-05,2.0458683482771356e-05,-1.127986593019159e-13,1.910525629988946e-05,3.5837999234900053e-13,1.0917289266609842e-05,6.550373651603714e-06,0.0,3.5837999234900053e-13,0.0,6.004509073564979e-06,1.1463153792634628e-05,1.6921798317692804e-05,2.1834578688650907e-05,2.6747359082923694e-05
"('EX_12ppd_S_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_12ppd_S_e', 'maximum')",1.491259532626632e-05,2.3282160684701125e-05,8.741866292405476e-06,0.0,2.192743884970176e-05,2.4309058584970344e-05,2.0110279819851584e-05,2.0009910868278692e-05,0.0,1.8677500394526092e-05,0.0,1.0672857385707335e-05,6.403714484209955e-06,0.0,0.0,0.0,5.870071548910727e-06,1.1206500282051612e-05,1.6542928891194464e-05,2.1345714891374268e-05,2.614850086635201e-05
"('EX_14glucan_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_14glucan_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_15dap_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_15dap_e', 'maximum')",4.228166727182625e-06,7.227976838664052e-06,2.478580516301898e-06,0.0,5.619255506933429e-06,6.796592713298466e-06,5.711192609392235e-06,6.212102627745075e-06,0.0,5.117342097127331e-06,0.0,2.9241955029624123e-06,1.7545173131017222e-06,0.0,0.0,0.0,1.6083075057155005e-06,3.0704052616653543e-06,4.532503000614918e-06,5.848391022633681e-06,7.164278943205815e-06
"('EX_23camp_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23camp_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23ccmp_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23ccmp_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cgmp_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cgmp_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cump_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cump_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23dappa_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23dappa_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_26dap_M_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
