reactions,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,pyruvate_heinmann,succinate_heinmann,glycerol_heinmann,fumarate_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
UAGPT3,,73031903065396.8,165307151905965,106770719053030,,285586684210000,,275737008701944,123530190494713,,110984554599048,162623903012778,254662037166667,107965343043889,,189225977858280,248714312841538,185301226658161,408680199069583,197437512217381,243760072820000
UAMAS,343333333333333,305559968620635,554965518828070,350789870064848,363333333333333,574171571276389,406666666666667,426925041686945,970509318752874,426666666666667,679224159205397,631221877371111,756631692422609,686312399332222,480000000000000,872099154010538,577798083364103,718492515317471,942224125049583,931059419920952,839717447923333
UHGADA,,45864151164127,176059232019649,256857128126061,,179433941675278,,81514329863333.3,185688435176092,,73149955699365.1,149906976465000,203329093450145,279771458612778,,428035046184731,115002733316667,125696208216092,246158477311250,233496131721905,342467673984762
DPCOAK,,367536874232381,227598679132632,246115919622424,,178080281685000,,365924892996944,173030002621609,,232420744259048,172826595956389,161128680913333,169560915364722,,178440968896129,319050516831795,254195932766437,110835335879167,168321028432619,101267712737619
GMPR,936666666666667,553631856300635,1879877916065260,746728818793333,986666666666667,1654371595448610,1433333333333330,1280394558027780,3468014219611260,2263333333333330,3391150186623180,3370837107468330,3482138659434490,3406939670002780,1826666666666670,3239860394938060,2407822840424870,2533545978212870,3258878061775420,3507083121178570,3211439824534050
NNDPR,1323333333333330,658564743924127,785247179024912,764794975356061,1333333333333330,746454016823889,1186666666666670,721208800716945,982497343647586,1013333333333330,924388049999365,812110298104722,838373991214493,859988719656389,1060000000000000,837467274181290,931896690219744,892701596518621,933251676556458,939027211934286,751466475485714
AGM4PA,,286100688364762,352934077797895,156035892019394,,325464567531389,,555143703906389,665914531420460,,384106685706667,357579655606111,307474575684058,277380114026111,,156802362476989,298300261820769,279650681597241,348409601000833,206399702375952,200372332951667
AM3PA,,286100688364762,352934077797895,156035892019394,,325464567531389,,555143703906389,665914531420460,,384106685706667,357579655606111,307474575684058,277380114026111,,156802362476989,298300261820769,279650681597241,348409601000833,206399702375952,200372332951667
AGM3PA,,286100688364762,352934077797895,156035892019394,,325464567531389,,555143703906389,665914531420460,,384106685706667,357579655606111,307474575684058,277380114026111,,156802362476989,298300261820769,279650681597241,348409601000833,206399702375952,200372332951667
AM4PA,,286100688364762,352934077797895,156035892019394,,325464567531389,,555143703906389,665914531420460,,384106685706667,357579655606111,307474575684058,277380114026111,,156802362476989,298300261820769,279650681597241,348409601000833,206399702375952,200372332951667
HISt2rpp_reverse,1286666666666670,,,,1570000000000000,,1770000000000000,,,1510000000000000,,,,,1353333333333330,,,,,,
HISt2rpp,1286666666666670,,,,1570000000000000,,1770000000000000,,,1510000000000000,,,,,1353333333333330,,,,,,
MICITDr_reverse,30176666666666700,8928760314744130,12376076160917900,11016076081671800,39493333333333300,17727120169513600,31046666666666700,12769360092220000,10034105134118800,20806666666666700,16145619094135900,19327324807263100,11379464629148100,16859202737645800,15466666666666700,9087139090475050,13172706373803600,5797773745214020,9660912662701460,9132189878378570,10144219751508600
MICITDr,30176666666666700,8928760314744130,12376076160917900,11016076081671800,39493333333333300,17727120169513600,31046666666666700,12769360092220000,10034105134118800,20806666666666700,16145619094135900,19327324807263100,11379464629148100,16859202737645800,15466666666666700,9087139090475050,13172706373803600,5797773745214020,9660912662701460,9132189878378570,10144219751508600
ADMDC,,948537629257460,1575269130447370,888490510801515,,1278180012591390,,1277646163183610,2793018186786210,,1746874516867300,2498536076672780,2444945833760870,2299529348631390,,3296531945275270,2351822732201790,2184415248152870,3591805953924790,3506505860910710,3856586433649760
APCS,1060000000000000,749827405544445,1339067552526320,943806469923030,1343333333333330,977305398896944,1366666666666670,1103995068121940,2118112225902990,2040000000000000,1575615913027620,2095396942225830,2006120266520290,2263384880342780,1420000000000000,2011246847540860,1814562299341030,1469934144269660,2464351888718960,2308370216350710,2841630640451430
