,acetate_heinmann,fumarate_heinmann,galactose_heinmann,glucose_heinmann,glucosamine_heinmann,glycerol_heinmann,pyruvate_heinmann,succinate_heinmann,anaerobic_heinmann,Chemostat_heinmann_035,Chemostat_heinmann_05,Chemostat_heinmann_02,Chemostat_heinmann_012,42Cdeg_henimann,pH6_heinmann,NaCl_50mM_heinmann,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
"('DM_4CRSOL', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('DM_4CRSOL', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('DM_5DRIB', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('DM_5DRIB', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('DM_AACALD', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('DM_AACALD', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('DM_AMOB', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('DM_AMOB', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('DM_MTHTHF', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('DM_MTHTHF', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('DM_OXAM', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('DM_OXAM', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('Ec_biomass_iJO1366_WT_53p95M', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('Ec_biomass_iJO1366_WT_53p95M', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('Ec_biomass_iJO1366_core_53p95M', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('Ec_biomass_iJO1366_core_53p95M', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_12ppd_R_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('EX_12ppd_R_e', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_12ppd_S_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('EX_12ppd_S_e', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_14glucan_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('EX_14glucan_e', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_15dap_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('EX_15dap_e', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_23camp_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('EX_23camp_e', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_23ccmp_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
"('EX_23ccmp_e', 'maximum')",,,,,,,,,,,,,,,,,,,,,
"('EX_23cgmp_e', 'minimum')",,,,,,,,,,,,,,,,,,,,,
