Unnamed: 0,acetate_heinmann,fumarate_heinmann,galactose_heinmann,glucose_heinmann,glucosamine_heinmann,glycerol_heinmann,pyruvate_heinmann,succinate_heinmann,anaerobic_heinmann,Chemostat_heinmann_035,Chemostat_heinmann_05,Chemostat_heinmann_02,Chemostat_heinmann_012,42Cdeg_henimann,pH6_heinmann,NaCl_50mM_heinmann,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
"('DM_4CRSOL', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.0001338,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012265,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014495,0.0001115,0.00014495,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_4CRSOL', 'maximum')",6.539017862680095e-05,0.00010593981602373506,3.8359149272172046e-05,0.00013522183257935424,8.791963228418777e-05,0.00010593744063897363,9.016948199244957e-05,9.017124629761848e-05,0.00012396002281684154,7.890706892470954e-05,0.00011269596277201924,4.5118201054418865e-05,2.7097475147776357e-05,0.00014648478718070544,0.00011269596277201924,0.00014648478718070544,2.484489178464668e-05,4.737077165622472e-05,6.989672223830356e-05,9.017004838776829e-05,0.00011044337110757058
"('DM_5DRIB', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.000135,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012375,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014625,0.0001115,0.00014625,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_5DRIB', 'maximum')",0.010505967400435853,0.01830463272002585,0.006545541204935194,0.021019830876961913,0.01439340003822718,0.01670616239554783,0.014197177100930923,0.01564499561565526,0.019933153683365755,0.012664192741996098,0.01767854534280218,0.007649840141240976,0.004975518754171223,0.022691147060588043,0.01767854534280218,0.022691147060588043,0.004641228580777762,0.007984130314614592,0.011327032048465774,0.014335643608929626,0.017344255169378216
"('DM_AACALD', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AACALD', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'minimum')",0.0,0.0,0.0,1.2e-06,0.0,0.0,0.0,0.0,1.1e-06,0.0,1e-06,0.0,0.0,1.3e-06,1e-06,1.3e-06,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'maximum')",5.864589403894356e-07,9.501327782939597e-07,3.4402820658791884e-07,1.2127520490141676e-06,7.885155223013234e-07,9.501115852322758e-07,8.086949144814948e-07,8.087107382594778e-07,1.1117489700135164e-06,7.076868956964743e-07,1.0107260197983325e-06,4.046475380343421e-07,2.430267288607023e-07,1.3137651096471302e-06,1.0107260197983325e-06,1.3137651096471302e-06,2.228241246572351e-07,4.248502290022287e-07,6.268763661379348e-07,8.086999760782777e-07,9.905234059328928e-07
"('DM_MTHTHF', 'minimum')",0.0001293400000000229,0.00020962000000001658,7.582000000001463e-05,0.0002688000000000725,0.00017393999999999613,0.00020962000000002146,0.00017840000000000217,0.0001784,0.00024640000000007364,0.0001561000000000666,0.00022300000000007383,8.91999999999872e-05,5.351999999998902e-05,0.0002911999999999311,0.00022300000000007383,0.0002911999999999311,4.906000000000663e-05,9.365999999999052e-05,0.00013825999999997574,0.00017840000000001886,0.00021854000000006197
"('DM_MTHTHF', 'maximum')",0.06938046459052359,0.10300862164869103,0.04326525164510861,0.14166077481098704,0.10976233457269292,0.10709685782395238,0.08992859856809256,0.08956621709128111,0.1306109204760015,0.08539633173649269,0.11916584715701277,0.051626816316319886,0.03361640809219803,0.15291577306542006,0.11916584715701277,0.15291577306542006,0.031365107064151986,0.05387811734431175,0.07639112762442932,0.09665283687669447,0.11691454612884772
