Unnamed: 0,acetate_heinmann,fumarate_heinmann,galactose_heinmann,glucose_heinmann,glucosamine_heinmann,glycerol_heinmann,pyruvate_heinmann,succinate_heinmann,anaerobic_heinmann,Chemostat_heinmann_035,Chemostat_heinmann_05,Chemostat_heinmann_02,Chemostat_heinmann_012,42Cdeg_henimann,pH6_heinmann,NaCl_50mM_heinmann,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
"('DM_4CRSOL', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.0001338,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012265,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014495,0.0001115,0.00014495,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_4CRSOL', 'maximum')",7.187171423243295e-05,0.00011610816023734091,4.2401447796112964e-05,0.000148018325793537,9.646622259453069e-05,0.0001160844063897249,9.889472069159012e-05,9.891236147388383e-05,0.0001357502281684172,8.66205957259323e-05,0.00012345962772017093,4.978195768536918e-05,3.013471302490312e-05,0.000160297871807057,0.00012345962772017093,0.000160297871807057,2.767887858602295e-05,5.2237657556914824e-05,7.679721147532846e-05,9.890037802591075e-05,0.00012100371107570333
"('DM_5DRIB', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.000135,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012375,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014625,0.0001115,0.00014625,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_5DRIB', 'maximum')",0.10344916682682549,0.18047559241576255,0.06451132163487323,0.20687067173456025,0.1340815684042662,0.16425290786006788,0.13975919294116668,0.15425815755498273,0.1962806164526875,0.12469232076809095,0.17400030106780068,0.07538434046842932,0.049086750975277885,0.2233065304844893,0.17400030106780068,0.2233065304844893,0.045799552288624625,0.07867153915506428,0.11154352602151599,0.14112831420131733,0.17071310238111526
"('DM_AACALD', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AACALD', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'minimum')",0.0,9.399999999999999e-07,0.0,1.2e-06,0.0,9.399999999999999e-07,0.0,0.0,1.1e-06,0.0,1e-06,0.0,0.0,1.3e-06,1e-06,1.3e-06,0.0,0.0,0.0,0.0,9.8e-07
"('DM_AMOB', 'maximum')",6.44588757847532e-07,1.0413277829395102e-06,3.802816629665587e-07,1.3275204901415974e-06,8.541155667767957e-07,1.0329824146720102e-06,8.869482548319963e-07,8.871064722583341e-07,1.2174897001352734e-06,7.768681181708807e-07,1.1072601979830704e-06,4.464749062743242e-07,2.702669291255625e-07,1.437651096471285e-06,1.1072601979830704e-06,1.437651096471285e-06,2.4822479782833244e-07,4.685017607699704e-07,6.887635635542974e-07,8.869988114416042e-07,1.0852340593289012e-06
"('DM_MTHTHF', 'minimum')",0.0001293400000000229,0.00020962000000001658,7.582000000001636e-05,0.0002688000000000725,0.00017393999999999613,0.00020962000000000064,0.00017840000000000217,0.0001784,0.00024640000000007364,0.00015609999999996807,0.00022300000000007383,8.920000000013433e-05,5.352000000000828e-05,0.0002911999999999311,0.00022300000000007383,0.0002911999999999311,4.906000000000663e-05,9.366000000000582e-05,0.00013825999999997574,0.00017840000000001886,0.00021853999999997195
"('DM_MTHTHF', 'maximum')",0.6891129418743726,1.014330488174909,0.4278161766794555,1.409797447295238,0.8894175472837231,1.0298752228390577,0.8763944783208731,0.8834099825844822,1.2990436716153293,0.8484596717408007,1.1860329176315976,0.5108864258502369,0.3308473613752282,1.5215884682028744,1.1860329176315976,1.5215884682028744,0.3083424783158447,0.5333913089096123,0.7584401395032805,0.960984087037669,1.1635280345720964
