,glc,glyc,ac,std
PGPP120,0.0,0.0,0.0,
TMK,-13.608496448575236,-16.693484503906728,-14.185866821752203,
EX_man_e,0.0,0.0,0.0,
ACPS1,0.0,0.0,0.0,
DASYN140,0.0,0.0,0.0,
DASYN141,0.0,0.0,0.0,
HACD1,-13.725623535545763,-13.647730494674253,-15.04428952917482,
AOXSr2,0.0,0.0,0.0,
HACD3,-8.506733740956877,-8.428840700085365,-9.825399734585934,
HACD2,-12.520615367537674,-12.442722326666162,-13.839281361166732,
HACD5,-8.506733740957332,-8.42884070008582,-9.825399734586389,
G1SAT,-7.857560730237401,-7.857560730237401,-7.857560730237401,
HACD7,-8.506733740956877,-8.428840700085365,-9.825399734585934,
HACD6,-8.506733740957332,-8.42884070008582,-9.825399734586389,
EX_acgam_e,0.0,0.0,0.0,
NTPP11,-62.17030733864655,-62.17030733864655,-62.17030733864655,
DMATT,-74.37875545505779,-74.37875545505779,-74.37875545505779,
FADRx,-14.101676153185746,-14.492160210084977,-12.310010328254123,
ACACT5r,34.393691279992204,36.887390712129275,36.76691530531387,
3HAD180,0.0,0.0,0.0,
ASNNpp,-13.52844910444411,-13.164520642186913,-12.296328491463015,
EX_zn2_e,0.0,0.0,0.0,
G3PAT140,0.0,0.0,0.0,
GTHS,-9.689599727189094,-12.629656030696756,-12.084849762562012,
FRD2,-10.623324100108489,-11.050136956440895,-11.65786730387565,
FALDH2,-29.0885808126463,-29.166473853517807,-27.76991481901724,
FDMO6,-97.26495267119431,-104.63701902972409,-97.29279146407639,
DHQS,-147.00039858637606,-147.00039858637606,-147.00039858637606,
DOGULNR,-8.75808996754593,-8.680196926674418,-10.076755961174987,
EX_for_e,0.0,0.0,0.0,
EX_hg2_e,0.0,0.0,0.0,
EX_mal_D_e,0.0,0.0,0.0,
SUCBZS,-12.69969123626197,-12.69969123626197,-12.69969123626197,
RMI,0.17393040890056,0.17393040890056,0.17393040890056,
TYRTA,5.245354336893284,2.7758228210611153,1.8754598739616013,
PGPP140,0.0,0.0,0.0,
EX_akg_e,0.0,0.0,0.0,
EX_dha_e,0.0,0.0,0.0,
EX_dad_2_e,0.0,0.0,0.0,
EX_g1p_e,0.0,0.0,0.0,
MNNH,-37.42863385351603,-37.42863385351603,-37.42863385351603,
EAR80x,0.0,0.0,0.0,
SUCBZL,-42.76255979288984,-47.0159794756468,-45.66774731079445,
EX_inost_e,0.0,0.0,0.0,
ALATA_L,-6.053761090492427,-4.876802446169451,-5.3199512846987105,
NTP12,-47.934578558417144,-47.934578558417144,-47.934578558417144,
ADSK,-28.89836042084305,-31.98334847617454,-29.475730794020016,
ASR,32.514723544175155,35.015542871090084,35.29794109971188,
LPLIPAL2E120,0.0,0.0,0.0,
GLUSy,-34.66667363791834,-29.719960144325047,-33.183085073061086,
PGPP161pp,0.0,0.0,0.0,
AST,-29.61373608733919,-31.15790111213805,-28.428405392734504,
GSPMDA,2.9943343674234155,3.139266119247246,1.1764547052274645,
PLIPA2A141pp,0.0,0.0,0.0,
ALCD19,-27.661549294914593,-27.583656254043085,-28.980215288543654,
EX_ac_e,0.0,0.0,0.0,
EX_26dap_M_e,0.0,0.0,0.0,
FRULYSK,-19.618271132837037,-22.703259188168527,-20.195641506014002,
RMK,-11.513907237433328,-14.59889529276482,-12.091277610610295,
GSPMDS,-55.368563207881095,-58.598483015036415,-54.12805391886211,
PUNP7,10.333449345885924,10.333449345885924,10.333449345885924,
LPLIPAL2A180,0.0,0.0,0.0,
LPLIPAL2A181,0.0,0.0,0.0,
LYSDC,-54.70133656024652,-56.26734389872904,-55.47752149252534,
SERTRS,0.0,0.0,0.0,
PPND,-39.53307914714172,-39.61097218801322,-38.214413153512666,
TDPDRE,-12.336994803474681,-12.336994803474681,-12.336994803474681,
AIRC2,-73.77702649274926,-76.86201454808075,-74.35439686592622,
AIRC3,-38.19031791056182,-38.19031791056182,-38.19031791056182,
TRPAS2,-41.84955342585927,-39.611435147047075,-35.526249466718696,
MI1PP,-33.07779017004113,-32.55982051877754,-32.613104862747434,
ADNCYC,-26.005940419105794,-25.832795595351683,-23.914359251817253,
HISTP,-30.125401914175086,-29.12081081750093,-29.069723925116325,
EX_h2o2_e,0.0,0.0,0.0,
GLYCLTDx,-32.67624579230535,-32.59835275143384,-33.994911785934406,
FFSD,-25.577674264153963,-26.73707611468907,-27.303543402285563,
NO3R1bpp,-57.78698830909386,-57.78698830909386,-57.78698830909386,
MAN6PI,-0.679463882964626,-0.679463882964626,-0.679463882964626,
3OAS100,0.0,0.0,0.0,
CYSDS,-80.03550120240294,-80.03550120240294,-80.03550120240294,
G3PAT180,0.0,0.0,0.0,
EX_galctn_D_e,0.0,0.0,0.0,
AMPTASECG,-10.547585853228583,-10.547585853228583,-10.547585853228583,
DSERDHr,27.418020136669664,29.391031957703937,29.504965892877383,
GLYCL,-28.589197786689834,-28.667090827561342,-27.27053179306078,
PDH,-46.00988450106987,-48.581476974078456,-47.064442532762484,
PSD180,0.0,0.0,0.0,
HISTD,-26.863918775657382,-26.06417727488489,-24.44081687713797,
TRDR,-17.642994211429592,-19.616006032463865,-19.72993996763731,
ASP1DC,-55.62020993907229,-57.57211483593457,-56.98909441832244,
HYPOE,-30.490403195549362,-30.490403195549362,-30.490403195549362,
GALUi,-0.6491496590761159,-0.826803675911683,-1.2847302183070006,
PLIPA1A160pp,0.0,0.0,0.0,
OHPBAT,-3.5892083731088675,-3.861551359856213,-1.6841880313316935,
XYLI1,3.702946108564163,3.702946108564163,3.702946108564163,
SBTPD,3.6674286616734424,3.5895356208019322,4.986094655302497,
EX_fe3hox_e,17.114837534721033,17.114837534721033,17.114837534721033,
UAAGDS,-29.185106371408267,-32.27009442673976,-29.762476744585232,
PHETA1,17.07437245386847,17.19010079615344,15.393591876665965,
EX_dms_e,0.0,0.0,0.0,
SSALy,-13.732509887958468,-10.037787713439002,-10.447015284594674,
EX_xylu_L_e,0.0,0.0,0.0,
3HPPPNH,-412.3506678270176,-412.2727747861461,-413.66933382064667,
4HTHRS,-30.696690563421924,-30.696690563421924,-30.696690563421924,
EX_xmp_e,0.0,0.0,0.0,
THRA2i,-19.576379915681315,-19.576379915681315,-19.576379915681315,
2MAHMP,-42.280587642108884,-42.280587642108884,-42.280587642108884,
EX_met_L_e,0.0,0.0,0.0,
SERD_L,-29.01578616167081,-31.372449958078466,-29.923202980087495,
GLCS1,0.0,0.0,0.0,
ACBIPGT,24.395708923021914,25.86631092941752,27.76515803751638,
LPLIPAL2E160,0.0,0.0,0.0,
EAR60y,0.0,0.0,0.0,
PYDXNK,-18.287980937271527,-21.372968992603017,-18.865351310448492,
PLIPA1E140pp,0.0,0.0,0.0,
ALATA_L2,-17.50539460485351,-16.60077894727788,-14.866564457282621,
AMAOTr,-14.163543609690786,-18.593861142765178,-16.012025376933305,
GUI2,1.385476050672878,1.385476050672878,1.385476050672878,
EX_2ddglcn_e,0.0,0.0,0.0,
ICDHyr,13.999506336896465,16.789335108963186,16.103174045218587,
EX_glyc3p_e,0.0,0.0,0.0,
DASYN120,0.0,0.0,0.0,
NADPHQR2,-91.6056341849291,-93.57864600596338,-93.69257994113681,
ACGK,23.82904883425266,20.74406077892117,23.251678461075695,
UPPRT,-30.933763176344478,-29.639149655960495,-28.442711627992168,
DHORDfum,-52.71511803970653,-54.797087623493276,-55.055914083331515,
EX_mso3_e,0.0,0.0,0.0,
FEENTERR1,0.0,0.0,0.0,
FEENTERR2,0.0,0.0,0.0,
FEENTERR3,0.0,0.0,0.0,
EX_acnam_e,0.0,0.0,0.0,
KAS14,0.0,0.0,0.0,
PRASCSi,-99.24053975433702,-104.27743270653079,-101.18679460676414,
DB4PS,-101.8342196910194,-101.8342196910194,-101.8342196910194,
NDPK8,2.8445209846798036,2.710350434827653,5.948888034335813,
PUNP3,22.695183532221225,12.686826712558863,12.686826712558863,
RPE,-3.373468274872266,-3.373468274872266,-3.373468274872266,
PLIPA1E141pp,0.0,0.0,0.0,
BETALDHx,-50.54157078906839,-50.619463829939896,-49.22290479543933,
BETALDHy,-31.746005358130564,-29.77299353709629,-29.659059601922845,
NDPK2,-6.197733918760068,-11.094508002325005,-9.877489124864212,
NDPK3,12.034152837808213,7.294533031504904,9.314776075812608,
XYLK2,-30.641944163147798,-33.72693221847929,-31.219314536324763,
NDPK1,-4.680734167499491,-0.8816665905798198,0.3975190886638167,
NDPK6,-5.869937077648954,-8.954925132980446,-6.447307450825921,
NDPK7,6.0640437737502415,5.10435016559072,9.011247090112336,
NDPK4,1.421439381289792,-7.051771170111476,-3.9510300617111502,
NDPK5,-4.340646996876044,-7.425635052207536,-4.918017370053011,
MCOATA,0.0,0.0,0.0,
M1PD,-0.772336545642089,-0.8502295865135991,0.5463294479869658,
MOX,-121.50190235975835,-123.28475392090732,-123.1970411682949,
EX_pacald_e,0.0,0.0,0.0,
EX_cbl1_e,0.0,0.0,0.0,
PSSA140,0.0,0.0,0.0,
PTRCTA,16.38283096887327,16.65517395562062,14.4778106270961,
HPPK2,-20.032521026874797,-21.31745608351507,-20.47613191150668,
G3PD2,38.21853609892797,34.16046647712143,33.99413852127443,
ACACT1r,19.81852306144259,21.837437299600047,22.103394478813208,
DTMPK,5.064405546814686,1.9794174914831917,4.487035173637717,
AACPS8,0.0,0.0,0.0,
AACPS9,0.0,0.0,0.0,
G3PD5,-53.38709808600107,-59.41817952884188,-59.69844141986233,
FACOAE120,-27.4859837065867,-24.517499080470003,-25.02440707331397,
AACPS4,0.0,0.0,0.0,
EAR140y,0.0,0.0,0.0,
AACPS6,0.0,0.0,0.0,
AACPS7,0.0,0.0,0.0,
MGSA,-87.8564840652361,-88.78483448494855,-85.54281893224977,
AACPS1,0.0,0.0,0.0,
AACPS3,0.0,0.0,0.0,
EX_amp_e,0.0,0.0,0.0,
EX_fruur_e,0.0,0.0,0.0,
VALTA,-3.818998666949243,-2.1524207090981413,-2.4445749582105156,
XAND,-33.76135934653796,-33.839252387409466,-32.442693352908904,
GPDDA4pp,-265.44836797149196,-258.48893610893873,-261.45068977061703,
EX_o2_e,0.0,0.0,0.0,
GLXCL,-16.4864987799356,-16.4864987799356,-16.4864987799356,
FMNRx,-19.635191947006163,-12.185232547604873,-20.92601914775314,
MCITS,-29.283919976786187,-26.31543535066949,-26.822343343513452,
ALLTAMH,38.21981106842967,38.21981106842967,38.21981106842967,
ADD,24.539517771551438,24.539517771551438,24.539517771551438,
MAN1PT2,-8.531464787950696,-0.17680714930392405,0.49360795588404294,
EX_tsul_e,0.0,0.0,0.0,
3HAD40,0.0,0.0,0.0,
GK1,-0.9358669338107664,-12.375512627789035,-10.538310050822476,
ACCOAL,-5.1233788608393915,-11.176851542287583,-8.16232586728908,
CITL,-30.67735877423619,-31.095142875068987,-36.657214797589404,
CYSS,-49.07188834326388,-49.07188834326388,-49.07188834326388,
2AGPEAT141,0.0,0.0,0.0,
2AGPEAT140,0.0,0.0,0.0,
G3PAT160,0.0,0.0,0.0,
EX_fe2_e,0.0,0.0,0.0,
EX_malthx_e,0.0,0.0,0.0,
ACCOAC,-20.951150420416738,-24.51092366972784,-21.61687340154476,
UDPG4E,-16.43859030242993,-14.44915025736092,-12.700624910271868,
IGPDH,-41.65441257591294,-41.65441257591294,-41.65441257591294,
GHMT2r,-17.058168706377366,-19.41483250278502,-17.96558552479405,
NMNAT,-1.077626277346452,0.260011993323066,0.8945280851224182,
UDPGALM,4.776663830711755,4.776663830711755,4.776663830711755,
TDPDRR,-13.18985739368858,-15.162869214722853,-15.276803149896297,
AKGDH,-56.30219725969485,-55.65274222679995,-56.18558391278488,
EX_leu_L_e,0.0,0.0,0.0,
EX_thm_e,0.0,0.0,0.0,
DATPHs,18.772441288322685,15.821623782843343,15.090703865489711,
PGSA160,0.0,0.0,0.0,
MANPGH,-9.137128751657244,-10.057816231152426,-11.519993733418529,
EX_fecrm_e,0.0,0.0,0.0,
ATPHs,16.025252743318088,16.1983975670722,18.116833910606633,
UHGADA,-24.26485042097275,-24.26485042097275,-24.26485042097275,
UPPDC1,-91.18775319832082,-91.18775319832082,-91.18775319832082,
AMPMS2,-293.0584330732478,-293.1363261141193,-291.73976707961873,
MANptspp,-56.72451747132724,-61.64381796849773,-60.682301174956756,
NAMNPP,-65.94560365880469,-67.73597819375219,-64.03192248362933,
EX_gsn_e,0.0,0.0,0.0,
3HAD160,0.0,0.0,0.0,
EX_agm_e,0.0,0.0,0.0,
EX_tmao_e,0.0,0.0,0.0,
DHQTi,-5.29027515731201,-5.29027515731201,-5.29027515731201,
PAPA181pp,0.0,0.0,0.0,
HSK,-40.04313692264691,-43.1281249779784,-40.62050729582387,
THRD,4.79645590543533,4.718562864563818,6.115121899064388,
ILETA,8.896876757465698,9.169219744213043,6.991856415688526,
EX_co2_e,0.0,0.0,0.0,
ACOTA,-7.515825273300878,-12.739599591282644,-12.53207030181884,
RBFSb,-152.28602620646703,-151.91156113319778,-152.31224472097026,
DAAD,15.884684908389666,15.416307810618921,18.99501672695035,
FALGTHLs,-18.649567346942685,-18.794499098766515,-16.831687684746733,
MTHFD,16.860301334738548,18.83331315577282,18.947247090946266,
EX_ptrc_e,0.0,0.0,0.0,
GLYTRS,0.0,0.0,0.0,
PGPP180pp,0.0,0.0,0.0,
PLIPA1E181pp,0.0,0.0,0.0,
HSTPT,-5.301701498592543,-5.574044485339888,-3.3966811568153705,
GPDDA5,-263.2203564366958,-255.74295492287894,-258.7579929285272,
EX_cit_e,0.0,0.0,0.0,
GAPD,11.234210562731633,11.156317521860123,12.552876556360689,
3OAR100,0.0,0.0,0.0,
ACANTHAT,-19.29539704904842,-16.135944086946115,-16.893529623784048,
MECDPS,1819.0390947614046,1819.0390947614046,1819.0390947614046,
