14GLUCANtexi,b4036
CYANSTpp,b1308
CYNTAH,b0340
CYNTt2pp,b0341
CYSDDS,b1919
CYSSADS,b2810
CYSTRS,b0526
CYTD,b2143
CYTDK2,b2066
CYTDt2rpp,b2406
CYTK1,b0910
CYTK2,b0910
DAAD,b1189
DADA,b1623
DADK,b0474
DADNtex,b0411
DAGK120,b4042
DAGK140,b4042
DAGK141,b4042
DAGK160,b4042
DAGK161,b4042
DAGK180,b4042
DAGK181,b4042
DALAt2pp,b4208
DAPAL,b2871
DAPDC,b2838
DAPE,b3809
DASYN120,b0175
DASYN140,b0175
DASYN141,b0175
DASYN160,b0175
DASYN161,b0175
DASYN180,b0175
DASYN181,b0175
DATPHs,s0001
DB4PS,b3041
DBTS,b0778
DC6PH,b1734
DCTPD,b2065
DCYTD,b2143
DCYTtex,b0411
DDCAtexi,b2344
DDGALK,b3693
DDGLCNt2rpp,b3909
DDGLK,b3526
DDPGALA,b4477
DGK1,b3648
DGSNt2pp,b2964
DHACOAH,b1393
DHAD1,b3771
DHAD2,b3771
DHBD,b0596
DHBS,b0594
DHCIND,b2541
DHCINDO,b0348
DHDPRy,b0031
DHDPS,b2478
DHFS,b2315
DHMPTR,b1606
DHNAOT4,b3930
DHNCOAS,b2262
DHNCOAT,b0736
DHNPA2r,b3058
DHNPTE,b3058
DHORD2,b0945
DHORD5,b0945
DHORTS,b1062
DHPPD,b2541
DHPPDA2,b0414
DHPS2,b3177
DHPTDCs2,s0001
DHPTDNR,b0578
DHPTDNRN,b0578
DHPTPE,b2303
DHQS,b3389
DHQTi,b1693
DINSt2pp,b2964
DKGLCNR2x,b3553
DKGLCNR2y,b3553
DMATT,b0421
DMPPS,b0029
DMQMT,b2232
DMSOtpp,s0001
DOGULNR,b3575
DPCOAK,b0103
DRPA,b4381
DSBCGT,b2893
DSBGGT,b0604
DSERDHr,b1539
DSERt2pp,b4208
DTARTD,b4122
DTMPK,b1098
DURIK1,b1238
DURItex,b0411
DXPRIi,b0173
DXPS,b0420
DXYLK,b3564
EAR100x,b1288
EAR100y,b1288
EAR120x,b1288
EAR120y,b1288
EAR121x,b1288
EAR121y,b1288
EAR140x,b1288
EAR140y,b1288
EAR141x,b1288
EAR141y,b1288
EAR160x,b1288
EAR160y,b1288
EAR161x,b1288
EAR161y,b1288
EAR180x,b1288
EAR180y,b1288
EAR181x,b1288
EAR181y,b1288
EAR40x,b1288
EAR40y,b1288
EAR60x,b1288
EAR60y,b1288
EAR80x,b1288
EAR80y,b1288
ECA4OALpp,b3622
ECAtpp,b3792
EDA,b1850
EDD,b1851
EDTXS1,b1054
EDTXS2,b1855
EDTXS3,b2378
EDTXS4,b1855
EGMEACPR,b1288
ENO,b2779
ENTCS,b0583
ENTERES,b0585
ENTERES2,b0585
EPMEACPR,b1288
ETOHtrpp,s0001
F6PP,b0822
F6Pt6_2pp,b3666
FA100ACPHi,b0404
FA120ACPHi,b0404
FA140ACPHi,b0404
FA141ACPHi,b0404
FA160ACPHi,b0404
FA161ACPHi,b0404
FA80ACPHi,b0404
FACOAE100,b0452
FACOAE120,b0452
FACOAE140,b0452
FACOAE141,b0452
FACOAE160,b0452
FACOAE161,b0452
FACOAE180,b0452
FACOAE181,b0452
FACOAE60,b0452
FACOAE80,b0452
FADRx,b3844
FALDH2,b0356
FALDtpp,s0001
FALGTHLs,s0001
FBA3,b2925
FCI,b2802
FCLK,b2803
FCLT,b0475
FDMO,b0935
FDMO2,b0935
FDMO3,b0935
FDMO4,b0935
FDMO6,b0935
FE2abcpp,b3409
FE2t2pp,b2392
FE2t3pp,b3915
FE2tpp,b3040
FE3HOXexs,s0001
FE3Ri,b3844
FECRMexs,s0001
FEENTERexs,s0001
FEENTERtex,b3035
FEENTERtpp,b0591
FEOXAMR1,b4367
FEOXAMR2,b4367
FEOXAMR3,b4367
FEOXAMexs,s0001
FEROpp,b0123
FESD1s,s0001
FESD2s,s0001
FESR,b4209
FLVRx,b3844
FMETTRS,b3288
FMNAT,b0025
FOMETRi,b2912
FORCT,b2374
FRUK,b2168
FRULYSDG,b3371
FRULYSE,b4474
FRULYSK,b3374
FRULYSt2pp,b3370
FRUURt2rpp,b4321
FTHFD,b1232
FUCtpp,b2801
FUMt2_2pp,b3528
G1PACT,b3730
G1PPpp,b1002
G1SAT,b0154
G2PP,b2533
G2PPpp,b4055
G3PD2,b3608
G3PT,b0822
G5SADs,s0001
G5SD,b0243
G6PDA,b0678
G6PDH2r,b1852
G6PP,b0822
G6Pt6_2pp,b3666
GAL1PPpp,b1002
GALCTD,b3128
GALCTLO,b4358
GALCTND,b4478
GALCTNLt2pp,b4356
GALCTNt2pp,b3691
GALM2pp,b0756
GALS3,b4119
GALT1,b3628
GALURt2rpp,b3093
GALUi,b1236
GALt2pp,b2943
GAM6Pt6_2pp,b3666
GAPD,b1779
GARFT,b2500
GART,b1849
GCALDD,b1415
GDMANE,b2052
GDPMNH,b2051
GDPMNP,b2467
GDPTPDP,b3650
GF6PTA,b3729
GGGABADr,b1300
GGGABAH,b1298
GGPTRCO,b1301
GGPTRCS,b1297
GHBDHx,b3882
GHMT2r,b2551
GK1,b3648
GLBRAN2,b3432
GLCATr,b0459
GLCRAL,b3126
GLCS1,b3429
GLCTR1,b3631
GLCTR2,b3627
GLCTR3,b3626
GLCt2pp,b2943
GLCtexi,b4036
GLDBRAN2,b3431
GLGC,b3430
GLNTRS,b0680
GLTPD,b2091
GLU5K,b0242
GLUABUTt7pp,b1492
GLUCYS,b2688
GLUDy,b1761
GLUNpp,b2957
GLUPRT,b2312
GLUR,b3967
GLUTRR,b1210
GLUTRS,b2400
GLUt2rpp,b4077
GLUt4pp,b3653
GLXCL,b0507
GLYALDtpp,b3927
GLYAT,b3617
GLYC3Pt6pp,b2240
GLYCDx,b3945
GLYCK,b0514
GLYCK2,b3124
GLYCLTt4pp,b4067
GLYK,b3926
GLYOX,b0212
GLYt4pp,b0007
GMAND,b2053
GMHEPAT,b3052
GMHEPK,b3052
GMHEPPA,b0200
GMPR,b0104
GMPS2,b2507
GND,b2029
GOFUCR,b2052
GP4GH,b0049
GPDDA1,b3449
GPDDA1pp,b2239
GPDDA2,b3449
GPDDA2pp,b2239
GPDDA3,b3449
GPDDA3pp,b2239
GPDDA4,b3449
GPDDA4pp,b2239
GPDDA5,b3449
GPDDA5pp,b2239
GRTT,b0421
GSNK,b0477
GSNt2pp,b2964
GSPMDA,b2988
GSPMDS,b2988
GTHOr,b3500
GTHPi,b1710
GTHRDHpp,b3447
GTHS,b2947
GTPCI,b2153
GTPCII2,b1277
GTPDPDP,b3779
GTPDPK,b2784
GTPHs,s0001
GUAD,b2883
GUAt2pp,b3654
GUAtex,b0411
GUI1,b3092
GUI2,b3092
H2St1pp,s0001
H2tpp,s0001
HADPCOADH3,b1395
HBZOPT,b4040
HCINNMt2rpp,b0353
HCYSMT,b0261
HCYSMT2,b0261
HDCAtexi,b2344
HDCEAtexi,b2344
HEMEOS,b0428
HEPK1,b3630
HEPK2,b3625
HEPT1,b3621
HEPT2,b3620
HEPT3,b3632
HEPT4,b3623
HETZK,b2104
HEX1,b2388
HEX7,b0394
HEXt2rpp,b2223
HG2abcpp,b3469
HG2t3pp,b3915
HISTD,b2020
HISTP,b2022
HISTRS,b2514
HISt2rpp,b0112
HKNDDH,b0349
HKNTDH,b0349
HMBS,b3805
HOPNTAL,b0352
HPPK2,b0142
HPPPNDO,b0348
HPPPNt2rpp,b0353
HPYRI,b0508
HSK,b0003
HSST,b4013
HSTPT,b2021
I4FE4SR,b2529
ICDHyr,b1136
ICHORS,b2265
ICHORSi,b0593
ICHORT,b0595
ICL,b4015
ICYSDS,b2530
IDOND,b4267
IDOND2,b4267
IDONt2rpp,b4265
IGPDH,b2022
IGPS,b1262
ILETA,b3770
ILETRS,b0026
ILEt2rpp,b0401
IMPC,b4006
IMPD,b2508
INDOLEt2rpp,b3161
INOSTt4pp,b3679
INSH,b0030
INSK,b0477
INSt2pp,b2964
INSt2rpp,b2406
INStex,b0411
IPDDI,b2889
IPDPS,b0029
IPMD,b0073
IPPS,b0074
K2L4Aabcpp,b0914
KARA1,b3774
KARA2,b3774
KAS15,b1091
KDOCT2,b0918
KDOPP,b3198
KDOPS,b1215
LA4NTpp,b2257
LACZ,b0344
LACZpp,b2132
LADGMDH,b1326
LALDO2x,b3945
LALGP,b0237
LCADi,b1415
LCARS,b2799
LCTStpp,b0343
LDH_D2,b2133
LEUTRS,b0642
LEUt2rpp,b0401
LGTHL,b1651
LIPACabcpp,b0914
LIPAHT2ex,b0622
LIPAHTex,b0622
LIPAMPL,b4386
LIPATPT,b4386
LIPAabcpp,b0914
LIPOCT,b0630
LIPOS,b0628
LPADSS,b0182
LPLIPAL1A120pp,b0494
LPLIPAL1A140pp,b0494
LPLIPAL1A141pp,b0494
LPLIPAL1A160pp,b0494
LPLIPAL1A161pp,b0494
LPLIPAL1A180pp,b0494
LPLIPAL1A181pp,b0494
LPLIPAL1E120pp,b0494
LPLIPAL1E140pp,b0494
LPLIPAL1E141pp,b0494
LPLIPAL1E160pp,b0494
LPLIPAL1E161pp,b0494
LPLIPAL1E180pp,b0494
LPLIPAL1E181pp,b0494
LPLIPAL1G120pp,b0494
LPLIPAL1G140pp,b0494
LPLIPAL1G141pp,b0494
LPLIPAL1G160pp,b0494
LPLIPAL1G161pp,b0494
LPLIPAL1G180pp,b0494
LPLIPAL1G181pp,b0494
LPLIPAL2A120,b3825
LPLIPAL2A140,b3825
LPLIPAL2A141,b3825
LPLIPAL2A160,b3825
LPLIPAL2A161,b3825
LPLIPAL2A180,b3825
LPLIPAL2A181,b3825
LPLIPAL2ATE120,b3825
LPLIPAL2ATE140,b3825
LPLIPAL2ATE141,b3825
LPLIPAL2ATE160,b3825
LPLIPAL2ATE161,b3825
LPLIPAL2ATE180,b3825
LPLIPAL2ATE181,b3825
LPLIPAL2ATG120,b3825
LPLIPAL2ATG140,b3825
LPLIPAL2ATG141,b3825
LPLIPAL2ATG160,b3825
LPLIPAL2ATG161,b3825
LPLIPAL2ATG180,b3825
LPLIPAL2ATG181,b3825
LPLIPAL2E120,b3825
LPLIPAL2E140,b3825
LPLIPAL2E141,b3825
LPLIPAL2E160,b3825
LPLIPAL2E161,b3825
LPLIPAL2E180,b3825
LPLIPAL2E181,b3825
LPLIPAL2G120,b3825
LPLIPAL2G140,b3825
LPLIPAL2G141,b3825
LPLIPAL2G160,b3825
LPLIPAL2G161,b3825
LPLIPAL2G180,b3825
LPLIPAL2G181,b3825
LSERDHr,b1539
LYSt2pp,b2156
LYSt3pp,b2923
LYXI,b3903
LYXt2pp,b3907
M1PD,b3600
MACPD,b2323
MALCOAMT,b0777
MALDDH,b1800
MALDt2_2pp,b3528
MALTATr,b0459
MALTHXtexi,b4036
MALTPTtexi,b4036
MALTTRtexi,b4036
MALTTTRtexi,b4036
MALTtexi,b4036
MALt2_2pp,b3528
MAN1PT2,b2049
MAN6PI,b1613
MAN6Pt6_2pp,b3666
MANAO,b4323
MANPGH,b0732
MCITD,b0334
MCITL2,b0331
MCITS,b0333
MCPST,b2521
MDH,b3236
MDH2,b2210
MDH3,b2210
ME1,b1479
ME2,b2463
MECDPS,b2746
MELIBt2pp,b4120
MELIBt3ipp,b1528
MEOHtrpp,s0001
MEPCT,b2747
METAT,b2942
METOX1s,s0001
METOX2s,s0001
METTRS,b2114
MG2tpp,b3816
MG2uabcpp,b4242
MGSA,b0963
MI1PP,b2533
MICITDr,b0118
MLTG1,b0403
MLTG2,b0403
MLTG3,b0403
MLTG4,b0403
MLTG5,b0403
MLTP1,b3417
MLTP2,b3417
MLTP3,b3417
MMCD,b2919
MMETt2pp,b0260
MMM,b2917
MN2tpp,b3040
MN6PP,b0822
MNNH,b4322
MNt2pp,b2392
MOAT,b3633
MOAT2,b3633
MOAT3C,b3624
MOCDS,b2877
MOCOS,b0827
MOHMT,b0134
MPTAT,b0009
MPTSS,b0826
MTAN,b0159
MTHFC,b0529
MTHFD,b0529
MTHFR2,b3941
MTHTHFSs,s0001
MTRPOX,b1059
N2Otpp,s0001
NACODA,b3957
NADH10,b1109
NADH5,b1109
NADH9,b1109
NADK,b2615
NADPHQR2,b3028
NADPHQR3,b3028
NADPHQR4,b3028
NADS1,b1740
NAMNPP,b0931
NAt3_1p5pp,b1186
NAt3_2pp,b0019
NI2abcpp,b3469
NI2tpp,b3816
NMNPtpp,b0751
NNAM,b1768
NNATr,b0639
NNDMBRT,b1991
NNDPR,b0109
NODOx,b2552
NODOy,b2552
NOVBCNtex,s0001
NOtpp,s0001
NTD10,b2744
NTD11,b2744
NTD4,b2744
NTD7,b2744
NTD9,b2744
NTP11,b4394
NTP12,b4394
NTP3,b4161
NTP3pp,b0980
NTP5,b4161
NTPP10,b2954
NTPP11,b2954
NTPP6,b2781
NTPP8,b2781
NTPP9,b2954
NTPTP1,b0160
NTPTP2,b0160
O16A4Lpp,b3622
O16AT,b2033
O16AUNDtpp,b2037
O16GALFT,b2034
O16GLCT1,b2032
O2tpp,s0001
OAADC,b1850
OCDCAtexi,b2344
OCDCEAtexi,b2344
OCTDPS,b3187
OCTNLL,b4386
OGMEACPD,b0180
OGMEACPR,b1093
OGMEACPS,b1091
OHPBAT,b0907
OHPHM,b2232
OMBZLM,b3833
OMCDC,s0001
OMMBLHX,b0662
OMPDC,b1281
OMPHHX,b2907
OP4ENH,b0350
OPHHX,b3835
OPMEACPD,b0180
OPMEACPR,b1093
OPMEACPS,b2323
OROTt2_2pp,b3528
ORPT,b3642
OXCDC,b2373
OXCOAHDH,b1387
P5CD,b1014
P5CR,b0386
PA120abcpp,b0914
PA140abcpp,b0914
PA141abcpp,b0914
PA160abcpp,b0914
PA161abcpp,b0914
PA180abcpp,b0914
PA181abcpp,b0914
PACCOAL,b1398
PANTS,b0133
PAPA120,b1278
PAPA120pp,b1278
PAPA140,b1278
PAPA140pp,b1278
PAPA141,b1278
PAPA141pp,b1278
PAPA160,b1278
PAPA160pp,b1278
PAPA161,b1278
PAPA161pp,b1278
PAPA180,b1278
PAPA180pp,b1278
PAPA181,b1278
PAPA181pp,b1278
PAPPT3,b0087
PDE1,b1489
PDE4,b1489
PDX5POi,b1638
PDXPP,b0766
PE120abcpp,b0914
PE140abcpp,b0914
PE141abcpp,b0914
PE160abcpp,b0914
PE161abcpp,b0914
PE180abcpp,b0914
PE181abcpp,b0914
PEAMNOpp,b1386
PERD,b2320
PETNT161pp,b3546
PETNT181pp,b3546
PFK_2,b3916
PFK_3,b3916
PG120abcpp,b0914
PG140abcpp,b0914
PG141abcpp,b0914
PG160abcpp,b0914
PG161abcpp,b0914
PG180abcpp,b0914
PG181abcpp,b0914
PGAMT,b3176
PGCD,b2913
PGI,b4025
PGK,b2926
PGL,b0767
PGLYCP,b3385
PGP120abcpp,b0914
PGP140abcpp,b0914
PGP141abcpp,b0914
PGP160abcpp,b0914
PGP161abcpp,b0914
PGP180abcpp,b0914
PGP181abcpp,b0914
PGSA120,b1912
PGSA140,b1912
PGSA141,b1912
PGSA160,b1912
PGSA161,b1912
PGSA180,b1912
PGSA181,b1912
PHYTSpp,b0980
PLIPA1A120pp,b3821
PLIPA1A140pp,b3821
PLIPA1A141pp,b3821
PLIPA1A160pp,b3821
PLIPA1A161pp,b3821
PLIPA1A180pp,b3821
PLIPA1A181pp,b3821
PLIPA1E120pp,b3821
PLIPA1E140pp,b3821
PLIPA1E141pp,b3821
PLIPA1E160pp,b3821
PLIPA1E161pp,b3821
PLIPA1E180pp,b3821
PLIPA1E181pp,b3821
PLIPA1G120pp,b3821
PLIPA1G140pp,b3821
PLIPA1G141pp,b3821
PLIPA1G160pp,b3821
PLIPA1G161pp,b3821
PLIPA1G180pp,b3821
PLIPA1G181pp,b3821
PLIPA2A120pp,b3821
PLIPA2A140pp,b3821
PLIPA2A141pp,b3821
PLIPA2A160pp,b3821
PLIPA2A161pp,b3821
PLIPA2A180pp,b3821
PLIPA2A181pp,b3821
PLIPA2E120pp,b3821
PLIPA2E140pp,b3821
PLIPA2E141pp,b3821
PLIPA2E160pp,b3821
PLIPA2E161pp,b3821
PLIPA2E180pp,b3821
PLIPA2E181pp,b3821
PLIPA2G120pp,b3821
PLIPA2G140pp,b3821
PLIPA2G141pp,b3821
PLIPA2G160pp,b3821
PLIPA2G161pp,b3821
PLIPA2G180pp,b3821
PLIPA2G181pp,b3821
PMANM,b2048
PMEACPE,b3412
PMPK,b2103
PNTK,b3974
PNTOt4pp,b3258
POAACR,b1010
POX,b0871
PPAKr,b3115
PPAt4pp,b1015
PPBNGS,b0369
PPC,b3956
PPCDC,b3639
PPCK,b3403
PPCSCT,b2920
PPGPPDP,b3650
PPK2r,b2501
PPKr,b2501
PPM2,b4383
PPNCL2,b3639
PPND,b2600
PPNDH,b2599
PPPGO,b3850
PPPGO3,b3850
PPPNt2rpp,b2536
PPS,b1702
PPTHpp,b0383
PRAGSr,b4005
PRAIS,b2499
PRAIi,b1262
PRAMPC,b2026
PRASCSi,b2476
PRATPP,b2026
PRFGS,b2557
PRMICI,b2024
PROD2,b1014
PROTRS,b0194
PROt2rpp,b4111
PROt4pp,b1015
PRPPS,b1207
PSCLYSt2pp,b3370
PSCVT,b0908
PSD120,b4160
PSD140,b4160
PSD141,b4160
PSD160,b4160
PSD161,b4160
PSD180,b4160
PSD181,b4160
PSERT,b0907
PSP_L,b4388
PSP_Lpp,b4055
PSSA120,b2585
PSSA140,b2585
PSSA141,b2585
PSSA160,b2585
PSSA161,b2585
PSSA180,b2585
PSSA181,b2585
PTA2,b2297
PTHRpp,b4055
PTPATi,b3634
PTRCORNt7pp,b0692
PTRCTA,b3073
PUNP1,b4384
PUNP2,b4384
PUNP7,b2407
PYAM5PO,b1638
PYDAMK,b2418
PYDXNK,b2418
PYNP2r,b3831
QMO2,b3029
QMO3,b3029
QUINDH,b1692
QULNS,b0750
R15BPK,b4094
R5PP,b0822
R5PPpp,b4055
RBFK,b0025
RBFSa,b0415
RBFSb,b1662
RBK,b3752
RBK_L1,b0063
REPHACCOAI,b1394
RFAMPtex,s0001
RHAT1,b3629
RHCCE,b2687
RMI,b3903
RMK,b3904
RMNtpp,b3907
RMPA,b3902
RZ5PP,b0638
S7PI,b0222
SADH,b1745
SARCOX,b1059
SBTPD,b2705
SDPDS,b2472
SDPTA,b3359
SELCYSS,b3591
SELNPS,b1764
SEPHCHCS,b2264
SERASr,b0586
SERAT,b3607
SERD_D,b2366
SERTRS,b0893
SERTRS2,b0893
SERt4pp,b3089
SGDS,b1744
SGSAD,b1746
SHCHCS3,b2263
SHCHD2,b3368
SHCHF,b3368
SHSL1,b3939
SKMt2pp,b1981
SO2tpp,s0001
SO4t2pp,b1206
SOTA,b1748
SPMDAT1,b1584
SPMDAT2,b1584
SPMS,b0121
SPODMpp,b1646
SSALx,b1525
SUCBZL,b2260
SUCBZS,b2261
SUCCt2_2pp,b3528
SUCTARTtpp,b4123
T2DECAI,b0954
TAGURr,b1521
TARTRt7pp,b3063
TARTt2_3pp,b4123
TAUDO,b0368
TDP,b1134
TDPADGAT,b3790
TDPAGTA,b3791
TDPDRE,b2038
TDPDRR,b2040
TDSK,b0915
THDPS,b0166
THFAT,b2551
THMDt2rpp,b2406
THRD,b3616
THRS,b0004
THRTRS,b1719
THRt2rpp,b3116
THRt4pp,b3089
TMDK1,b1238
TMDPP,b4382
TMDS,b2827
TMK,b1106
TMPK,b0417
TMPPP,b3993
TPI,b3919
TPRDCOAS,b0613
TRE6PH,b4239
TRE6PP,b1897
TRE6PS,b1896
TREH,b3519
TREHpp,b1197
TRPAS2,b3708
TRPTRS,b3384
TTDCAtexi,b2344
TTDCEAtexi,b2344
TYRL,b3991
TYROXDApp,b1386
TYRPpp,b4055
TYRTRS,b1637
U23GAAT,b0179
UAAGDS,b0085
UACGALPpp,b0480
UACGAMPpp,b0480
UACMAMO,b3787
UAG2E,b3786
UAGCVT,b3189
UAGDP,b3730
UAGPT3,b0090
UAMAGS,b0088
UAMAS,b0091
UAPGR,b3972
UDCPDPS,b0174
UDPG4E,b0759
UDPGALM,b2036
UDPGALPpp,b0480
UDPGD,b2028
UDPGDC,b2255
UDPGPpp,b0480
UDPKAAT,b2253
UGLCURPpp,b0480
UGLT,b0758
UGLYCH,b0505
UGMDDS,b0086
UHGADA,b0096
ULA4NFT,b2255
UM3PL,b4233
UM4PCP,b1192
UM4PL,b4233
UPLA4FNF,b2256
UPLA4FNT,b2254
UPP3S,b3804
UPPDC1,b3997
UPPRT,b2498
URACPAH,b1011
URAt2pp,b2497
URAt2rpp,b1006
URDGLYCD,b0517
UREAtpp,b3927
URIK2,b2066
URIt2rpp,b2406
URItex,b0411
USHD,b0524
VALTA,b3770
VALTRS,b4258
VPAMTr,b3572
WCOS,b0827
X5PL3E,b4197
XPPT,b0238
XTSNH,b0030
