bnumber,reaction,gene_name,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b3588,ALDD3y,aldB,859500624499200.0,430289570400666.6,275913111042866.62,369352459041066.8,375686761435433.4,641827936500099.9,340099399207533.4,782968261450833.4,818115902047999.9,790281343440733.1,1135583293847566.5,1148996575761600.0,685074176912799.9,471776487462000.0,710957829594466.6,442795685542400.0,1.859e+16,9076666666666668.0,2260000000000000.0,876666666666666.8,240000000000000.0
b4090,ALLPI_reverse,rpiB,1159877531029333.2,189856465005200.0,677772667158466.6,203141156483066.62,599973674455966.8,661180000049799.9,1913028987177533.2,638196297554666.8,602939549760800.0,693340170152366.6,985502403727166.8,518959307721600.0,883717108390399.9,469387977991100.0,797427016701333.2,3112992916646399.5,,,,,
b3945,APPLDHr_reverse,gldA,928296582854400.0,2138010495233200.0,931165231902900.0,1737537601377200.2,1087334928144933.6,551395379588200.0,521005403153733.25,409097979272700.0,542201267807200.0,730797593279733.4,1106626963141833.4,1567300110177600.0,707498961300799.9,681605191800399.9,69347212303599.99,755025802811199.9,220000000000000.0,,,,
b3223,AMANAPEr_reverse,nanE,536989067574400.0,489670034529200.0,467079390015266.6,644115017327599.9,537034341942766.7,1306966066271599.8,859304268269200.0,551470416194266.8,1062019749996000.0,844068136224733.4,1299466002336633.2,1141384121881600.0,910174541964800.0,673252588600900.0,1255477674005866.5,1081558650181600.0,,,,,
b3222,AMANK,nanK,884774060109866.5,463702720846400.0,636986605925866.6,885460215373066.6,150869377534233.38,250630657268600.0,308429299535066.7,131810640651133.34,243301821576800.0,688201451263166.6,314499619668666.7,509294550700800.0,352764237655199.94,114251445403899.98,137597408355733.34,114440536401600.0,,,,,
b0774,AMAOTr_reverse,bioA,1143983196243199.8,803659011155466.8,760041747810833.2,838655850809466.8,172777313232666.7,87173977146200.0,260141546009800.0,176283375005933.34,283507382054400.0,484419796709866.7,799912244853966.8,574239652004800.0,564453645948000.0,270374905635800.0,34761726905400.0,91410270729599.98,,,,,
b3833,OMBZLM,ubiE,1.0533703010589866e+16,8838349303315467.0,1.32310149926291e+16,9644047357784934.0,7843547956654867.0,4501315037701298.5,7591906529024134.0,3746784283411533.0,5982237990576799.0,7011323364311966.0,8063651708177600.0,6903012099477599.0,6981697742007199.0,3402048426621599.5,4405563925444733.0,4846749072195200.0,2226666666666666.8,2463333333333333.0,2253333333333333.0,2196666666666666.8,2223333333333333.2
b3994,AMPMS2,thiC,,,,,,,,,,,,,,,,,1406666666666666.8,2220000000000000.0,3020000000000000.0,3500000000000000.0,3893333333333333.5
b1982,AMPN,amn,4870792541483733.0,3710232132178134.5,3930661578319500.0,3683088059678533.0,1407322235924100.0,1319016572753599.8,2347016532659933.0,1744574028864933.5,2047074530704800.0,2331628821028333.0,3888315733926967.0,2510294260738399.5,2352297791891200.0,1513288243623100.0,1427208100062800.0,1606063762894400.0,606666666666666.8,676666666666666.8,720000000000000.0,640000000000000.0,620000000000000.0
b1640,ANHMK,anmK,1422018505372800.0,1939874754603333.2,1415918168425633.2,2648263588521600.5,353205862654666.6,645589989697099.9,1356507705329399.8,496898203307800.0,843851921154399.9,1614382440365733.0,1942841877445866.8,1017772021236800.0,1471391491172799.8,962855381118400.0,172125878074333.34,1052926525694400.0,550000000000000.0,550000000000000.0,366666666666666.7,233333333333333.3,246666666666666.7
b1263,ANPRT,trpGD,1.6419496571466664e+16,1.1266555449170934e+16,1.0037559992775466e+16,1.1796972924449068e+16,5659846327981034.0,1583933341711699.8,5945784509886000.0,3267060800482233.0,2927931189737600.0,6185421098789134.0,9020483323097668.0,4847101861220799.0,5094668955367199.0,4353139723820300.0,2428702331122466.5,2639457248705599.5,726666666666666.8,626666666666666.8,646666666666666.8,1070000000000000.0,1060000000000000.0
b0776,AOXSr2,bioF,2246868403965866.5,970350820726000.0,1096048304349500.0,894679755414666.6,493524811753966.7,1254770191143699.8,781562485626866.6,442108927455933.4,434809680960800.0,803306150632666.6,2207006608038732.8,340226231374399.94,1511773855638399.8,1031724764969500.0,120017147266866.69,2261694288280799.5,,,,,
b0049,GP4GH,apaH,1068972954779733.4,767279442175866.8,1357763544942399.8,786041667847333.4,830855446090766.8,568004524352999.9,835691141068333.4,358034993949366.6,616269602757599.9,566965294050099.9,816599234496033.4,673732886573599.9,618584304598399.9,460805087775200.0,502738231522266.5,549829817864800.0,316666666666666.7,303333333333333.4,270000000000000.0,236666666666666.7,233333333333333.3
b4129,AP4AS,lysU,2920441105508266.5,2131057391920800.0,3068187318537966.5,2394483349064800.0,2103605210800733.2,1027343194840900.0,1137605453376599.8,788072792593666.8,762477969020800.0,1229075125369299.8,2428159035599767.0,1200879609324800.0,980136139570400.0,706882871435999.9,1224007976746133.2,1412295512122399.8,313333333333333.4,323333333333333.4,313333333333333.4,266666666666666.7,240000000000000.0
b0121,SPMS,speE,1.2617481670241066e+16,1.11391921105696e+16,9664041102433832.0,9048811248094800.0,6181073076653900.0,1653369429225499.8,6133220571772667.0,2417016932310000.0,2814639548823200.0,5306188104946166.0,8906661909922067.0,6518548455387199.0,6034743193610400.0,3474233088225899.5,2284011657213733.0,3179505796191199.5,1060000000000000.0,1343333333333333.5,1366666666666666.8,2040000000000000.0,1420000000000000.0
b0968,APH181,yccX,3247422710635733.0,3081433245877467.0,4386414281547633.0,2779651040700799.5,3426990695706600.5,5278393970110799.0,2964102143873866.5,2440568249559533.0,3555584057565599.5,2328047149056667.0,4210577216628233.5,2248859611704800.0,1974235661048800.0,1462352700771199.8,3200639305572133.0,3426245231111199.5,770000000000000.0,490000000000000.0,363333333333333.4,286666666666666.7,250000000000000.0
b0414,DHPPDA2,ribD,1261193294382933.2,1082133080884800.0,1192823585799066.8,860080779992933.1,518259572468700.0,450911553971200.0,765926069135066.6,292286824885433.4,614552522936799.9,726290900027033.2,929536309786466.8,687066175106400.0,693786323214399.9,428051684746000.0,264637278686733.3,372499910313600.0,173333333333333.34,140000000000000.0,160000000000000.0,106666666666666.69,126666666666666.69
b0062,ARAI_reverse,araA,,,,,,,,,,,,,,,,,293333333333333.4,,,,
b2938,ARGDCpp,speA,7676862318115198.0,5719483794796800.0,5614350392662667.0,5875251908170400.0,1234358272712600.0,288811226130000.0,964665006473133.4,849966534094833.2,1127645314411199.8,3048043359118499.5,5236668044791767.0,2979668294929600.0,2172913941713600.0,1163381695704199.8,549804851428800.0,715772456825599.9,1526666666666666.8,2176666666666666.8,2956666666666667.0,3180000000000000.0,3256666666666667.0
