bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b0032,9.05187690587424e+16,6.3987766497928936e+16,8.333502272934427e+16,5.767023672300894e+16,5.463481554819666e+16,9660710998904698.0,3.48349109189146e+16,1.6091641204909734e+16,2.4037717521611996e+16,3.3494828665853436e+16,6.211287141940956e+16,3.3746355796204796e+16,3.512899646584e+16,2.5504533297043496e+16,1.2196058870995998e+16,1.8696243028212e+16,3240000000000000.0,3710000000000000.0,4966666666666667.0,8660000000000000.0,7530000000000000.0
b0033,2.3673635327435732e+16,1.7941895362334538e+16,1.3380795194803068e+16,1.4442830755873332e+16,5341348091969533.0,864285871509199.8,4752342255740734.0,1501613022929933.5,2341216198992800.0,5312332630692067.0,1.1543945436817802e+16,4819118375858400.0,6364323665385599.0,3556397939295599.5,1181069754507866.8,2396664151742399.5,2923333333333333.5,3983333333333333.5,4870000000000000.0,6330000000000000.0,6906666666666667.0
b0036,633353360388266.8,,193245474448199.97,70624413577200.0,189975225129933.34,75192026689499.98,243796758926933.34,58373816414899.99,94451271236000.0,89822354987533.31,103370706024699.98,128465494596799.98,176713877034399.97,67123371467599.99,260013923659599.97,285573180092799.94,,,,,
b0046,484241658357333.4,126684147680533.34,78500347940399.98,92870708641200.0,137908284279400.0,41893086246899.99,184504372220133.34,97256222775533.33,171479574200000.0,254159145069100.06,248983945928133.34,49046484476799.99,253771658964800.0,74555576728499.98,104925100477999.98,111678758067199.98,,,,,
b0048,4427165288805333.5,3519083776198666.5,4441846800371132.5,3570557607246000.0,3952127428651600.0,5591392477741699.0,4647667845800199.0,2555318502202966.5,4267309691147198.5,3573975120218599.5,4800021408114834.0,4076737142691199.5,3797741485322400.0,2345628855380300.0,4379845039504733.5,3815415345907198.5,1320000000000000.0,1416666666666666.8,1050000000000000.0,903333333333333.4,803333333333333.4
b0049,1068972954779733.4,767279442175866.8,1357763544942399.8,786041667847333.4,830855446090766.8,568004524352999.9,835691141068333.4,358034993949366.6,616269602757599.9,566965294050099.9,816599234496033.4,673732886573599.9,618584304598399.9,460805087775199.94,502738231522266.5,549829817864800.0,316666666666666.7,303333333333333.4,270000000000000.0,236666666666666.7,233333333333333.34
b0051,2038337143061333.5,1827741290179466.8,2633270562657633.0,1640429410110400.2,1282834911631033.2,379887587790899.94,949109994801800.0,459722244857266.8,765762377546400.0,934615006560166.6,1766914367814233.5,1070504888903999.9,959469885572799.9,573121786506499.9,400409284190666.7,566805829301600.0,800000000000000.0,776666666666666.8,783333333333333.4,726666666666666.8,1080000000000000.0
b0052,1113026226908800.0,827375703515199.9,801920757706933.2,826672131574800.1,690441172494099.9,307704714156000.0,538039526004933.25,285046155871600.0,529240617428000.0,641085241573633.4,855905913688266.8,673455057589599.9,574543168902399.9,374726613538199.94,346298629621266.7,365354668044799.94,,,,,
b0053,2.4535534082261336e+16,1.97469478068408e+16,2.5397678247534868e+16,1.9775078215574268e+16,2.516833534279193e+16,2.23696871721939e+16,2.0582271259237996e+16,1.20139410995481e+16,1.6114435232668798e+16,1.2808776647624968e+16,2.234456535531157e+16,1.4504004772468798e+16,1.6070138813107198e+16,1.2687246415001198e+16,1.9791677054217936e+16,1.81238643864672e+16,6713333333333334.0,5973333333333334.0,5080000000000000.0,4530000000000000.0,4790000000000000.0
b0054,1442805892588799.8,1055186270163200.2,1205924217238233.5,1182558819753733.5,740980592541766.6,601928581803499.9,642335095509466.8,405004778287500.0,536301202112799.94,618718867049500.0,1210858420885766.8,647846213573600.0,621540529396800.0,609542028010999.9,405289914740333.3,495911262418399.94,263333333333333.34,220000000000000.0,206666666666666.7,180000000000000.0,106666666666666.67
b0058,1260287106820266.5,1119582844311866.5,1338248155311633.5,1363614727663066.5,1367422830442433.5,443864210948200.0,633391062841333.4,421373327203633.4,501015847991200.0,851651283922133.2,731286605742633.2,788257555437600.0,655672005516799.9,395406588145799.94,892612863224133.1,1017546119265599.9,,,,,
b0059,894116516531199.9,651846742447599.9,439724473662733.25,620958530753866.8,256019278426766.7,109804669460499.98,231582331556333.38,91548385357233.34,131141570543199.98,282963312409733.3,616921163403366.6,294400842324800.0,242561301787999.97,122355470108899.98,210974831229799.97,256505162934399.97,313333333333333.4,273333333333333.34,326666666666666.7,326666666666666.7,370000000000000.0
b0062,,,,,,,,,,,,,,,,,293333333333333.4,,,,
b0068,1178174686060800.0,915605100089866.8,392332632058733.25,440966473752000.06,662409553046266.8,260546034996799.97,448622321003133.25,230214305727300.03,397762109295200.0,652374108540333.2,795289664194066.6,790622935346399.9,796054858515200.0,398019230884099.94,140680843370466.64,700286331134400.0,2120000000000000.0,2336666666666667.0,2723333333333333.5,2936666666666667.0,3390000000000000.0
b0071,4.714366412014933e+16,4.09877425706644e+16,5.2419951246765496e+16,3.9301138915089336e+16,5.028503520206434e+16,4.4378707077249304e+16,3.96700521513296e+16,1.98351464093383e+16,4.243046513638079e+16,2.6276962378497532e+16,4.51151350226743e+16,3.50504756457384e+16,3.2554339856412e+16,1.81997262544594e+16,4.842147298960473e+16,4.32113805246976e+16,2.4976666666666668e+16,3.424e+16,2.7056666666666668e+16,2.322e+16,2.2303333333333336e+16
b0072,3.1876111785665068e+16,2.71801901766304e+16,2.6450232877614736e+16,2.4487955468348404e+16,1.9824957443472296e+16,1.54795610115594e+16,1.8473591490223132e+16,6979099609752434.0,1.6982176899855998e+16,1.3452651454031866e+16,2.2620640025456668e+16,1.6314061599828e+16,1.8666980759108796e+16,8584344888578899.0,1.5179993151909668e+16,1.59761013069632e+16,1.5023333333333334e+16,1.8296666666666668e+16,1.606e+16,1.2703333333333334e+16,1.1376666666666668e+16
b0073,5.630832450561919e+16,4.395379511834081e+16,4.239383721334949e+16,4.844492497291347e+16,4.330129764084898e+16,2.7250842863740996e+16,3.0802004559322536e+16,2.23392011045811e+16,3.07368218276152e+16,2.5120446822652664e+16,4.173010338724907e+16,2.6236013422738396e+16,2.7466664861440796e+16,1.4961274409045998e+16,2.4004596317808332e+16,2.0902690309721596e+16,1.3253333333333334e+16,1.8573333333333336e+16,1.6063333333333334e+16,1.166e+16,1.082e+16
b0074,2.8317039324996264e+16,2.1372819503780264e+16,2.2211429999406332e+16,2.3742872242064264e+16,1.733136567361097e+16,1.1870707613104198e+16,1.53757725113174e+16,1.1213106983092734e+16,1.9208147025696796e+16,1.5058976163670564e+16,2.15048359422344e+16,1.3899238233558398e+16,1.4242465360488002e+16,6751146771536299.0,1.0368860027057398e+16,1.18197281692552e+16,1.679e+16,2.0146666666666668e+16,1.499e+16,1.099e+16,8576666666666667.0
b0077,6595200648362667.0,4416024883875733.5,5727638189727267.0,5665363129087200.0,2383339673356533.5,788355015787499.9,3213871888963666.5,1352627966458900.2,2026495390592000.0,3110198904085533.5,4474027231842000.0,2920474950086400.0,3103969208920800.0,1925705317952499.8,972279278737799.9,1814675299017600.0,2643333333333333.5,3140000000000000.0,2606666666666667.0,2363333333333333.5,2470000000000000.0
b0078,1.6281176330495998e+16,1.13074206084756e+16,1.4066893349716666e+16,1.3030317170361866e+16,1.69014649666867e+16,5994676751512400.0,1.1075913766477734e+16,4976636404112600.0,7818047425415999.0,7660211846366734.0,1.2567478147685568e+16,7512282984051999.0,7099998027478399.0,6409178751737999.0,8002788403978134.0,8238171695337600.0,3440000000000000.0,3170000000000000.0,3160000000000000.0,2836666666666667.0,3323333333333333.5
b0080,1039211855523199.9,751104902120533.5,783355750461466.5,735695722859066.6,350135447220933.4,252544338906299.97,514921030174199.94,315064802299566.7,517305738762400.0,638633743723100.0,799893740495299.9,921655347075199.9,738277706039199.9,262245610386900.0,214737625164333.3,358008305683999.94,1376666666666666.8,1430000000000000.0,1100000000000000.0,776666666666666.8,586666666666666.8
b0081,903859146962133.2,726539956699199.9,1080456224332366.5,761849500367200.0,678489301715233.4,1521286099620699.8,1387199388962399.8,929221636013866.6,1910049669093600.0,888211183873100.0,977038186619599.9,627356110919999.9,724364977523200.0,674442652942799.9,1622016495486933.0,1618770687165600.0,,,,,
b0082,6189995404905599.0,4058821818567600.0,6005674125099299.0,4724907844918799.0,5082522240805999.0,2121819214099899.8,3397723043115267.0,2126465312279900.5,3491412785540799.5,2736841036527333.5,4902991576590167.0,3134294686971999.5,2828808275837599.5,1801328751184199.8,1879929892910666.2,2278850540328000.0,676666666666666.8,803333333333333.4,540000000000000.0,523333333333333.4,573333333333333.4
b0084,134446016543999.98,58752642213066.67,96562577372733.31,64413117594000.0,50583637665233.336,,35254843796466.67,,,180946852524033.3,51282490661066.67,59277113288000.0,62782891117600.0,488298650606199.94,,203730917955200.0,,,,,
b0085,3689025024865067.0,2731015416743600.0,3640413305928000.5,3065840249218133.0,3017769134611233.5,752490614827699.9,1733915879613666.2,667600622608533.2,1174768406131999.8,1626329778825099.8,2463861525670499.5,1846087539926400.0,1473479084943200.2,911791094620700.0,818342406197066.5,1156619658111199.8,303333333333333.4,503333333333333.4,363333333333333.4,393333333333333.4,480000000000000.0
b0086,1543434755875199.8,896784715802266.5,1248745330405433.2,1218211856512000.0,338907724587366.7,64748915141400.0,284550207928999.94,195647907874800.0,323988953166400.0,580683371989999.9,977735741043766.8,700142900229600.0,476653644010399.94,210651673035299.97,105328500732399.98,155638204636000.0,430000000000000.0,406666666666666.7,410000000000000.0,483333333333333.4,516666666666666.7
b0088,7767268493982932.0,5328226094362266.0,8950129744124700.0,6217253179810399.0,6116273878768400.0,3301284660368799.5,5390153970067533.0,3369733251999166.5,6037333397933599.0,5266735503216167.0,6759990618128934.0,6777939347585600.0,5042218548460000.0,3120354203171799.5,3490688023965999.5,2877464573979199.5,320000000000000.0,290000000000000.0,246666666666666.7,330000000000000.0,260000000000000.0
b0090,2092442619236266.2,955539485454400.0,909230823609033.2,773955047892133.4,779191658097566.8,161035346259199.97,840654377404399.9,298379409190266.7,822489650524799.9,673581088305833.4,519444451030266.7,310940187966400.0,468356840676799.94,244720942890899.97,258385140108333.28,794122585061599.9,,,,,
b0091,4824187520253866.0,3291692395859467.0,4190436435020632.5,3649752926090133.5,3021261026909967.0,673759730808499.9,1952957521770666.8,1001712761484666.8,1653614125276000.0,2001290826457800.0,4080991685355833.5,1976579710076799.8,1817919006828799.8,1497689271047900.0,848911485556933.1,1229544120058399.8,343333333333333.4,363333333333333.4,406666666666666.7,426666666666666.7,480000000000000.0
b0092,5487433897387734.0,3889085001377333.5,5160817478923066.0,4484615985361867.0,3714449627202466.5,1084931642350499.9,2914518498237666.5,1399878332322967.0,2594321841613599.5,2322049180023000.0,4209350279256467.5,2227940887867200.0,2246667791457600.0,1588056069320699.8,1155894897167999.8,1403276231208800.0,340000000000000.0,356666666666666.7,343333333333333.4,353333333333333.4,413333333333333.4
b0094,9035405052965334.0,6315110628049066.0,8104024296546267.0,7542054055340934.0,3990864107158867.0,1512954458511999.8,4402178283711000.0,2185482471688567.2,3706632822167200.0,4646896819229966.0,7985565136540869.0,4645627874986400.0,4726528258862399.0,3188548765249399.5,2264901806213933.0,3062728670751199.5,1236666666666666.8,1290000000000000.0,1360000000000000.0,1023333333333333.4,1126666666666666.8
b0095,4.374636971014827e+16,3.2208563738001468e+16,4.287221993428689e+16,3.502458158502706e+16,4.29513519991278e+16,1.6998494254478094e+16,2.943283004507473e+16,1.3610841079103736e+16,2.1382548458495196e+16,2.0742409086560868e+16,3.712077906511856e+16,2.2700091720257596e+16,2.2527244102338396e+16,1.5318842434500498e+16,1.8052769555419132e+16,2.0949025232086396e+16,8163333333333334.0,7890000000000000.0,7390000000000000.0,6980000000000000.0,7093333333333334.0
b0096,1260331403833600.0,1342473282020266.8,2056708396917633.0,915304836349866.6,528552555548666.7,101130453316899.98,388709238610333.4,317786913795466.75,516769752024800.0,537805452175633.25,780819869915466.8,805741800804799.9,431732092219199.94,161295652317099.97,621594250065066.6,234761270006400.0,,,,,
b0098,4509425010023467.0,3030988684452400.5,2686020602442233.0,3285902505169199.5,1373765512113366.8,404272055940199.9,1076677229838600.0,543733795737300.1,764466507237599.9,1781227921084533.2,2838166403212667.0,1659064296329599.8,1499511859205599.8,799456038740799.9,465145629891066.75,600054145640000.0,2466666666666667.0,2480000000000000.0,2283333333333333.5,2063333333333333.5,2133333333333333.5
b0099,38588244365866.664,,,181996674222533.3,,,35334249116400.01,,,,,,,145349216786900.0,135533520301666.64,51541969460799.99,,,,,
b0101,6203361673993600.0,4707451809011467.0,5669106554701366.0,3863052267413732.5,6216532510955067.0,2353697301926599.5,4294489376408399.5,1395901697889433.5,2901454543499199.5,1043034205653900.0,4696836819177534.0,3074797598704000.0,2971333304717600.0,2274176134659099.5,2153624057369400.0,2703431075381599.5,,,,,
b0102,629678959520000.0,359755359578533.3,541249383133433.25,616789663395733.4,357173815577799.94,188828213343000.0,135427506697600.0,118680832538066.67,244119962560800.0,294242594650066.6,247117964663666.7,306259491438400.0,176433929443199.97,67042329185299.99,916503888863199.9,316945402558399.94,593333333333333.4,593333333333333.4,483333333333333.4,476666666666666.7,516666666666666.7
b0103,567476919701333.2,396969433931466.6,857408855545899.9,659818431455866.8,1068893897282866.8,810418807682399.9,1078390746891466.8,410815615834400.0,512871211252799.94,426185361015766.7,727591161023866.8,488335436250399.94,497740596354399.94,512487741091199.94,595600525486266.6,1053863691831199.9,,,,,
