bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b0675,8933252993522134.0,6736208472233334.0,9202815461783232.0,7716753778209467.0,8071800190395167.0,3434990189179499.5,5613980009185599.0,3006399093447267.0,4170253884596000.0,4609607967490232.0,7267686485792567.0,4705289313983999.0,4763194700935999.0,3863876295591899.5,4177607687783932.5,5179578796295199.0,1976666666666666.8,1940000000000000.0,1756666666666666.8,1590000000000000.0,1653333333333333.5
b0676,178603651461333.34,214228613582666.7,139763255251900.0,336677569067466.7,249103498414600.0,36354517926999.99,193390846451399.97,41555572505633.336,53507362119200.0,306947161841866.6,176247403853400.0,124520928064000.0,187772636612799.97,101192777982799.97,84110021688733.33,156675797723199.97,136666666666666.67,143333333333333.34,160000000000000.0,110000000000000.0,90000000000000.0
b0677,1707300275351466.2,1060470536878666.8,982413343473266.8,1220236667709733.5,1490575248745533.2,332621369943799.94,838807866652600.1,448810345027933.4,502894837124800.0,700874586926366.6,1205618023447700.0,798973790109600.0,783586409110399.9,584422131267099.9,335009204018133.3,702650067590399.9,833333333333333.4,,486666666666666.7,,
b0678,1.8682550022610132e+16,1.3888975648342668e+16,2.0803852398317964e+16,1.515468067172267e+16,1.3601732174070266e+16,9286560412472700.0,1.4703485916107732e+16,2.6581809683356504e+16,1.52414598356208e+16,1.37920698645621e+16,1.26407610273433e+16,1.1709455139746398e+16,1.2256355971691998e+16,7561673446861799.0,8697300020873934.0,9216962162901598.0,5370000000000000.0,4606666666666667.0,4023333333333333.5,3233333333333333.5,2540000000000000.0
b0679,,,,,,,,,,,,,,,,,2983333333333333.5,3286666666666667.0,2173333333333333.5,1350000000000000.0,643333333333333.4
b0680,1.563738388206293e+16,1.1239123711610666e+16,1.1897879741563498e+16,1.1623948482712532e+16,9017122862558300.0,2911506409850499.5,6904888079199934.0,2365206798955900.0,4306397133636799.5,5989987329178966.0,1.0961944806401534e+16,6806957046403199.0,6875031632315199.0,4928124163596899.0,2860526884117466.0,4290492013168800.0,4006666666666667.0,4310000000000000.0,4716666666666667.0,4750000000000000.0,4783333333333334.0
b0683,3.4077913093581868e+16,2.6596870957975736e+16,3.3650094637765896e+16,2.4200095560098268e+16,3.3005178462757936e+16,2.3601592905897296e+16,2.8974369206075796e+16,1.4971697952244934e+16,2.32546465694872e+16,1.924724325024737e+16,2.5114302350842868e+16,2.0696890862108e+16,2.02247578583136e+16,1.4794140166027598e+16,2.0794382793231664e+16,2.7320846902958396e+16,1.0756666666666668e+16,9560000000000000.0,8353333333333334.0,7023333333333334.0,7046666666666667.0
b0684,2.3102518290725332e+16,1.6478880871464668e+16,2.2955091700696732e+16,1.8173814471932e+16,2.6675856374349132e+16,1.4837139491141798e+16,1.81100603038524e+16,1.0744879910086934e+16,1.65657974808096e+16,1.40336041925796e+16,2.2921808831151804e+16,1.3226269097888798e+16,1.4309787650122398e+16,1.5210221206853398e+16,1.9889022537175732e+16,1.7790951298668e+16,896666666666666.8,810000000000000.0,656666666666666.8,630000000000000.0,653333333333333.4
b0685,376467937413333.3,57987589687999.99,146490253837266.7,45064502726133.336,82711035554699.98,,40008070439999.99,,,,64089516746900.0,116595557072799.98,81168582344800.0,69208435485699.99,,191609366368800.0,,,,,
b0686,7972976383326934.0,5536018326434400.0,8262925035211800.0,6464017222528133.0,6305554625136834.0,3158429311922499.5,6361848330861399.0,3138280290989799.5,5145906936777599.0,4896020792683300.0,7479650714863299.0,6202799199008001.0,6084172443163199.0,3813702809966699.5,3849394666380999.5,4236457180293599.5,2086666666666666.8,2146666666666666.8,1950000000000000.0,1993333333333333.5,1670000000000000.0
b0687,1.17920250935456e+16,9477092525304134.0,1.1201683950822932e+16,9630808079056268.0,1.13438418503327e+16,4733119849317999.0,7600131867170267.0,3591587405039933.0,5876855359155199.0,5498365035171899.0,9705996437652168.0,5644420182147199.0,5595374811014399.0,4074325282643700.0,5044078198977399.0,5865701509431999.0,1740000000000000.0,1673333333333333.5,1376666666666666.8,1230000000000000.0,1386666666666666.8
b0688,1.38980170690112e+16,9661154134592800.0,1.1974455765947464e+16,1.0544120708650666e+16,7133447697785934.0,3306266854949799.5,7738899535515200.0,3983839232818933.5,6803329786004000.0,7639754141918334.0,1.0780855798839166e+16,8662239215237599.0,8100112121376000.0,5520206532272599.0,4186449106345732.5,4477928278172800.0,5643333333333334.0,5560000000000000.0,5163333333333334.0,4273333333333333.5,3950000000000000.0
b0694,630234991125333.4,698569294319866.8,851729699483233.2,397588688965066.7,129239163398199.98,191700315188899.97,211149479944866.62,205480346734066.7,276965301117600.0,198890802805466.62,677969114301266.8,117133490277600.02,203539133712799.97,147400691896499.97,138093256743200.0,426461729675999.94,,,,,
b0707,427797780572800.0,839938480082800.1,1340834631164566.5,658476193692799.9,402791079999800.06,53620422667699.99,194965212540799.97,197009293649900.0,235799182553600.0,263486019741399.97,319865730633533.4,454467836072799.94,113641236045599.98,41403322938599.99,37255756996333.33,90131719696000.0,,,,,
b0710,2661118013907199.5,2487859372541199.5,2761322685452166.5,1696284598820000.2,729036613768766.6,1408352373825599.8,1703615786213467.0,814841560736499.9,2107164071239200.0,1119049667232466.5,1677016406297700.0,889234790711199.9,1039475524487200.0,789255503419599.9,1300881706356466.5,1266169305402400.0,3000000000000000.0,3013333333333333.5,2543333333333333.5,2433333333333333.5,1883333333333333.5
b0711,3042047002985599.5,2619718044430667.0,2983130505662699.5,2918142108185733.5,2362219746802000.0,1266039397359799.8,2773394054026267.0,1293619320563899.8,2054280751897599.8,2415834066728400.0,2444091163309633.0,2231913863792800.0,2064319164801599.8,1618053168953899.8,1716662055573666.0,1229220453154399.8,,,,,
b0712,1312928132939733.5,614077239098400.0,1179013593696866.5,945574934185466.8,621710843302533.2,323863267783999.94,804951167373599.9,372856201941500.0,665500765229599.9,662320320148566.8,685853748704333.4,631548186022399.9,655667346564800.0,368283571492899.94,341919244825399.94,477861920612799.94,320000000000000.0,316666666666666.7,306666666666666.7,256666666666666.7,226666666666666.7
b0713,762896209122133.2,681174894203066.8,938142232598466.6,739406859317466.8,594701806184066.8,375047018237499.94,683885799095200.0,296423546397900.0,590001923554399.9,567574810271999.9,865462102567800.0,657719796808799.9,548642433818399.94,457158425199699.94,435021973858266.6,670398047204800.0,,,,,
b0714,232530145377066.62,61586688223200.0,125623809584333.31,140020938887200.0,104761693857033.34,,59173119323933.32,,51021458054399.984,69026127443400.0,165075107531700.0,84870678164799.98,85237696873599.98,34903122619399.996,51574515912333.336,73725677128799.98,,,,,
b0720,4.058902545682133e+16,3.39960419686552e+16,3.2288531363530836e+16,2.8030774789552264e+16,9449082611303466.0,5750489898898500.0,1.9443148119711336e+16,1.1897003211531836e+16,3.453539451753121e+16,3.1107271754300468e+16,2.9837624023042532e+16,4.113290735262319e+16,2.74987613928504e+16,1.6820088942122898e+16,7793987237456200.0,9663124404924000.0,2.7773333333333336e+16,3.556e+16,2.9313333333333336e+16,2.428e+16,1.548e+16
b0722,,,,,,,,,,,,,,,,,1026666666666666.8,2123333333333333.5,2070000000000000.0,1523333333333333.5,716666666666666.8
b0723,2.1862487837715196e+16,1.74618155903128e+16,1.8839090656424136e+16,1.4812417963669202e+16,9806581317861034.0,8669451470205400.0,2.3058796666086132e+16,5472071160625899.0,2.01309424050984e+16,1.3395290681268166e+16,1.9584686857912796e+16,2.14154105638824e+16,2.52086019831872e+16,1.8302692702480896e+16,1.1484120263974598e+16,1.5822685411393598e+16,9800000000000000.0,1.4323333333333334e+16,1.609e+16,1.3663333333333334e+16,8253333333333334.0
b0724,1.6918400410877868e+16,1.3708085520943332e+16,1.6926281801338764e+16,1.1982193944952936e+16,1.4918783161955868e+16,2.1927260081587696e+16,2.9078582791895e+16,9082682713938768.0,3.16632660789992e+16,1.4477260063109968e+16,1.8514255909559e+16,2.13375423618944e+16,2.3054160976824796e+16,2.2640453878442396e+16,2.6296700020314536e+16,3.0517598457576e+16,1.017e+16,1.3833333333333334e+16,1.4743333333333334e+16,1.518e+16,7703333333333334.0
b0726,1.3363805252196266e+16,1.0050132778084e+16,1.0805235969023764e+16,9153941921839868.0,4272470904389032.5,2094295995537199.8,7450469628227600.0,1749800670264167.0,6489334730972801.0,5748621277929834.0,1.1055527317148334e+16,8213505225136799.0,9888429288530400.0,7984676579850599.0,2707322923199399.5,4284419811815999.5,6813333333333334.0,9686666666666668.0,1.0603333333333334e+16,1.061e+16,7083333333333334.0
b0727,4960775763333333.0,3833052566666400.0,4751279742238300.0,4188121127349599.5,2495486285688367.0,1211340694511500.0,3042703817267399.5,2189794467705766.2,5898263734330399.0,2611027841391867.0,7888615773929234.0,3291103178083200.0,5217851311393599.0,4580977921203600.0,1110950727137533.1,1478684717547999.8,1.1833333333333334e+16,1.5503333333333334e+16,1.772e+16,1.6566666666666668e+16,1.36e+16
b0728,4.16553396301056e+16,3.2259026267910396e+16,3.990088052984406e+16,3.1586414413748136e+16,2.4528906050224536e+16,1.4945903148009396e+16,3.955370894171319e+16,1.4687586321069036e+16,5.19718994231736e+16,3.3783797749738628e+16,4.234610530338507e+16,4.96557758621728e+16,5.13214223404928e+16,3.91252397411561e+16,1.8898475125419996e+16,2.5970265176348e+16,2.5116666666666668e+16,3.4983333333333336e+16,3.526e+16,3.2776666666666668e+16,1.9486666666666668e+16
b0729,6.365268358834026e+16,4.909355140131307e+16,6.408691875881787e+16,4.5717220356338536e+16,6.195996066385487e+16,5.35557818679905e+16,7.902879110589234e+16,2.8504768378953964e+16,1.0150663133130638e+17,4.555716013969e+16,6.0549540237458e+16,7.06583145507944e+16,7.95712172190448e+16,6.072907794747011e+16,5.275687038637766e+16,6.598604611372879e+16,2.141e+16,3.3563333333333336e+16,3.2543333333333336e+16,2.942e+16,1.8543333333333336e+16
b0730,571220763007999.9,294766959243866.7,257195907325800.0,409096311749999.94,285106855757799.94,126573006690199.95,190770062781133.34,68391672852266.67,239906218899200.0,183095149208366.62,336184317039466.7,153572922604800.0,137424878857600.0,187188885937899.97,,190027250897599.97,,,,,
b0732,,,,,,,,,,,,,,485971893693999.94,104310307672266.67,263625461021599.97,,,,,
b0733,,,80421373603166.67,,,,,,,,,43561426738400.0,,,,,4093333333333333.5,4270000000000000.0,3783333333333333.5,2690000000000000.0,2310000000000000.0
b0734,,,,,,,,,,,,,,,,,2230000000000000.0,2326666666666667.0,1860000000000000.0,1326666666666666.8,1070000000000000.0
b0736,2061296469981866.8,1053101445179466.8,1699041512717833.5,1582958748285599.8,1328597194044633.5,317075174171000.0,779658804823600.0,397424035427166.7,485818036636800.0,758871163983533.1,1495274341509033.5,1076702648570399.9,814137449953600.0,425855119227299.94,434683645779533.3,748018375688799.9,,,,,
b0737,,,,,,,,,,,,,,,,,453333333333333.4,573333333333333.4,500000000000000.0,496666666666666.7,616666666666666.8
b0740,3.4093440066336e+16,2.4958824340280132e+16,3.405317664574457e+16,2.7280718467502264e+16,3.723940542963103e+16,1.8433260682987496e+16,2.4710142191255732e+16,1.1730416318850268e+16,1.72593060659752e+16,1.5877499050393898e+16,3.0011186294783436e+16,1.80919867135472e+16,1.8479048273259196e+16,1.4243148955322e+16,1.7766328378856198e+16,1.66112766093856e+16,8016666666666667.0,7880000000000000.0,7656666666666667.0,7003333333333334.0,8363333333333334.0
b0741,2289351260921599.5,1410908612377600.0,708835314108833.2,562710280510933.44,397476812835666.7,260591334313799.97,783460206444933.2,192365121125433.34,402388687509600.0,991701221628566.5,1560547097845766.5,1051990681594399.9,623802982424000.0,787143267106699.9,621354986292333.2,1586203139073599.8,306666666666666.7,316666666666666.7,340000000000000.0,340000000000000.0,356666666666666.7
b0742,1.71537460016128e+16,1.2434697863144666e+16,1.7161825349944034e+16,1.37211435531604e+16,1.5706738772250264e+16,1.0137302672578898e+16,1.1582978633144532e+16,6070135952902234.0,7976515705694399.0,8045292536784134.0,1.5675257336637538e+16,8563876713181600.0,9308532793288000.0,8552426524156200.0,9466457924412132.0,8097974186988800.0,2360000000000000.0,2246666666666666.8,2370000000000000.0,2150000000000000.0,2373333333333333.5
b0750,2460054559513599.5,1627934358301066.8,1893015483371633.5,1734260905448399.8,1268907303555467.0,327447828856399.94,1488974637076333.5,376352787144033.4,638209596608000.0,1065702386108266.8,1647744472245966.8,995098821192799.9,1214556116483200.2,888063212427299.8,437997549131999.94,749699683184799.9,630000000000000.0,770000000000000.0,696666666666666.8,640000000000000.0,710000000000000.0
b0753,1.1850777144436266e+16,1.1710420240516668e+16,1.2298768052878668e+16,6927531651918266.0,1.3936745459013834e+16,1.6264203819742898e+16,7579927152509400.0,5527971812137334.0,1.0907129525952798e+16,5176640510254399.0,1.3073051329447768e+16,6303635674965599.0,5170976077867999.0,8149820339523799.0,1.09518098039218e+16,1.59318681962016e+16,1.0366666666666668e+16,,,,
b0754,6.3008523231598936e+16,5.19742691957048e+16,6.5073844327432856e+16,4.702774919852521e+16,4.320112961249327e+16,8748928541397099.0,2.8638647026196136e+16,1.0123184938366866e+16,1.5000732275144798e+16,1.8674848943585464e+16,3.634414195777207e+16,2.0834924134015196e+16,2.1748399239443196e+16,1.2759759594824898e+16,9641376917348000.0,1.3553997028388798e+16,4423333333333333.5,6270000000000000.0,7140000000000000.0,1.044e+16,1.2366666666666668e+16
b0755,1.1674022668790187e+17,7.85870803547228e+16,1.1981656722994466e+17,7.798455965479198e+16,1.0270046535777826e+17,6.095125647149699e+16,7.977506116553046e+16,4.9242313915025576e+16,7.654900505122238e+16,6.1130727227832456e+16,9.93452715225491e+16,6.69151350420176e+16,5.794066632957841e+16,4.596555898080999e+16,6.360505942127627e+16,7.11529185353464e+16,3.493e+16,3.0636666666666668e+16,2.3386666666666668e+16,2.2376666666666668e+16,2.0676666666666668e+16
b0756,1.6997488898935468e+16,1.2947253185202932e+16,1.511303628561393e+16,1.4423484760669602e+16,1.3745664705252834e+16,7489811901754699.0,1.2128040748621198e+16,1.4729920875334666e+16,1.0893164442995998e+16,1.0209440842844034e+16,1.30539232213463e+16,9547849058946398.0,9842076243689600.0,8051019436230399.0,8553603983657332.0,8036935782503199.0,2876666666666667.0,2786666666666667.0,2513333333333333.5,2596666666666667.0,2403333333333333.5
b0757,3651926711474133.5,3244662554523599.5,2877707850251999.5,2792694752106933.5,1247002461505500.0,1349429796113699.8,3379255085110666.0,1.1632354393634966e+16,3101642092162399.5,3381904606287067.0,3354294848844666.5,4045280787785599.5,3864076922256800.0,1857953492239599.8,1573325694267066.2,2645499698671999.5,1080000000000000.0,906666666666666.8,750000000000000.0,560000000000000.0,393333333333333.4
b0758,1860219773517866.8,1594518749866000.0,1147197895485333.5,1157259748431733.5,1726025894149966.8,1068682765347399.6,853187618678200.0,2778301661919733.5,720775029073599.9,734037841320533.1,1701517430551400.0,900500550636000.0,814630861079200.0,839088347002499.9,1048121940233133.1,1466002107511199.8,,,,,
b0759,1.3383317868065068e+16,1.0699409007664532e+16,9707065654094066.0,9137455364393068.0,9115815946803734.0,4917680392414300.0,8011610564860934.0,2.3425127810579296e+16,7577148744408000.0,6712989588747366.0,1.00274324389533e+16,7373011999753600.0,7496160712408801.0,5379966048242099.0,5989831451970666.0,6782231657583199.0,2133333333333333.5,2056666666666666.8,1603333333333333.5,1496666666666666.8,1303333333333333.5
b0760,101506958189866.66,173402337034266.7,70669461621300.0,194226287007200.0,,81569943440999.98,54879937749000.0,103320647432433.33,40678761011999.99,120679912080066.64,68513078434000.0,,65671834544799.99,,,347913061544799.94,163333333333333.34,203333333333333.34,200000000000000.0,186666666666666.7,203333333333333.34
b0761,1301517629372800.0,964077492299600.0,1043981289214099.9,932820897988000.1,444413418095999.94,174046071024699.97,512824543059400.0,311669060415933.4,466607391987999.94,615233697624533.2,1097683263896099.9,631310249768000.1,584907012992800.0,325827660544399.94,254359143226466.62,418868952277600.0,,,,,
b0763,1.6249198488822398e+16,1.2529647937336132e+16,1.3803511822531364e+16,1.1670155923867468e+16,1.6402440625925034e+16,1.2658434425199782e+17,9.771259558927534e+16,4626183353211767.0,6924770232529599.0,8919562861029665.0,1.2409213015181768e+16,7616132236112000.0,7906263391185600.0,5244850690331699.0,1.2194491323235758e+17,1.1073226833545278e+17,2936666666666667.0,3280000000000000.0,3850000000000000.0,3016666666666667.0,2123333333333333.5
b0765,140151890650666.67,92845336907866.66,60473202026466.67,116039711674133.34,114542366370599.98,336985794028099.94,541699594152600.0,43934208818733.336,71285651267999.98,153834576743966.66,227347432143366.66,117263224183200.0,93503722372800.0,121631983783799.95,473378938926666.56,603696532141600.1,256666666666666.7,,133333333333333.34,,
b0766,3346093941771733.0,2123912827480266.8,2755647543314967.0,2534612966579867.0,1711487488882533.0,100875752926200.0,1271078582578133.5,341548628953533.4,831668354167200.0,1521613744688900.0,2281493959833500.0,1809766618951199.8,1777646805788000.0,1027248776990100.0,295459265045266.6,576138798186400.0,,,,,
b0767,3.594375263193813e+16,3.1411672529609868e+16,4.8518431803957464e+16,3.0722026468858668e+16,3.4901934502218868e+16,2.6641243481225096e+16,2.6727700220736664e+16,2.479224035161263e+16,3.57863880910176e+16,2.5458218988920396e+16,3.0838098773334136e+16,2.3207698155948796e+16,2.3868643309345596e+16,1.8696871056570696e+16,2.624852812690533e+16,1.8503633275968796e+16,9130000000000000.0,6246666666666667.0,5656666666666667.0,5233333333333334.0,4570000000000000.0
b0772,3796846019566933.5,2055117158710933.5,1443314596290199.8,2869439461516134.0,1787379484310933.5,1117107800307099.6,1568628400214199.8,377465764097000.0,1011366688381600.0,808733837070599.9,2730119616336267.0,635115351445600.0,2009785345024800.0,1594952771071099.8,866525154327066.5,1367084779950400.0,240000000000000.0,253333333333333.34,256666666666666.7,230000000000000.0,260000000000000.0
b0773,8608710329659732.0,6195619887608667.0,1.4446929791945568e+16,6314349620908934.0,4230358647729400.0,4881026660729099.0,4136269308809732.5,5245905977710967.0,5947301790860799.0,5931209206081999.0,4816269775139734.0,5715352719423199.0,4771395790131999.0,3118195222288999.5,4484408502369399.5,3746268649752799.5,1676666666666666.8,1056666666666666.8,790000000000000.0,770000000000000.0,446666666666666.7
b0774,1143983196243199.8,803659011155466.8,760041747810833.2,838655850809466.8,172777313232666.7,87173977146200.0,260141546009800.0,176283375005933.34,283507382054400.0,484419796709866.7,799912244853966.8,574239652004800.0,564453645948000.0,270374905635800.0,34761726905399.996,91410270729599.98,,,,,
b0775,1978850148234666.8,1724418995379733.2,1474000165553199.8,1658976417777466.8,537811419196399.94,77191101371999.98,544303571765200.0,202065520358066.7,387968849422399.94,628893255483000.0,1906252989077666.8,966323339280000.0,1077930307751999.9,744222209972499.9,132803820094733.34,206649391755999.97,,,,,
b0776,2246868403965866.2,970350820725999.9,1096048304349500.0,894679755414666.6,493524811753966.7,1254770191143699.8,781562485626866.6,442108927455933.4,434809680960799.94,803306150632666.6,2207006608038733.0,340226231374399.94,1511773855638399.8,1031724764969499.9,120017147266866.67,2261694288280799.5,,,,,
b0777,65807850121600.0,,189079016546399.97,,,,,,,112698319589333.31,129534527088366.67,,82803111347999.98,71868175224999.98,,38273786209599.99,,,,,
b0778,7342771831848533.0,6723367178101467.0,9311405890062500.0,5771840454921334.0,2735728867276066.5,912624123536300.0,2771697024343000.0,2190085865442133.5,4545246466793599.0,3466852066452199.5,7394089434562199.0,3536177932348800.0,4053215074568000.0,2410309836248999.5,841988546739999.9,1222909853858399.8,263333333333333.34,,370000000000000.0,323333333333333.4,416666666666666.7
b0779,182423335764266.66,209734022953466.66,110542494403233.33,227789570133066.7,89387465528466.67,48187485632299.99,,,,56254256527666.66,85975132819600.0,70444179819199.98,70182300345600.0,161986365680999.97,1208043776845399.8,158277247507200.0,376666666666666.7,320000000000000.0,263333333333333.34,220000000000000.0,206666666666666.7
b0780,347248849420799.94,312514717661066.7,321814487371866.7,309646759964266.7,109534950514866.67,69889819727699.99,242907694891333.34,79696509347133.34,81918129654399.98,177741003412033.34,388940176587833.4,292618435524799.94,263448873636799.97,108912595899100.0,,342673547885599.94,,,,,
b0782,1.0058900478142932e+16,5902746537889600.0,5596970396510500.0,7953122743222534.0,4355883895841933.5,1186760919982399.8,2649760151685399.5,2099665580276599.8,2975767953175999.5,3441161535455933.0,7149364810174501.0,2790761194612800.0,3203528014028800.0,2274393935450699.5,1462485779161733.2,1788131687648799.8,1.1143333333333334e+16,1.1363333333333334e+16,9833333333333334.0,8493333333333334.0,7850000000000000.0
b0783,4014331299637332.5,4075603562470533.5,4290937910582266.0,3400170851798933.5,3783195663813867.5,1184004940309799.8,1625150151511466.5,927041783055599.9,1856721335922399.8,1974763459800699.2,4097493557286267.0,2169906891699199.8,1898842571742400.0,1425850204680999.8,889105970916533.2,1569969980985599.8,926666666666666.8,890000000000000.0,1006666666666666.8,870000000000000.0,793333333333333.4
b0784,8576659756337065.0,6377056230459600.0,9878917054401366.0,7270348326244266.0,6520475579935000.0,2166438518481299.8,3768691585359999.5,2632441013614333.0,4252508855512800.0,4717748754787099.0,8308574125309834.0,4630942060794400.0,4607097905896000.0,3603338566357599.0,2409765690947266.5,2446976574503200.0,1286666666666666.8,1223333333333333.5,1106666666666666.8,1166666666666666.8,953333333333333.4
b0785,8161306039530667.0,5913120888857467.0,9288517840399832.0,6398461647019867.0,5705553233098567.0,2410189169265500.0,3349934045129533.5,2712040034576433.5,4779610677910400.0,4123738841584433.5,7052955701113099.0,4104444505025600.0,3783577947167999.5,3809353313790499.5,2887852451122467.0,3687348566862399.5,1036666666666666.8,1003333333333333.4,1080000000000000.0,956666666666666.8,1050000000000000.0
b0790,589500854650666.6,337847975481333.4,522890037386866.56,331562205248400.0,62443967277066.66,,112519161571266.66,96519044863666.69,223654086943199.97,307555968460866.6,367524473053500.06,,201955343359199.97,202388751632899.97,,59134410890399.99,,,,,
b0800,1.16674753810624e+16,9357757279728668.0,1.2388196009241568e+16,9326477765822000.0,8012357359214499.0,3474691544849699.5,7227317672719733.0,4255302011595800.0,7858256482491999.0,6033586272629199.0,9578089999641136.0,6864923276328800.0,6283993454260799.0,4164844306536199.5,3620922212393933.0,4242052912960800.0,3376666666666667.0,3536666666666667.0,3863333333333333.5,3443333333333333.5,3506666666666667.0
b0801,1.382549196226133e+16,1.0869616059113464e+16,1.6910863501922468e+16,1.15563371091056e+16,4994623864625967.0,1397797561092099.8,4699824344174266.0,2028445454580800.0,2606711023568800.0,6099853622434433.0,8668924328267334.0,6478812316695200.0,5535382986143999.0,3230901329775699.5,1444971986461666.8,2199064532236799.8,2583333333333333.5,3706666666666667.0,4560000000000000.0,4646666666666667.0,5056666666666667.0
b0802,1453200621512533.2,1117023636397200.0,1779124378320066.2,1027088866186133.4,874558110204066.8,328516264063399.94,871369000113733.4,215639079879200.0,319110294837599.94,624769305915700.0,1907211472016833.5,1165712467791199.8,698927710350399.9,481847448729500.0,590369304326999.9,673556045235199.9,,,,,
b0803,145529518963199.97,60380038594400.0,84622369706500.0,63088083086000.016,171927739598233.34,109697822641399.97,48445679565399.99,33903454495466.668,89430606951200.0,36574677073000.0,104429755190933.33,51909705843999.99,,35698187441000.0,44552849229533.33,69522946386400.0,,,,,
b0804,1540532648174932.8,411842460358933.4,571538548912266.6,805241251807066.9,115198680732866.64,356419503442799.94,336001846032666.7,122050530767033.34,284889514128799.94,384316299782433.4,595217475020066.8,174263319819199.97,189330739525600.0,160650116337899.97,71146577414733.33,299222262523199.94,,,,,
b0805,229629583794133.3,182519583035999.97,215151626137699.97,179662291886933.34,78426209576633.34,57382030514199.99,112798691909799.98,,52411733839199.99,47259669833566.664,161647750552133.34,71304936136800.0,78843181734399.98,45455819140199.99,,,,,,,
b0806,7.254808883578026e+16,4.7861183303696936e+16,6.7639913603878296e+16,6.258226336775932e+16,6.377195665254327e+16,3.4498572526531396e+16,5.467369703274787e+16,2.154887623665603e+16,3.826239803155359e+16,3.71514212974166e+16,4.777486228957103e+16,4.296051099526e+16,4.159486305768239e+16,3.609827060726039e+16,5.286683016525973e+16,4.254186693580399e+16,,,,,
b0807,1528704877744000.0,1570896527913067.0,1707285204731666.2,1496163479071333.2,1838368470543366.8,304330267495799.94,730032071306199.9,265143805261000.06,340728262003199.94,524123478884400.0,788531107580399.9,910287355049599.9,666957108538399.9,405811632145499.94,548134404017933.25,503294730338399.94,,,,,
b0809,4611408528882132.0,3135741523323733.0,3600662010617266.0,4084381248043600.0,2271909075279000.0,4713434466262899.0,5071697456795667.0,2503191072346134.0,4323758560818399.5,3137033436545332.5,5532153047582500.0,2503109154539199.5,4130260755775999.5,3744428420496399.5,4055798484878798.5,4525191111331199.0,4910000000000000.0,4866666666666667.0,3946666666666667.0,3793333333333333.5,2540000000000000.0
b0811,4.7571236112440536e+16,3.6526619970647336e+16,4.436978083953833e+16,3.946274601083919e+16,3.548766676048861e+16,9.083362660737398e+16,5.599483530825427e+16,4.126807231488477e+16,5.991765247005359e+16,3.86998349687055e+16,4.996195440105936e+16,5.31027238674936e+16,4.67892064311968e+16,5.320773362572639e+16,8.327227686583371e+16,8.16515484100112e+16,4.084e+16,4.832666666666667e+16,4.554e+16,3.0286666666666668e+16,1.7946666666666668e+16
b0812,1.1582975687363198e+16,1.1618190601685736e+16,1.3758837850481798e+16,8408165556889467.0,5825536537692734.0,3353162227197299.5,6544164355070333.0,2920331068037467.0,1.20915908249472e+16,7265580902678797.0,7952680306123434.0,5804301566746400.0,5052019836738399.0,3428033784368899.5,2962534430928599.5,4196613624423200.0,2.607e+16,2.922e+16,3.2973333333333336e+16,2.8883333333333336e+16,1.9366666666666668e+16
b0814,2891950886579200.0,1808973015607333.5,2871625838464366.0,2017119075004133.5,1857317096913067.0,582576171144099.9,1066860758554066.5,470706899137633.25,898863984250399.9,1088451454397066.9,2593159841425266.5,1495768929350400.0,999418498144799.9,1018099570086900.0,1246123173718133.2,3056211398326400.0,,,,,
b0817,1095172332595199.9,815634477799866.5,844624472976166.6,871792513104799.9,865130602607900.0,447160414281699.94,828825099652333.4,253326733114600.0,573115057725599.9,506671719096299.94,814227535777466.6,516794067829599.94,644301872962399.9,309215449184599.94,488947970356266.7,700483251557599.9,,,,,
b0819,2.7125679643626664e+16,1.81505353931048e+16,2.920538152302386e+16,2.15206052542068e+16,2.77413727271617e+16,1.3945673620568896e+16,2.0153979684734132e+16,9289066619843666.0,1.44377889527352e+16,1.3511777060103034e+16,2.43321792982095e+16,1.5007402727035198e+16,1.5418333700796e+16,1.3365485398242598e+16,1.4046810779704266e+16,1.3947883060123998e+16,5506666666666667.0,5580000000000000.0,5970000000000000.0,6046666666666667.0,7623333333333334.0
b0820,4030644143441067.0,3502278115058799.5,3116599085585732.5,3451399700986534.0,1920770636128666.8,545233261895700.0,1690045579859866.5,680201076621700.0,1163837477843999.8,1660719737996166.8,2918124999626867.0,1617486800716799.8,1544697982162399.8,973446153523199.9,667518730171333.2,801397317098399.9,673333333333333.4,943333333333333.4,793333333333333.4,776666666666666.8,916666666666666.8
b0821,1681419968174933.0,1131951476802533.5,1311601068039233.5,1264851903707466.5,645808993186866.8,103722052526399.98,516932710941400.0,210821135798766.66,390082456351999.94,768377153294833.2,1135122831011399.8,667789580618399.9,612806012659999.9,457370467624699.94,156757240102466.7,328259145872799.94,,,,,
