abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P1	-2	Cytosol, Periplasm	C00681		2617398	
man6pglyc	2(alpha-D-Mannosyl-6-phosphate)-D-glycerate	C9H14O12P	-3	Cytosol	C16699		1771713	
dhmptp	dihydromonapterin-triphosphate	C9H12N5O13P3	-4	Cytosol			2387745	
pydxn	Pyridoxine	C8H11NO3	0	Cytosol	C00314	65-23-6	34590	
aacoa	Acetoacetyl-CoA	C25H36N7O18P3S	-4	Cytosol	C00332	1420-36-6	34646	
psclys	psicoselysine	C12H25N2O7	1	Extra-organism, Cytosol, Periplasm			3241258	
pe181	phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)	C41H78N1O8P1	0	Cytosol, Periplasm	C00350		2618177	
mqn8	Menaquinone 8	C51H72O2	0	Cytosol	C00828	84-81-1	199245	
aconm	E-3-carboxy-2-pentenedioate 6-methyl ester	C7H6O6	-2	Cytosol	C11514		1486606	
rml1p	L-Rhamnulose 1-phosphate	C6H11O8P	-2	Cytosol	C01131		36878	
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol	C04411		43761	
2mcit	2-Methylcitrate	C7H7O7	-3	Cytosol	C02225	96-17-3	39369	
s7p	Sedoheptulose 7-phosphate	C7H13O10P	-2	Cytosol	C05382	None	34485	
arbtn-fe3	Aerobactin	C22H33FeN4O13	0	Extra-organism, Cytosol, Periplasm		26198-65-2	46016	
3oodcoa	3-Oxooctadecanoyl-CoA	C39H64N7O18P3S	-4	Cytosol	C16216		1800302	
sucgsa	N2-Succinyl-L-glutamate 5-semialdehyde	C9H11NO6	-2	Cytosol	C05932		46953	
oaa	Oxaloacetate	C4H2O5	-2	Cytosol	C00036	328-42-7	33604	
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H8N3O7P2	-3	Cytosol	C04752	745-65-3	44484	
hmgth	hydroxymethylglutathione	C11H18N3O7S	-1	Cytosol	C14180		2325420	
kdolipid4	KDO-lipid IV(A)	C76H137N2O30P2	-5	Cytosol	C06024		1450230	
