abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
e4p	D-Erythrose 4-phosphate	C4H7O7P	-2	Cytosol	C00279	585-18-2	34479	
trnahis	tRNA(His)	R	0	Cytosol	C01643		38068	
feoxam-un	ferroxamine minus Fe(3)	C25H46N6O8	-2	Extra-organism, Cytosol, Periplasm			2262757	
kdo8p	3-Deoxy-D-manno-octulosonate 8-phosphate	C8H12O11P	-3	Cytosol	C04478		43894	
hcys-L	L-Homocysteine	C4H9NO2S	0	Cytosol	C00155	6027-13-0	45588	
dhf	7,8-Dihydrofolate	C19H19N7O6	-2	Cytosol	C00415	4033-27-6	34911	
cechddd	cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol	C9H11O4	-1	Cytosol			1472223	
cpgn	coprogen	C35H52N6O13Fe	-1	Extra-organism, Cytosol, Periplasm			1915772	
anhgm	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	C19H29N2O12	-1	Extra-organism, Cytosol, Periplasm			2327204	
anhm4p	1,6-anhydrous-N-Acetylmuramyl-tetrapeptide	C29H44N6O15	-2	Cytosol			2328673	
5prdmbz	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H17N2O7P	-2	Cytosol	C04778		44527	
acgam1p	N-Acetyl-D-glucosamine 1-phosphate	C8H14NO9P	-2	Extra-organism, Cytosol, Periplasm	C04256	None	43457	
glyb	Glycine betaine	C5H11NO2	0	Extra-organism, Cytosol, Periplasm	C00719	107-43-7	35786	
3hcmrs7eACP	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H45N2O9PRS	-1	Cytosol			2617015	
phphhlipa	phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C131H230N2O63P4	-10	Cytosol			2374930	
ap4a	P1,P4-Bis(5'-adenosyl) tetraphosphate	C20H24N10O19P4	-4	Cytosol	C01260		1484745	
trnaval	tRNA(Val)	R	0	Cytosol	C01653		38088	
tyrtrna	L-Tyrosyl-tRNA(Tyr)	C9H10NO2R	1	Cytosol	C02839		52772	
taur	Taurine	C2H7NO3S	0	Extra-organism, Cytosol, Periplasm	C00245	107-35-7	34373	
ddcaACP	Dodecanoyl-ACP (n-C12:0ACP)	C23H43N2O8PRS	-1	Cytosol	C05223		1436978	
ppal	Propanal	C3H6O	0	Extra-organism, Cytosol, Periplasm	C00479	123-38-6	35098	
3dhsk	3-Dehydroshikimate	C7H7O5	-1	Cytosol	C02637		40260	
ps141	phosphatidylserine (ditetradec-7-enoyl, n-C14:1)	C34H61N1O10P1	-1	Cytosol	C02737		2618002	
tmrs2eACP	trans-Tetradec-2-enoyl-[acyl-carrier protein]	C25H45N2O8PRS	-1	Cytosol	C05760	7783-08-6	46439	
hxa	Hexanoate (n-C6:0)	C6H11O2	-1	Extra-organism, Cytosol, Periplasm	C01585	142-62-1	37927	
4hthr	4-Hydroxy-L-threonine	C4H9NO4	0	Cytosol	C06056		1450010	
hx2coa	trans-Hex-2-enoyl-CoA	C27H40N7O17P3S	-4	Cytosol	C05271		45472	
3ohexACP	3-Oxohexanoyl-[acyl-carrier protein]	C17H29N2O9PRS	-1	Cytosol	C05746	7783-08-6	46393	
apoACP	apoprotein [acyl carrier protein]	RHO	0	Cytosol	C03688		1452673	
scl	sirohydrochlorin	C42H39N4O16	-7	Cytosol	C05778		46482	
kphphhlipa	kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C139H241N2O70P4	-11	Cytosol			2374935	
mql8	Menaquinol 8	C51H74O2	0	Cytosol	C05819		46564	
pe140	phosphatidylethanolamine (ditetradecanoyl, n-C14:0)	C33H66N1O8P1	0	Cytosol, Periplasm	C00350		2618123	
acanth	N-Acetylanthranilate	C9H8NO3	-1	Cytosol	C06332	89-52-1	47990	
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS	-3	Cytosol	C04352		43650	
fe3dhbzs	ferric 2,3-dihydroxybenzoylserine	C10H10NO6Fe	2	Extra-organism, Cytosol, Periplasm			2388875	
frulys	fructoselysine	C12H25N2O7	1	Extra-organism, Cytosol, Periplasm	C16488		2212339	
imp	IMP	C10H11N4O8P	-2	Extra-organism, Cytosol, Periplasm	C00130	131-99-7	33960	
pg181	Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)	C42H78O10P1	-1	Cytosol, Periplasm	C00344		2617860	
6pgl	6-phospho-D-glucono-1,5-lactone	C6H9O9P	-2	Cytosol	C01236	None	37157	
trnaala	tRNA(Ala)	R	0	Cytosol	C01635		52733	
cdpdhdec9eg	CDP-1,2-dihexadec-9-enoylglycerol	C44H75N3O15P2	-2	Cytosol	C00269		2617635	
LalaDgluMdapDala	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	C18H30N5O9	-1	Extra-organism, Cytosol, Periplasm			2327202	
2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	C48H74O4	0	Cytosol			1446551	
dutp	dUTP	C9H11N2O14P3	-4	Cytosol	C00460		35037	
prbatp	1-(5-Phosphoribosyl)-ATP	C15H19N5O20P4	-6	Cytosol	C02739		40470	
10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2	Cytosol	C00234		34337	
adocbip	Adenosyl cobinamide phosphate	C58H83CoN16O14P	-1	Cytosol	C06509		48461	
h2s	Hydrogen sulfide	H2S	0	Extra-organism, Cytosol, Periplasm	C00283	7783-06-4	34491	
pa120	1,2-didodecanoyl-sn-glycerol 3-phosphate	C27H51O8P1	-2	Cytosol, Periplasm	C00416		2618936	
3hcinnm	3-hydroxycinnamic acid	C9H7O3	-1	Extra-organism, Cytosol, Periplasm			1472404	
2odecg3p	2-octadecanoyl-sn-glycerol 3-phosphate	C21H42O7P1	-1	Cytosol, Periplasm	C03974		2706876	
skm5p	Shikimate 5-phosphate	C7H8O8P	-3	Cytosol	C03175		41343	
cinnm	trans-Cinnamate	C9H7O2	-1	Cytosol	C00423	140-10-3	34938	
dhptd	4,5-dihydroxy-2,3-pentanedione	C5H8O4	0	Cytosol	C11838		1494230	
hkntd	2-hydroxy-6-ketononatrienedioate	C9H6O6	-2	Cytosol	C12624		1472288	
fmettrna	N-Formylmethionyl-tRNA	C6H9NO2SR	0	Cytosol	C03294		41579	
acmum6p	N-acetylmuramate 6-phosphate	C11H17NO11P	-3	Cytosol	C16698		1771501	
gfgaragund	galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C83H135N1O27P2	-2	Cytosol			2377443	
malt6p	Maltose 6'-phosphate	C12H21O14P	-2	Cytosol	C02995	None	40977	
succ	Succinate	C4H4O4	-2	Extra-organism, Cytosol, Periplasm	C00042	110-15-6	33633	
glcur	D-Glucuronate	C6H9O7	-1	Extra-organism, Cytosol, Periplasm	C00191	6556-12-3	34196	
pa181	1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	C39H71O8P1	-2	Cytosol, Periplasm	C00416		2617439	
mana	D-Mannonate	C6H11O7	-1	Cytosol	C00514		35217	
acetol	Acetol	C3H6O2	0	Cytosol	C05235	116-09-6	45400	
cys-D	D-Cysteine	C3H7NO2S	0	Extra-organism, Cytosol, Periplasm	C00793	921-01-7	36015	
trnacys	tRNA(Cys)	R	0	Cytosol	C01639		38060	
gly	Glycine	C2H5NO2	0	Extra-organism, Cytosol, Periplasm	C00037	56-40-6	33610	
tdcoa	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	-4	Cytosol	C02593		40154	
fuc-L	L-Fucose	C6H12O5	0	Extra-organism, Cytosol, Periplasm	C01019	2438-80-4	36636	
ptrc	Putrescine	C4H14N2	2	Extra-organism, Cytosol, Periplasm	C00134	110-60-1	33980	
micit	methylisocitrate	C7H7O7	-3	Cytosol	C04593	20298-95-7	44122	
12dgr141	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	C31H56O5	0	Cytosol, Periplasm	C00641		2618266	
q8	Ubiquinone-8	C49H74O4	0	Cytosol	C00399	1339-63-5	1438260	
adphep-LD	ADP-L-glycero-D-manno-heptose	C17H25N5O16P2	-2	Cytosol	C06398		1488036	
lcts	Lactose	C12H22O11	0	Extra-organism, Cytosol, Periplasm	C00243	63-42-3	34366	
hdeACP	cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)	C27H49N2O8PRS	-1	Cytosol	C16520		1437594	
rib-D	D-Ribose	C5H10O5	0	Extra-organism, Cytosol, Periplasm	C00121	50-69-1	33936	
4abutn	4-Aminobutanal	C4H10NO	1	Cytosol	C00555		35337	
btn	Biotin	C10H15N2O3S	-1	Cytosol	C00120	58-85-5	33931	
dmpp	Dimethylallyl diphosphate	C5H9O7P2	-3	Cytosol	C00235	358-71-4	131960	
prbamp	1-(5-Phosphoribosyl)-AMP	C15H19N5O14P2	-4	Cytosol	C02741		42711	
fe3	Fe3+	Fe	3	Extra-organism, Cytosol, Periplasm	C14819	None	50061	
2hdecg3p	2-hexadecanoyl-sn-glycerol 3-phosphate	C19H38O7P1	-1	Cytosol, Periplasm	C03974		2706873	
itp	ITP	C10H11N4O14P3	-4	Cytosol	C00081	132-06-9	33780	
tma	trimethylamine	C3H10N	1	Extra-organism, Cytosol, Periplasm	C00565	75-50-3	35366	
cmp	CMP	C9H12N3O8P	-2	Extra-organism, Cytosol, Periplasm	C00055		33689	
trnamet	tRNA(Met)	R	0	Cytosol	C01647		38076	
mg2	magnesium	Mg	2	Extra-organism, Cytosol, Periplasm	C00305		1787372	
ppi	Diphosphate	HO7P2	-3	Cytosol	C00013	2466-09-3	33511	
coa	Coenzyme A	C21H32N7O16P3S	-4	Cytosol	C00010	85-61-0	33502	
hphhlipa	heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C131H231N2O60P3	-8	Cytosol			2374922	
chol	Choline	C5H14NO	1	Extra-organism, Cytosol, Periplasm	C00114	123-41-1	33910	
h2o2	Hydrogen peroxide	H2O2	0	Extra-organism, Cytosol, Periplasm	C00027	7722-84-1	33570	
pg120	Phosphatidylglycerol (didodecanoyl, n-C12:0)	C30H58O10P1	-1	Cytosol, Periplasm	C00344		2618952	
thmmp	Thiamin monophosphate	C12H16N4O4PS	-1	Cytosol	C01081	532-40-1	36768	
dhna	1,4-Dihydroxy-2-naphthoate	C11H7O4	-1	Cytosol	C03657		42264	
acglu	N-Acetyl-L-glutamate	C7H9NO5	-2	Cytosol	C00624	1188-37-0	35520	
citr-L	L-Citrulline	C6H13N3O3	0	Cytosol	C00327	372-75-8	34627	
glutrna	L-Glutamyl-tRNA(Glu)	C5H7NO3R	0	Cytosol	C02987	None	40960	
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H11N3O9P	-3	Cytosol	C04751		44477	
14glucan	1,4-alpha-D-glucan	C36H62O31	0	Extra-organism, Cytosol, Periplasm	C00718		2387686	
dha	Dihydroxyacetone	C3H6O3	0	Extra-organism, Cytosol, Periplasm	C00184	96-26-4	34170	
no3	Nitrate	NO3	-1	Extra-organism, Cytosol, Periplasm	C00244		50426	
xmp	Xanthosine 5'-phosphate	C10H11N4O9P	-2	Extra-organism, Cytosol, Periplasm	C00655	523-98-8	35623	
hexACP	Hexanoyl-ACP (n-C6:0ACP)	C17H31N2O8PRS	-1	Cytosol	C05749	7783-08-6	46404	
fmn	FMN	C17H19N4O9P	-2	Cytosol	C00061	146-17-8	33703	
glyc-R	(R)-Glycerate	C3H5O4	-1	Extra-organism, Cytosol, Periplasm	C00258	473-81-4	34424	
dmso	Dimethyl sulfoxide	C2H6OS	0	Extra-organism, Cytosol, Periplasm	C11143		1482895	
dann	7,8-Diaminononanoate	C9H21N2O2	1	Cytosol	C01037		36673	
pe161	phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)	C37H70N1O8P1	0	Cytosol, Periplasm	C00350		2618172	
pgp160	Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)	C38H73O13P2	-3	Cytosol, Periplasm	C03892		2617776	
3ocvac11eACP	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H51N2O9PRS	-1	Cytosol			2617021	
t3c7mrseACP	trans-3-cis-7-myristoleoyl-[acyl-carrier protein]	C25H43N2O8PRS	-1	Cytosol			2617016	
trnaile	tRNA(Ile)	R	0	Cytosol	C01644		38070	
dump	dUMP	C9H11N2O8P	-2	Extra-organism, Cytosol, Periplasm	C00365	964-26-1	34762	
ppbng	Porphobilinogen	C10H13N2O4	-1	Cytosol	C00931	487-90-1	36404	
pgp161	Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)	C38H69O13P2	-3	Cytosol, Periplasm	C03892		2617791	
phom	O-Phospho-L-homoserine	C4H8NO6P	-2	Cytosol	C01102		36811	
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C23H43N2O9PRS	-1	Cytosol	C05757	7783-08-6	46428	
ametam	S-Adenosylmethioninamine	C14H24N6O3S	2	Cytosol	C01137		36895	
lipidA	2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	C68H126N2O23P2	-4	Cytosol		None	44967	
2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	Extra-organism, Cytosol, Periplasm	C00204	None	34249	
dcdp	dCDP	C9H12N3O10P2	-3	Cytosol	C00705	None	50858	
trnasecys	tRNA(SeCys)	R	0	Cytosol			1899582	
thr-L	L-Threonine	C4H9NO3	0	Extra-organism, Cytosol, Periplasm	C00188	72-19-5	34186	
hdcea	Hexadecenoate (n-C16:1)	C16H29O2	-1	Extra-organism, Cytosol, Periplasm	C08362		246167	
dtdpglu	dTDPglucose	C16H24N2O16P2	-2	Cytosol	C00842	2009-24-7	36175	
uama	UDP-N-acetylmuramoyl-L-alanine	C23H33N4O20P2	-3	Cytosol	C01212		37088	
h2	H2	H2	0	Extra-organism, Cytosol, Periplasm	C00282	1333-74-0	34488	
aragund	O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C71H115N1O17P2	-2	Cytosol			2377425	
gmp	GMP	C10H12N5O8P	-2	Extra-organism, Cytosol, Periplasm	C00144	85-32-5	34024	
uaagmda	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	Cytosol	C05898		46790	
urate	Urate	C5H4N4O3	0	Cytosol	C00366	69-93-2	34768	
sucarg	N2-Succinyl-L-arginine	C10H17N4O5	-1	Cytosol	C03296	1758-80-1	41581	
indole	Indole	C8H7N	0	Extra-organism, Cytosol, Periplasm	C00463	120-72-9	35045	
trnaser	tRNA(Ser)	R	0	Cytosol	C01650		38082	
malttr	Maltotriose	C18H32O16	0	Extra-organism, Cytosol, Periplasm	C01835	1109-28-0	38512	
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	C15H29O7P1	-2	Cytosol, Periplasm	C00681		2618934	
asptrna	L-Aspartyl-tRNA(Asp)	C4H5NO3R	0	Cytosol	C02984		52775	
phe-L	L-Phenylalanine	C9H11NO2	0	Extra-organism, Cytosol, Periplasm	C00079	63-91-2	33775	
gthrd	Reduced glutathione	C10H16N3O6S	-1	Extra-organism, Cytosol, Periplasm	C00051	70-18-8	33669	
pa160	1,2-dihexadecanoyl-sn-glycerol 3-phosphate	C35H67O8P1	-2	Cytosol, Periplasm	C00416		2617415	
ipdp	Isopentenyl diphosphate	C5H9O7P2	-3	Cytosol	C00129		33956	
ohpb	2-Oxo-3-hydroxy-4-phosphobutanoate	C4H4O8P	-3	Cytosol	C06054		1447403	
sbt6p	D-Sorbitol 6-phosphate	C6H13O9P	-2	Cytosol	C01096	108392-12-7	36801	
malthx	Maltohexaose	C36H62O31	0	Extra-organism, Cytosol, Periplasm	C01936	34620-77-4	38732	
metsox-R-L	L-methionine-R-sulfoxide	C5H11NO3S	0	Extra-organism, Cytosol, Periplasm	C15998		2217370	
3dhgulnp	3-keto-L-gulonate-6-phosphate	C6H8O10P	-3	Cytosol	C14899		1483967	
13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	Cytosol	C00236	None	34342	
3hpalmACP	R-3-hydroxypalmitoyl-[acyl-carrier protein]	C27H51N2O9PRS	-1	Cytosol	C04633		1572107	
xdp	XDP	C10H11N4O12P2	-3	Cytosol	C01337		37387	
trnaphe	tRNA(Phe)	R	0	Cytosol	C01648		38078	
air	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P	-2	Cytosol	C03373	25635-88-5	41727	
23doguln	2,3-Dioxo-L-gulonate	C6H7O7	-1	Cytosol	C04575		45750	
nadp	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3	Cytosol	C00006	53-59-8	33488	
mobd	Molybdate	MoO4	-2	Extra-organism, Cytosol, Periplasm	C06232		47720	
bglycogen	branching glycogen	C6H10O5	0	Cytosol			2387835	
adp	ADP	C10H12N5O10P2	-3	Cytosol	C00008	58-64-0	33496	
2obut	2-Oxobutanoate	C4H5O3	-1	Cytosol	C00109	600-18-0	33889	
alatrna	L-Alanyl-tRNA(Ala)	C3H6NOR	1	Cytosol	C00886		52727	
cdpdodecg	CDP-1,2-dioctadecanoylglycerol	C48H87N3O15P2	-2	Cytosol	C00269		2617625	
dad-2	Deoxyadenosine	C10H13N5O3	0	Extra-organism, Cytosol, Periplasm	C00559	958-09-8	35352	
ragund	rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C69H113N1O16P2	-2	Cytosol			2377416	
man	D-Mannose	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C00159	3458-28-4	34085	
dgsn	Deoxyguanosine	C10H13N5O4	0	Extra-organism, Cytosol, Periplasm	C00330	961-07-9	34637	
6hmhpt	6-hydroxymethyl dihydropterin	C7H9N5O2	0	Cytosol	C01300		1447073
uamr	UDP-N-acetylmuramate	C20H28N3O19P2	-3	Cytosol	C01050		36702	
nmn	NMN	C11H14N2O8P	-1	Extra-organism, Cytosol, Periplasm	C00455	1094-61-7	35022	
mlthf	5,10-Methylenetetrahydrofolate	C20H21N7O6	-2	Cytosol	C00143		34022	
pydam	Pyridoxamine	C8H13N2O2	1	Cytosol	C00534	85-87-0	35277	
pap	Adenosine 3',5'-bisphosphate	C10H11N5O10P2	-4	Cytosol	C00054	1053-73-2	33684	
g3pi	sn-Glycero-3-phospho-1-inositol	C9H18O11P	-1	Extra-organism, Cytosol, Periplasm	C01225		37125	
melib	Melibiose	C12H22O11	0	Extra-organism, Cytosol, Periplasm	C05402	585-99-9	45736	
dtdp4d6dg	dTDP-4-dehydro-6-deoxy-D-glucose	C16H22N2O15P2	-2	Cytosol	C11907		35701	
dcaACP	Decanoyl-ACP (n-C10:0ACP)	C21H39N2O8PRS	-1	Cytosol	C05755		1446147	
rbflvrd	Reduced riboflavin	C17H22N4O6	0	Cytosol	C01007		36596	
dca	Decanoate (n-C10:0)	C10H19O2	-1	Extra-organism, Cytosol, Periplasm	C01571	334-48-5	37897	
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P1	0	Cytosol, Periplasm	C05973		2706652	
dhnpt	Dihydroneopterin	C9H13N5O4	0	Cytosol	C04874		44772	
ag	silver	Ag	1	Extra-organism, Cytosol	C06710	7440-22-4	48910	
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	Cytosol	C05258		45443	
seln	Selenide	HSe	-1	Cytosol	C01528	531-44-2	37794	
5apru	5-Amino-6-(5'-phosphoribosylamino)uracil	C9H13N4O9P	-2	Cytosol	C01268		37234	
3oddcoa	3-Oxododecanoyl-CoA	C33H52N7O18P3S	-4	Cytosol	C05263		45453	
pgp180	Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)	C42H81O13P2	-3	Cytosol, Periplasm	C03892		2617781	
acgam6p	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2	Cytosol	C00357	102029-88-9	34733	
thrtrna	L-Threonyl-tRNA(Thr)	C4H8NO2R	1	Cytosol	C02992		52784	
sertrna	L-Seryl-tRNA(Ser)	C3H6NO2R	1	Cytosol	C02553		52763	
kdo2lipid4p	KDO(2)-lipid IV(A) with palmitoleoyl	C100H176N2O38P2	-6	Cytosol			1485724	
galctn-L	L-Galactonate	C6H11O7	-1	Extra-organism, Cytosol, Periplasm	C15930		3138483	
agdpcbi	Adenosine-GDP-cobinamide	C68H95CoN21O21P2	-1	Cytosol	C06510		48463	
M-acorn	N2-Acetyl-L-ornithine	C7H14N2O3	0	Cytosol	C00437	None	34982	
man1p	D-Mannose 1-phosphate	C6H11O9P	-2	Cytosol	C00636		42578	
xyl-D	D-Xylose	C5H10O5	0	Extra-organism, Cytosol, Periplasm	C00181	58-86-6	34162	
4hbz	4-Hydroxybenzoate	C7H5O3	-1	Cytosol	C00156	99-96-7	34069	
h2mb4p	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	C5H9O8P2	-3	Cytosol	C11811		1446395	
3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4	Cytosol	C05268		45465	
athr-L	L-Allo-threonine	C4H9NO3	0	Cytosol	C05519	28954-12-3	45952	
apg140	acyl phosphatidylglycerol (n-C14:0)	C48H92O11P	-1	Cytosol			2707888	
2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H9O7P	-2	Cytosol	C00673	102916-66-5	35666	
3hpppn	3-(3-hydroxy-phenyl)propionate	C9H9O3	-1	Extra-organism, Cytosol, Periplasm	C11457		1472372	
pyr	Pyruvate	C3H3O3	-1	Extra-organism, Cytosol, Periplasm	C00022	127-17-3	33546	
aso4	arsenate	AsO4	-3	Cytosol	C01478	7778-39-4	37686	
ni2	nickel	Ni	2	Extra-organism, Cytosol, Periplasm	C00291		34516	
glytrna	Glycyl-tRNA(Gly)	C2H4NOR	1	Cytosol	C02412		52755	
4per	4-Phospho-D-erythronate	C4H6O8P	-3	Cytosol	C03393		41765	
2tdecg3p	2-tetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P1	-1	Cytosol, Periplasm	C03974		2706870	
pppi	Inorganic triphosphate	HO10P3	-4	Cytosol	C00536		41547	
nac	Nicotinate	C6H4NO2	-1	Extra-organism, Cytosol, Periplasm	C00253	59-67-6	34401	
glyc3p	Glycerol 3-phosphate	C3H7O6P	-2	Extra-organism, Cytosol, Periplasm	C00093		137383	
lipa	KDO(2)-lipid (A)	C110H196N2O39P2	-6	Extra-organism, Cytosol, Periplasm	C06026		47241	
4mpetz	4-Methyl-5-(2-phosphoethyl)-thiazole	C6H8NO4PS	-2	Cytosol	C04327		43602	
fecrm	Ferrichrome	C27H42FeN9O12	0	Extra-organism, Cytosol, Periplasm	C06228		47710	
3omrsACP	3-Oxotetradecanoyl-[acyl-carrier protein]	C25H45N2O9PRS	-1	Cytosol	C05759	7783-08-6	46436	
amet	S-Adenosyl-L-methionine	C15H23N6O5S	1	Cytosol	C00019	29908-03-0	33530	
duri	Deoxyuridine	C9H12N2O5	0	Extra-organism, Cytosol, Periplasm	C00526	951-78-0	35251	
k	potassium	K	1	Extra-organism, Cytosol, Periplasm	C00238		34349	
o2s	Superoxide anion	O2	-1	Extra-organism, Cytosol, Periplasm	C00704		35743	
xan	Xanthine	C5H4N4O2	0	Extra-organism, Cytosol, Periplasm	C00385	69-89-6	34825	
val-L	L-Valine	C5H11NO2	0	Extra-organism, Cytosol, Periplasm	C00183	72-18-4	34167	
datp	dATP	C10H12N5O12P3	-4	Cytosol	C00131	1927-31-7	33969	
dmbzid	5,6-Dimethylbenzimidazole	C9H10N2	0	Cytosol	C03114	582-60-5	41234	
ser-D	D-Serine	C3H7NO3	0	Extra-organism, Cytosol, Periplasm	C00740	312-84-5	35846	
tre6p	alpha,alpha'-Trehalose 6-phosphate	C12H21O14P	-2	Cytosol	C00689	4484-88-2	35708	
phaccoa	Phenylacetyl-CoA	C29H38N7O17P3S	-4	Cytosol	C00582		35419	
sheme	Siroheme	C42H36FeN4O16	-8	Cytosol	C00748		35869	
ppap	Propanoyl phosphate	C3H5O5P	-2	Cytosol	C02876		40738	
hpyr	Hydroxypyruvate	C3H3O4	-1	Cytosol	C00168	1113-60-6	34120	
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	0	Cytosol, Periplasm	C05973		2706648	
rmn	L-Rhamnose	C6H12O5	0	Extra-organism, Cytosol, Periplasm	C00507	3615-41-6	35191	
2ippm	2-Isopropylmaleate	C7H8O4	-2	Cytosol	C02631		40241	
12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	C35H64O5	0	Cytosol, Periplasm	C00641		2618273	
pphn	Prephenate	C10H8O6	-2	Cytosol	C00254	126-49-8	34406	
uLa4n	undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose	C60H100N1O7P1	0	Cytosol, Periplasm			2374674	
grdp	Geranyl diphosphate	C10H17O7P2	-3	Cytosol	C00341		34675	
asntrna	L-Asparaginyl-tRNA(Asn)	C14H24N2O12PR2	1	Cytosol	C03402		52793	
arbtn	aerobactin minus Fe3	C22H33N4O13	-3	Extra-organism, Cytosol, Periplasm	C05554		2262677	
methf	5,10-Methenyltetrahydrofolate	C20H20N7O6	-1	Cytosol	C00445		34999	
cbl1	Cob(I)alamin	C62H88CoN13O14P	-1	Extra-organism, Cytosol, Periplasm	C00853	18534-66-2	36205	
asp-L	L-Aspartate	C4H6NO4	-1	Extra-organism, Cytosol, Periplasm	C00049	56-84-8	33663	
3php	3-Phosphohydroxypyruvate	C3H2O7P	-3	Cytosol	C03232		41453	
12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	C31H60O5	0	Cytosol, Periplasm	C00641		2618217	
mthgxl	Methylglyoxal	C3H4O2	0	Cytosol	C00546	78-98-8	35307	
op4en	2-Oxopent-4-enoate	C5H5O3	-1	Cytosol	C00596		35454	
hkndd	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate	C9H8O6	-2	Cytosol	C04479	53-42-9	43897	
apg180	acyl phosphatidylglycerol (n-C18:0)	C60H116O11P	-1	Cytosol			2707894	
dgdp	dGDP	C10H12N5O10P2	-3	Cytosol	C00361		34741	
etoh	Ethanol	C2H6O	0	Extra-organism, Cytosol, Periplasm	C00469	64-17-5	35062	
hemeO	Heme O	C49H56FeN4O5	-2	Cytosol	C15672		227628	
pgp120	Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)	C30H57O13P2	-3	Cytosol, Periplasm	C03892		2618947	
3pg	3-Phospho-D-glycerate	C3H4O7P	-3	Cytosol	C00197		34230	
glu5sa	L-Glutamate 5-semialdehyde	C5H9NO3	0	Cytosol	C01165	None	36962	
pmcoa	Pimeloyl-CoA	C28H41N7O19P3S	-5	Cytosol	C01063		36728	
urdglyc	(-)-Ureidoglycolate	C3H5N2O4	-1	Cytosol	C00603		1483307	
lald-L	L-Lactaldehyde	C3H6O2	0	Cytosol	C00424	598-35-6	34941	
tag6p-D	D-Tagatose 6-phosphate	C6H11O9P	-2	Cytosol	C01097		1439080	
cbp	Carbamoyl phosphate	CH2NO5P	-2	Cytosol	C00169		34125	
23dhbzs	2,3-dihydroxybenzoylserine	C10H10NO6	-1	Cytosol			2324010	
fcl-L	L-fuculose	C6H12O5	0	Cytosol	C01721		132120	
ps120	phosphatidylserine (didodecanoyl, n-C12:0)	C30H57N1O10P1	-1	Cytosol	C02737		2618962	
