bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035
b3340,16692.5977060955,15292.4604998976,14402.2462707554,15133.6534909777,12609.6665941315,4587.6728222225,10444.5771708082,6102.7769537618,7789.4855466892,9919.8418708205,13646.3612511228,10558.7947824855,11606.2440911236,9353.9931233588,5233.5822933412,6865.8394228928
b2697,1869.6786806622,1565.1970429748,1630.1924597341,1684.9261105446,1533.8613605354,337.8819873338,801.8368848259,455.9708177259,502.8775520583,962.9487017437,1280.9913218493,1026.7789392212,888.9731821124,573.3745482869,432.7801543279,454.3355751222
b2416,5478.0648670797,4779.7523983886,4750.6231540004,4775.1841831881,2793.871032597,1068.5854270754,2685.8746881826,1742.0440984838,1661.2236423467,2476.0754131423,2742.8643056334,2046.8538595711,1832.6983696511,1323.1114988691,1135.3477123765,1490.9764812617
b3732,12168.8788304262,10696.2531901879,11475.1721943101,10544.2843516935,12011.7358484595,5711.2937068519,12043.167887526,8099.7063153825,11076.9332490186,11372.3055584463,13161.4686786012,12246.3400987191,12690.8736330734,12124.2579975848,7038.7846590969,9096.702268268
b1243,7261.6967633827,7567.6349480962,10136.4671809822,6581.0696963309,11543.7684877447,10927.4132088508,9568.431342085,6414.3198097641,6407.8280075589,6848.8923994313,8800.5328548965,5986.3957099238,6906.9189683795,7723.1656130396,9956.7630241327,8061.9703417606
b2530,7653.1979096341,6697.0417284151,6917.0794731623,6698.2746020277,4476.1220835548,2223.0551040149,4463.7895847078,3884.2845389929,4572.1035730296,5219.5479254827,6194.0619709941,4088.4244141885,4243.150380271,3410.1386722715,2472.1118635981,3049.5958875741
b1136,17773.3435480047,16958.9815564029,21051.1301827397,16276.1019814636,17971.5798385199,9597.191635007,17961.7353835842,12384.2260653658,16359.0995682302,12945.8179776216,16595.3037660823,16299.0459463892,17876.4706162478,16052.6586220629,13329.8418903383,16448.2737242722
b0436,10564.0167315258,9189.1151086182,9657.2022479278,9353.5369683019,11368.2292504007,4048.4802465659,8390.0042476228,4794.4393431697,6295.6718971737,6706.0977174565,9120.901804231,6856.8339092768,7189.5898717115,5837.8976723528,4815.3735839299,6394.3169831981
b0115,4396.1397107121,3992.6117615683,4046.9878538657,4305.1544375053,1517.4091275312,1436.1399243874,2027.6019157825,1481.7656552574,1413.0558468034,2021.5646098097,5115.0054657023,2157.2629502434,2693.704849704,6261.9713808922,1319.4450582478,1554.5434828987
b3339,58506.1093517825,53588.9510435634,55134.4779955746,52168.3865601894,56177.4928712399,28072.8591411952,43265.3919473866,29964.437010893,37603.3186515355,39021.7351281589,52645.4241636201,44078.7697787901,45964.7289481448,39412.1786086446,31090.0168870535,41656.2269960659
b3559,1843.7236792992,1602.568553247,1639.9843140817,1730.3212288875,771.0976786541,342.8551747455,800.2704375937,655.3578640372,761.0621297396,1282.9153377456,1652.7166037841,1290.2385513785,1058.2775676036,735.99947928,349.2700488327,403.7950832819
b3164,4268.8939516798,3891.1532636404,4055.0346003616,3762.2876481616,3639.5397853506,1867.8549761874,3058.4096641013,2337.5901862006,2827.5547093581,2996.5897371254,3851.4216139866,3404.1542329416,3237.455522061,2510.4935017888,1940.272946683,2042.7307733851
b0903,2343.5664126482,2332.4283826722,1897.8214237913,2218.8938373806,1149.990973931,198.4971684155,508.9652670234,694.931830666,762.9967030099,1835.6816751656,1648.1551217144,1444.5682320365,958.3952197989,800.5682594145,260.4078440505,270.411233707
b0473,2262.1108228143,1924.6866039448,1946.055925885,2065.4845286858,1504.2510607551,647.2027895818,1406.2983703276,836.8176224532,1314.7275019116,1754.3806692676,1985.2386316351,1711.0004959615,1681.6171244339,1083.2626032755,782.5945269037,946.5531391205
b3734,10440.3315814661,9056.5729099859,9942.0619021477,9086.7161548487,12029.2493434898,7087.2772217129,11360.0743386898,7354.6756831424,9851.7401929601,10061.8178347084,10886.5193155248,11419.9164217024,11070.7661229726,10596.671062685,8260.9107783935,9250.8655890458
