bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0723,7437.775607762,7635.9820535274,7365.4476468318,7337.1596950976,8072.5703460063,7245.1853130312,7215.6313903112,6535.0063760245
b0724,6197.3042578968,6727.3019759982,6283.1701949682,6535.6541066793,7224.3758514345,6169.0982392491,6011.7003253416,5362.3886505726
b0726,3622.637825339,3699.9280913232,3565.2099758437,3695.2700310415,3922.7953104783,3565.8913162981,3803.2621916275,3554.0892652025
b0727,7876.4655890999,8443.8926916899,8238.5519371636,8378.3055796754,8630.6199385287,8055.8461012872,8822.9493281213,8511.275258193
b0728,24785.0885504243,25659.52759653,23005.9299342704,26701.2294781333,26791.8055335989,23341.1418425143,21659.1923185196,19197.1498043169
b0729,18226.4840589944,18135.4887951701,16339.6439426235,19215.7105910525,19408.4987060513,16783.325657113,15240.34899497,13608.5459904715
b0733,1121.3045604896,923.6709080434,845.4880282967,1124.9511364672,1056.5116400138,949.2976199039,862.9223273809,736.7756124809
b0734,355.8451445865,329.5945218912,282.8588467762,442.9032912011,,,246.607672658,256.1700531774
b0737,155.7699599014,173.6663377912,182.8284513327,174.4608124625,160.1774088429,168.3508522478,179.508600343,197.5584755107
b0738,,,,,,,,
b0739,,115.8941611692,,88.9343191883,,,111.3392310704,175.0976974372
b0740,1226.067321937,1180.8698895704,1224.3364196483,1127.635530132,1186.0397180444,1184.0026004729,1245.4174118471,1238.6578894348
b0741,14214.8625806019,17655.109601847,19890.4422820445,13919.0702838809,14694.8672492424,19060.9335176477,21162.53195521,20738.4972782065
b0742,642.1531662284,751.4359531475,833.0584869601,611.1991799395,646.5040959332,778.7530678818,882.0806308834,976.0619263315
b0750,124.8816187847,148.4601955112,131.4340563632,124.1854506377,159.4657176375,131.0433456765,154.3005893485,140.8842899767
b0753,,,,,,,,
b0754,2540.3813241068,3466.8997702172,4451.5160480874,2554.7258764502,2907.5531784955,3763.4244239423,4978.137747918,5923.96423164
b0755,8581.3207549066,7261.131809216,6221.0720497483,8853.1504194171,8299.3559842772,6734.06107589,5841.8724760633,5413.3861019625
b0756,782.3076591902,736.2529460602,724.6742679681,775.3909701696,883.3290671498,750.5548765524,713.3841614724,664.0188915607
b0757,438.9856392466,381.7407225349,307.9541384524,444.743659057,444.4981837208,362.9420197829,343.619871366,253.0896752493
b0758,62.7348779155,55.5614671415,50.9710766042,64.4238234628,60.2794691015,72.1317207856,46.6972666303,46.4331221236
b0759,569.5462634516,575.5520391393,491.0699725593,612.2446292098,599.52094896,493.9713848841,445.0722905147,452.409217329
b0760,71.8130885264,69.8821625262,60.711324239,83.5762411908,,67.8920244218,54.8912025762,56.9220015289
b0761,,,,,,,,
b0763,264.6008011398,,115.5709699566,199.0534053035,142.5833790471,209.9678915791,146.5656515733,115.0530601464
b0765,32.9371271992,37.1808466544,38.1249526059,,,56.1046671894,56.7780058339,16.7204934907
b0766,86.0253553135,123.2414637413,115.5647030082,92.5350127836,95.4336028735,119.2138864081,115.3749710974,123.1057106332
b0767,1192.6388421635,904.1450874035,796.5975453847,1132.2742434942,968.5605730304,855.728611649,751.3513657376,638.3206786527
b0772,378.0319083774,365.0005700874,404.1494524282,376.941196777,388.1577760574,379.080163665,426.3473505301,422.7439836236
b0773,,,,,,,,
b0774,,32.7730215633,39.5515788069,,,,38.6953731332,48.7252808337
b0775,,64.3711056652,76.6546395276,44.6510447219,,57.2089753131,90.9974445051,112.4699356042
b0778,114.2060743609,115.3231369324,122.6702063092,131.2699428352,103.9368953236,152.5313532609,120.6088014103,136.3000219654
b0779,142.8070951136,127.4983984474,97.6439837901,136.419108665,,87.6472635376,,92.0413385014
b0782,2156.0691735027,1838.6352368313,1582.6778661844,2076.7686872914,1892.5066186354,1657.5211387479,1426.6542167219,1270.1828469809
b0783,204.2989804307,227.0418818637,187.188494266,237.7639083543,221.9082512876,203.9361644472,176.6549142338,265.1882545248
b0784,,,,,,,,
b0785,,,,191.6079479348,217.7387359258,,200.8003746277,249.0293328999
b0787,,,,,,,,
b0795,20.4239624648,17.2264087814,17.6241618287,24.5476242784,,,,17.5501385802
b0797,,,,,,,,9.3196118655
b0800,441.8198102811,382.4718125513,398.5887010396,394.0683591179,389.4201747496,400.2453383135,334.1154988018,335.0151769229
b0801,722.7504765329,810.0359503269,858.632912964,766.1618085474,780.2012999051,858.4295623193,900.8375919589,963.9392319012
b0805,72.282261929,68.6726010946,78.895910991,27.7322995042,72.1792767301,34.4500766813,81.0746613577,38.4752832326
b0807,,,,,,,,19.8398297756
b0809,777.9294740718,704.4173930339,554.8446497263,784.3558907727,856.3388327818,567.4950422601,460.495516518,382.6904216691
b0811,13754.227977721,11417.0110132937,5830.7778917463,11979.3988636175,12420.1222572834,8951.8065683691,4350.2078925019,3472.8850602949
b0812,16773.9060785096,14617.13864044,15122.3088762297,16873.6638609293,14884.9073678105,13965.0223361954,13398.0881829132,12486.6750686386
b0814,3201.5176258454,3171.2066977765,4062.91711412,2636.2717937774,2588.7300998084,3621.7410644282,4839.9664483906,6519.090760275
b0819,1040.0456058671,1157.0182541544,1115.3135484748,974.0494333328,1053.2777016657,1044.7888045929,1151.6060571521,1216.7031966479
b0820,184.3870646805,196.9847853894,199.7557163212,169.5752621474,188.950308394,209.6467495112,199.533887795,190.5162556405
b0821,23.2145949227,22.4046182554,,,,,,22.0836928705
b0822,47.6867797469,52.2376236831,59.9143049406,49.6966023875,,,69.8073485681,65.0123416602
b0827,204.6527056729,203.8935546736,194.5219831621,210.5184407926,210.1338557683,200.9984827278,195.5731630174,189.600953955
b0830,208.2557675801,193.0792842227,167.4114792923,215.4371088171,191.1259141519,181.8201364787,139.0883273442,138.3655038232
b0835,101.5604364091,118.8942943351,135.5118941112,,122.2593441135,129.9090744251,163.7963762347,169.2678919947
b0838,1274.3541193663,1126.0587044339,919.4174555982,1292.4382590837,1146.2719152112,1076.9223537305,826.4802646283,786.5919301256
b0839,1162.181096666,986.4012616957,849.4745417632,1178.5394608569,1017.1551836971,885.9586630225,776.7474888128,656.2072770841
b0840,,9.8921203786,,,,,,
b0851,262.7538083138,269.1900822019,238.9673770875,290.1873546839,310.1965132944,273.2797404813,232.0364985059,210.4268468346
b0854,1492.5197922792,1187.3334480806,813.7490044706,1337.3045641159,1214.914161019,938.4916241652,705.6399504064,615.6114016701
b0855,65.439395976,63.4795362536,51.522012528,60.8696084653,,,50.8278616721,
b0860,1584.8509861857,2021.95549607,1835.4025350665,1296.7840468571,1727.5687250877,1835.0511444505,1842.5633461638,2150.4211949206
b0863,1578.0984084627,1365.2293828705,1055.7148719123,1267.0191211043,1455.6738732779,1255.1215023459,977.4235567192,992.6933134294
b0864,184.2377230438,167.8055179786,162.3512718278,,154.6099431493,,,171.7978503456
b0865,3127.156540865,2349.3654746305,2230.4967880487,2895.066450501,2628.2372143894,2253.702906904,1623.8702363743,1442.159163192
b0866,,507.3987870582,304.1185740864,474.2147040362,375.8694569617,,307.2984919836,254.0412746761
b0870,135.4897643965,199.1596447476,191.1122978467,181.6060076937,204.240484456,149.217033775,168.7792933922,179.0270115992
b0871,568.6214838572,381.4331944617,325.9950059466,515.9683395875,421.8563119779,318.1815827895,274.8184788,238.3984496078
b0878,,,51.4274356752,62.7437556166,,,,48.472112166
b0880,1759.0470013508,1386.3205121099,1110.9528103682,1702.5451606834,1698.2280779502,1067.3298076873,,
b0881,,,,,,,,
b0882,254.2291414308,248.2179207149,263.490544941,265.4346880291,226.475699145,227.5923707007,269.5314914373,276.6288348843
b0884,2522.8456147547,4254.3331066672,3132.4692681369,2511.7162789968,2489.4652972454,2858.361097909,2870.2028448245,3036.407510775
b0886,68.7317661111,52.8660053278,40.9866073641,,,,,37.2193753506
b0887,27.9770313451,,29.3531649836,31.2129978793,,29.7408671327,,27.4295084416
b0888,1479.8723669918,1578.7924997254,1618.2570003443,1438.2737372567,1426.7060058041,1651.9735254799,1741.4329299086,1779.6332408391
b0889,9238.2843225093,8853.3024015582,8086.3577362988,9221.9954592989,8981.4891740612,8358.0246752199,7838.3851004457,7715.9782180166
b0891,,,,,,,,
b0893,1823.0296946373,1924.309056519,1922.5660703356,1858.6995674014,1891.8866937631,1958.5993229125,2090.7988389669,2085.9165125897
b0897,1336.5777208251,763.0673083075,436.4772178232,1408.2176962977,1024.8338953416,561.0131778372,345.546800436,308.5696404202
b0902,221.9545561369,195.1570883269,176.1712573198,227.8538739505,210.7316594666,177.4119816607,177.9208327707,154.1534479507
b0903,12500.6369508681,9957.0057551641,8056.5426077806,12458.6096623973,11179.6663780375,8875.4585549776,7032.2433250227,6496.1141047312
b0905,49.7124738507,59.7014051674,86.321777093,45.7169067439,51.5281084836,66.5966894401,92.129707192,106.0736370952
b0907,6298.5007288537,6977.2253439823,7327.4911780005,6356.3752904067,6789.6102884771,7117.8505702873,7714.1967988982,8447.6129301984
b0908,340.6707763216,371.3770640081,418.8341150923,361.9582854407,340.4985649733,381.1381033646,469.2320305099,542.0224676622
b0910,202.9059177898,205.0261196838,198.3789106645,215.9929942121,197.7421206691,178.1594493816,192.40254628,210.6816678426
b0911,13120.9782415762,15567.0993925184,18361.8815050876,13103.678841059,13783.7111506391,16810.0223917118,20042.1860872639,21073.0272958027
b0912,6931.4590620546,5586.1216479799,5363.9803050365,6453.0170426529,5226.9000581349,5352.2585918839,5174.0547377352,4056.4185930654
b0914,55.5388092722,61.3608405193,56.2959099159,58.2987414216,56.5602707152,56.8277374821,68.0078031191,64.4282429403
b0917,1281.997172628,1188.6567749651,1049.96365692,1182.3991505299,1244.5290511581,1253.269548019,,987.1395462579
b0918,252.8448022874,312.3060045359,265.8676139964,275.28289168,261.6065628372,275.8047438422,320.509585263,364.787292657
b0922,,,,,,,,
b0923,173.5371783062,143.8054208179,149.0661017152,174.5375698008,174.3476927387,161.567661292,144.5091067974,129.3107726184
b0924,85.111907222,87.9049343051,81.1834157951,90.2341163756,93.1108497529,84.7202605493,80.9741551046,75.2124842718
b0927,282.4195695818,272.4954415101,175.4502212492,263.4496091516,266.5840477996,198.2858738124,184.7303835095,194.4446165162
b0928,11810.7471844515,12224.8693138038,10399.9206284225,12115.6675457293,12481.3730592755,11539.6434550678,9740.4927033474,9432.7137741092
b0929,76056.2098669692,77290.7478935323,64291.3072553496,77126.6861194412,78067.0928247128,70561.1389301815,57015.4159904459,47115.1611713116
b0930,2299.1036475624,2455.7913354644,2258.8713600265,2363.499450374,2486.7795295192,2325.9471763644,2488.1787335765,2529.5360029849
b0931,330.4844001427,363.8095755484,332.2368230341,362.2829641016,365.9291732826,358.1491279595,383.1791664173,346.6354919569
b0932,1037.7567851009,912.6037541266,791.4708896087,1008.3210131068,975.1097238027,882.8333372664,715.9335945691,623.5579759827
b0945,228.7165955531,377.985103628,552.7866382829,236.8620734823,303.4259460732,435.5263378432,666.0055533531,797.3415336035
b0947,46.0885700599,,29.0583177319,39.2945505717,,35.0653649174,30.4633093908,44.6909033299
b0949,18.6635961908,26.4621848728,31.5138536938,20.3360196681,,,,34.4687513571
b0951,,,,,,,,11.079215821
b0953,1396.0076686861,,,1688.8273109926,,,,
b0954,12274.6274728919,13217.8708713359,14239.9846466586,12418.8347083595,13118.6230768263,14881.9988452742,13656.1271973211,13256.9581137639
b0955,,,,5.0110082339,,,,
b0956,180.2729717548,161.2681924444,120.4393258576,196.9109557645,,123.1821180443,106.3452441055,
b0957,90750.2371868,98590.5777510878,106297.406674244,88853.4293051791,89737.8518518063,100865.798163334,109086.039802578,110621.885597525
b0961,,,,297.3056959865,272.4411746442,308.3153760822,,316.3742239918
b0962,,,129.1898208077,103.2966645487,,,,139.3595083956
b0963,569.6601188577,523.8613574622,427.6833481072,573.9047343509,345.8185192948,442.6510263359,422.942994415,329.7563985323
b0965,967.6842595806,1014.6966429129,715.5944481973,938.1243506335,895.7035715598,778.042982595,578.3709891012,541.9505487414
b0967,76.0594096712,81.9471328153,103.2837438426,81.2964936231,95.15213612,110.0984918243,94.7197367763,117.9408800581
b0969,,,,,,,,
b0984,,,,,74.8232254632,,,85.7263787167
b1000,,,,64.4474898638,57.5126492488,52.2074800674,,
b1002,1945.4741932733,1717.5527804485,891.3397191444,1772.138516897,1527.0135272179,1034.8200611832,205.715317822,368.1307977524
b1003,862.2490371304,697.2325450978,551.4424978493,804.0117407449,709.1529540018,602.0804111332,638.777836933,585.364265078
b1004,6786.8633996985,5003.4219974422,3951.6953391492,6404.6563145926,5195.4350695901,3852.8524347029,3175.0565372026,2824.423181762
b1014,,4.0862800406,,,,,,
b1015,52.2446488558,110.7097846262,69.973684119,,,,,
b1018,350.6232866123,441.8535673163,382.9465138162,344.5835827644,443.9363106374,387.5828803575,423.88386597,479.5960481098
b1033,381.6019149053,436.8108832724,402.1730826151,392.6670466137,433.0137070609,405.2340674492,368.6206870849,367.599572639
b1034,220.1017748444,197.3957208551,189.58445377,244.0912383939,228.2882006225,202.8212765343,194.8696368262,200.2567455648
b1035,302.785669843,317.453664699,346.885008729,297.6236984279,281.7262606,332.3293908542,339.5449135949,348.0767075942
b1045,,,,,,,,
b1048,1136.1466327391,1101.6309821264,1064.1835786283,1086.5305097119,1131.9287874246,1061.9171602956,1072.4122779133,1047.6805343184
b1049,63.5197475419,52.8663971092,81.5011889048,76.3319047687,63.2961335617,,70.7984854891,74.061671448
b1051,484.3578114407,382.778886959,399.3506868123,463.2498355172,457.5550377802,419.3336381622,308.7934931572,248.2840726717
b1056,300.0061344097,498.5201984937,199.1975466948,319.8408484959,235.7497923633,267.6997049438,177.736267271,166.1862799205
b1059,238.8282850442,243.1865108947,224.9462206606,255.579009909,266.4251725407,230.9366411693,226.4807858521,246.1830619089
b1062,2059.9417720804,2308.071783497,2301.4208545605,2062.8417306638,2289.8258346775,2229.5651110155,2384.0623818014,2626.4875111615
b1063,83.1182024912,102.9370522775,,,,,129.0719223906,
b1064,3066.3761767552,2810.0284759241,2504.5747196874,2948.5568249854,2721.1731180685,2489.85845869,2128.5202448805,1849.8432584642
b1067,415.5705973696,448.7586948435,418.9441484368,453.5468288994,406.9980558486,396.154666045,399.7314037733,370.3946824859
b1071,,,,,,,,
b1076,,,,,,,,
b1078,,,172.0058426054,,,,,
b1079,,41.569173313,,31.6847574599,69.3635771574,,,
b1080,,,,,,,,43.234457962
b1084,645.6464499729,728.5893621442,691.3631910565,680.0103288273,711.9944910933,712.1609201248,732.0940577598,715.0738493508
b1086,71.8156844744,70.2857369301,72.5828246261,63.6271616308,64.8975351352,70.3402721905,87.2600657266,85.6729517282
b1087,508.2295835436,430.7376399892,327.4504573977,506.4598555014,391.0019653829,339.0133546803,280.4043651126,251.9834747426
b1088,507.8527782645,627.4576565904,573.8121948322,520.9057757877,485.0081642302,576.5077192737,582.507203382,596.0284891282
b1089,9162.0070051343,10814.1488238297,10822.8240635069,8545.8106637967,10225.0149896191,11747.4305052717,11810.1518054022,11842.0474665707
b1091,952.0640886648,872.1261134927,818.1314424338,896.1798362191,919.2285182238,826.0804641674,840.0093153319,832.8664116297
b1092,3086.2379762413,3257.8285800299,3034.9661264643,3073.3821375427,3177.9794355594,3224.2666308816,2970.0633439546,2925.5450644205
b1093,4126.7840374629,4266.9227048558,4323.6162689937,4105.6341041124,4369.4306845855,4433.6437878461,4316.804907288,4207.8900379286
b1094,17091.2899891141,15368.8054375845,12558.4803676794,16134.2722738458,16890.7412121051,15579.4257731084,12089.616910824,12425.1091334136
b1095,535.348811132,590.3078630186,617.727923889,483.59317028,538.3823250776,624.1002695224,622.3636168945,602.6786939788
b1097,,9.1551126961,,10.4705655525,,,,
b1098,,,,,,,,
b1101,4741.1273891007,5898.418828344,5754.4426205736,4424.3515653722,4967.9607240765,5854.3114673631,5475.0842313157,4904.4262491718
b1103,1963.9814295989,1840.6196039577,1644.6819375608,1997.7580607936,1681.3481722321,1600.7203392057,1449.4138733418,1323.2629767052
b1105,327.4892291985,305.1345968301,247.3224198323,338.2653984737,354.0550575008,331.0920886701,315.7710431087,271.6926168633
b1107,,53.2484740993,,52.1200384429,50.2722932926,,,51.5274979138
b1108,1198.9381305875,1070.1911247375,1031.7985548191,1111.0391074883,949.8509753534,1072.835193743,846.8162981493,753.7879660772
b1109,154.6263578287,171.1930611062,202.5203205259,166.9778259545,168.087251445,224.8928993071,243.0751387807,303.2110943517
b1114,62.3542447724,72.0427296018,73.2208944485,77.3871271296,64.6595381789,75.1784553298,96.9849813836,79.1537725196
b1117,128.4485996294,129.7187286803,133.263746087,130.8098336869,134.8217756671,128.6099864996,123.9212877215,133.6542179187
b1118,,,,7.9168231827,,,,
b1120,303.8954098249,,271.3100531609,388.0371987971,375.732462571,318.2969097583,277.2663806807,280.8137734141
b1123,2992.24350652,2795.8742282371,2239.7357879686,2902.8824996802,2906.9004816684,2566.767069909,2128.6155412149,2093.0853965247
b1126,138.3502946685,151.9990982146,151.5995752243,130.3335949484,138.6179936881,170.5150779675,172.0892776478,193.544964593
b1127,198.5857837117,153.281401804,143.1953431417,234.2647560075,163.3625005954,157.9342074914,136.188638877,112.3023965683
b1128,186.2680243463,170.6498474733,156.5056823778,182.257312343,192.526149432,182.1579892191,142.4560194675,145.9766308959
b1130,1258.7006455086,1174.809473165,1107.943097184,1200.3557982431,1250.2732558,1170.6351032016,1057.6895314441,1009.4010044748
b1131,1666.4762489,1898.3486352352,2127.4530164646,1669.0432931885,1819.2428001179,2022.8390255547,2408.8817027657,2607.1856206965
b1132,20.9741913549,25.08652624,,30.4275059743,,24.3777089328,,
b1133,243.4681794701,233.3578186183,231.2549178885,250.3219042792,236.1778802071,207.2872287209,216.043249743,239.8681285988
b1136,31732.1306603338,33002.6260738783,27409.4243608829,31701.9695018204,33161.0001587637,29923.70427493,24669.6949262528,22766.76680373
b1174,1549.0416902454,1517.040284611,1177.0106911878,1553.8034278463,1600.3233765025,1320.2396056355,1124.6303653077,1042.9775299038
b1175,4270.2458738253,3819.7748289396,3127.4782906464,4203.1439020756,4239.5394530223,3538.2221391158,2911.6055242523,2707.4687970211
b1176,122.2426862797,118.7917335554,108.4891730937,172.3482253775,,,134.7179437953,
b1179,459.7124252561,473.7372239548,520.7453069985,492.1514030035,464.8279120386,564.9521394995,647.1672467027,533.7475571674
b1180,79.4655595339,69.7162746237,62.54078276,102.4419117458,81.639876365,51.6777451902,,50.7417349358
b1186,,,,,,56.5774045734,,107.5303597
b1187,116.0754045465,101.0852334978,90.0908058564,,103.6617987421,88.8280693233,81.6742483361,79.6314203004
b1189,260.188508148,373.5560526937,297.0267706302,295.5699389097,288.9790179543,271.8250897505,249.7815733076,219.889435771
b1190,102.6472832773,89.6656324699,,,,,,28.4504379311
b1193,128.4755289212,129.4296207059,153.4003764487,,101.5303105203,125.3178976418,167.965300502,203.6055453884
b1194,43.7955589287,63.7617401097,28.4890480565,22.0906085468,77.6785843258,64.1086523852,1035.1271955659,14.1378102307
b1197,131.4720082241,162.3376834583,48.1562971559,159.9566800901,122.5643624146,92.3123360897,72.3085772677,38.0728218393
b1198,68.0135739943,81.0316446293,96.8798511981,68.6715279913,74.4303377824,86.5997044789,108.8204465568,130.3609979497
b1199,288.9914186963,142.0524740732,144.7938429694,148.0999598,141.3294614143,128.1314426532,131.3838228133,110.3506707394
b1200,683.2852453749,583.9547057627,489.3330466077,694.0845525167,595.6602107277,453.6980937687,389.2814057315,377.0766262592
b1203,1037.3592252871,1207.2571380742,1487.616592864,1022.9115603298,1161.0102824725,1292.9618328864,1477.3423037772,1575.6979591488
b1204,180.3182096486,173.3901312367,204.6932983584,164.8682480347,169.0800054934,185.3964601195,183.2286462709,169.7941963808
b1207,2909.9323548129,3326.1031162899,3237.5593624697,2941.9269888091,3147.1725912033,3339.3262496603,3238.8512769795,3276.3751781913
b1208,80.0934473845,,,,,,,
b1209,390.5213083357,398.0940504758,394.674719054,401.6174480805,475.2273431583,412.0951456813,417.2883596944,443.6033477273
b1211,,,32.3649788031,24.6940691106,,,38.4865711163,34.5064144995
b1215,3340.9986688122,3331.5082412358,3247.1448980031,3431.034002771,3466.4707976716,3334.1885256528,3216.6911129011,3069.8667803259
b1217,,,,,,,,
b1219,1586.4130599777,1112.4676176446,643.9610810096,1577.0520879358,1366.5495775083,903.8043063072,714.7816081228,645.3019817537
b1221,476.7803069368,506.1653414753,518.7043619475,499.0083752851,489.7412376356,519.3347427695,487.434493651,458.5868261784
b1232,599.3598184265,658.3126804238,724.2697813319,562.2957378491,584.9116276542,705.2802238746,782.6482415803,934.3856861632
b1236,1857.026766416,1839.2272224745,1751.3184441689,1907.7329456626,1733.7485831932,1816.2141781148,1720.6051950996,1798.6594416491
b1237,48047.9338705781,42600.5667028202,36076.6442556684,46846.0814724654,45561.9868247646,40105.3498038862,34483.859430649,29617.7763390967
b1238,,,,71.771771879,,,,110.863220541
b1241,6074.0776295887,5382.3526783411,5604.1855164183,6146.2690359789,5714.8618438515,5677.2920880724,5811.9659152008,5171.5483698198
b1243,9445.7198832658,8995.9425568783,8075.0310296546,9520.7255228408,9265.154203846,8690.3828981045,8070.5010624238,7652.2822367905
b1244,,35.9194643587,,49.5116067604,,,,
b1245,,38.8325419482,41.7590631324,,,,,44.8244827229
b1246,68.6836767274,78.9376546161,62.6960598031,64.9631029837,61.2412383532,55.276832033,61.1323777837,46.9847037939
b1247,150.1682116982,190.4936317177,167.1174668066,146.9320420355,178.7679461056,187.8003085256,175.6241305528,180.1287623635
b1251,1597.7218669803,1461.0737054118,1231.6999206293,1581.4877816466,1486.879880731,1409.4353735193,1078.2637135134,981.5833910795
b1252,,,,,,,,
b1253,94.3650114494,,,,,,,106.2295657443
b1256,354.8158350941,322.5937999065,446.4575596003,571.0314504515,283.6051564213,488.4478367643,,
b1258,1391.2569148173,701.9089234555,624.5027561021,2142.0939295705,,731.568684111,565.0568072871,420.1962687369
b1260,2941.2399187134,3071.475170205,3300.4939792636,2992.0828223253,2887.153890247,3054.3039386494,3547.4726433479,3828.4312465162
b1261,2024.7855574501,2073.02055525,2405.7509192325,2002.7889220429,2131.4817569036,2205.2658016709,2665.8950323966,2896.9759976475
b1262,571.3701247652,551.9490278184,617.3803395969,517.0808302467,542.310235402,563.2993066795,655.0303635622,736.9881729392
b1263,287.0696192185,304.3558931378,348.44714401,285.2810876168,282.0776360396,309.8437637944,385.1454605566,413.8459787744
b1264,309.825645876,324.5670388143,395.2171455664,308.8080137637,320.4854721338,340.6253966131,435.6025667141,480.2319821573
b1267,396.3037680793,390.8397533893,313.0564862088,422.0656914641,368.87427124,325.7355380656,297.2634790214,280.0201513516
b1269,198.0143938046,257.6332530132,282.0964888851,237.5912137504,248.9334341829,276.4098065072,283.5134429683,312.4658781202
b1271,157.8507282706,182.9011750597,126.4379891706,,,,,93.7736024803
b1272,190.9558902738,224.7180916392,281.3741763157,215.0962974627,196.6704641782,252.6014695097,304.0264110792,296.2816144109
b1273,528.0829760627,467.1546464231,393.0297360052,610.6808637554,,465.5826000447,344.7744803572,318.5611466312
b1274,235.7955844807,210.7302655094,224.3528508897,206.5613465026,225.8112273045,208.2817450171,215.1830138365,216.3988360517
b1275,191.9890932257,227.4492524062,235.7866697929,208.4221834842,221.5371963934,273.4563052103,287.0822951778,265.1491773483
b1276,1314.3926096,1082.6607374194,755.6696284152,1300.3813432198,1127.1954044165,868.296052287,623.2077124999,484.6761293539
b1277,,100.501743922,118.0482173127,98.8962213682,112.3034668132,107.4773195273,93.4192273875,107.0180856066
b1279,,,,,,,,
b1281,229.6656554152,276.9331805117,306.1960877859,238.1098351569,281.2416868687,289.3464840982,349.7508059713,416.4423930416
b1284,,,,30.9969229297,36.5329196879,,,24.3006806994
b1286,399.1522735442,458.7050195486,489.5601166569,386.0772495577,450.0990802629,478.6533866272,557.6979395088,635.5668118198
b1287,,,,,,26.9358086634,,
b1288,6821.1333573295,7155.2223282297,7205.4446498408,7122.5811551066,7018.5661570666,7116.3071790561,7555.9770943756,7915.580399143
b1294,,,,,,24.9502317804,,
b1297,,,,,,,,
b1298,273.2036342755,225.1295441528,,221.9129887045,199.8950473072,,,
b1299,,,,133.5679826648,,164.6539900177,,
b1300,98.9142001192,173.0524347709,,131.6743993602,193.2156417345,98.0565065049,,103.1174673533
b1302,71.5966433575,202.9481857967,126.7404071848,182.6935173483,,,,
b1304,2148.753670494,2225.9675767797,1606.5209055477,2152.8569120779,2009.4963944721,1795.1722974679,1478.2088988032,1294.317542022
b1305,513.824296849,,,,632.6562892275,288.1741978491,,
b1323,52.3018017439,45.4277527714,44.7026846243,37.2899909692,45.3636041257,,43.4836855707,37.5639199869
b1324,19188.530944062,19925.4987629998,17832.5474266083,19647.7155669905,20231.2245591719,20051.4565728367,18046.3496814361,18291.3959258734
b1329,,,45.5778203375,65.1627429658,,,,29.8862715086
b1333,259.4273482238,277.4105228289,236.4690196294,239.2484731332,83.0501904061,378.0050835595,113.1073743845,150.4294686328
b1334,2214.6929539481,3820.4088070179,628.1335279282,245.2661394003,,,,309.0778944154
b1344,,,,,,,,288.2435081197
b1376,8093.630397921,4980.0486233728,2817.89545666,6978.435192053,6838.1856142638,4390.3855467516,2249.6377538698,1421.3560054794
b1377,,,,,,,,
b1378,31.9428192548,23.4452445728,24.2474775506,31.5796217118,27.6847684319,22.9810122786,24.8788498215,19.1410929639
b1380,698.2821571818,551.6019058342,482.6500886641,684.9334120177,597.3564810075,492.0417643565,416.4893967826,393.3809568072
b1400,,,,,,,,
b1406,457.3106583179,419.2277273428,198.2095976183,685.4459240206,451.2208544116,240.5391272698,,
b1412,534.9144592641,545.3944740389,472.989229457,517.679370984,492.2417699072,469.3696620265,469.523549167,505.9203187386
b1413,28.3231153381,33.1747712562,25.4083925593,,27.6831085684,30.6524980984,,31.2266466941
b1414,188.2292879157,119.2708846255,87.6109473214,160.755081967,134.7928905837,98.7133218196,77.0669867704,61.1090423485
b1415,33062.343721541,24207.825258273,11897.4885661351,26874.13489337,24532.8628463929,15625.6172356054,8317.4893488481,4742.3841996445
b1421,,,,,,,,2.3128232472
b1422,,107.7141454855,87.7141432139,83.2827999279,,,,49.0660054185
b1424,,38.8155357505,34.6225141217,,,,,29.0875066158
b1426,,,,500.1049677373,,,,
b1430,261.403359809,249.8707682393,263.5101085615,255.0356436703,241.9757743216,288.2155105399,197.1347093791,210.3012395003
b1431,2405.0938984662,1704.0348059121,1249.985846093,2409.7842963072,1958.5862290787,1549.8829802414,1034.9630656686,879.5587858468
b1440,918.0197181766,805.4810431168,,553.3663791211,323.7298703774,,,
b1441,,,,,,,,
b1444,835.9903213536,554.062637461,,963.7143171943,893.4919417839,240.9921493495,,132.2314214913
b1446,211.8425205159,215.5907084831,211.4799261173,216.1963386789,,235.2321745436,236.9240908638,243.8616640266
b1449,,153.5040352009,126.82407478,224.1757468116,191.9340747842,150.9821931941,117.8391705378,94.5684037209
b1452,872.4615145944,1106.0287511077,1138.6931413359,889.1623786884,1049.0513444415,1212.4987793706,1186.2539741807,1247.1861420338
b1470,268.793888885,313.4277484856,312.9954003587,310.1281567727,307.8200498539,256.431109948,228.7576008435,255.1089734699
b1478,,,,,,,,
b1479,543.7667991105,613.4849791391,657.9027087914,549.6939999701,589.6902161088,612.7960078424,719.7371003572,696.1624996129
b1480,9238.1502281132,8291.501957677,6913.6980306081,9122.8369073353,8415.5317719815,7815.1944281064,6020.0904208716,5189.1749213944
b1482,13282.8534267772,7719.9924536738,5625.6335776606,12629.681356314,10552.1129194146,6692.7698929048,4295.8563565379,3264.4042320741
b1487,46.4207332015,,18.8081120803,36.0057772246,,,,
b1492,,,,,,,,
b1493,1135.5908593487,852.1993797534,943.3048843623,1196.6512270474,434.9051367736,530.9160616852,722.49020871,609.8056116414
