bnumber,vilu_011,vilu_021,vilu_031,vilu_04,vilu_049
b0305,,,,,
b0306,,,,,
b0307,,,,,
b0308,,,,,
b0310,,,,,
b0311,,,,,
b0312,,,,,
b0313,,,,,
b0314,,,,,
b0315,,,,,
b0316,,,,,
b0317,,,,,
b0318,,,,,
b0319,,,,,
b0320,,,,,
b0321,,,,,
b0323,,,,,
b0324,,,,,
b0325,7219,4104,2594,1748,1312
b0326,,,,,
b0327,,,,,
b0328,,,,,
b0329,20607,9147,10176,8422,2329
b0330,,,,,
b0331,561,,,,
b0333,411,,,,
b0334,772,,,,
b0335,,,,,
b0336,,,,,
b0337,648,1077,1580,2114,1667
b0338,,,,,
b0339,,,,,
b0340,,,,,
b0341,,,,,
b0346,48,63,37,16,9
b0347,,,,,
b0348,,,,,
b0349,,,,,
b0350,,,,,
b0351,,,,,
b0352,,,,,
b0353,,,,,
b0354,229,222,226,242,234
b0355,,,,,
b0356,672,684,539,465,444
b0357,175,174,183,157,181
b0358,,,,,
b0363,,,,,
b0364,,,,,
b0365,,,,,
b0366,,,,,
b0367,,,,,
b0368,,,,,
b0369,1263,1548,1261,855,1572
b0375,,,,,
b0376,,,,,
b0377,,,,,
b0378,,,,,
b0379,,,,,
b0380,,,,,
b0381,514,19,26,940,38
b0382,2292,2011,1789,1412,
b0383,,,,,
b0384,275,,,,
b0385,,,,,
b0386,1242,970,714,637,609
b0387,,,,,
b0388,252,304,326,274,238
b0389,1320,,,,680
b0390,439,337,,164,
b0391,1298,,,,
b0392,,,,,
b0393,394,394,377,318,373
b0394,468,363,283,211,150
b0396,,,,,
b0397,,,,,
b0398,,,,,
b0399,101,,,,
b0400,,,,,
b0401,,,,,
b0402,,,,,
b0403,,,,,
b0404,,,,,
b0405,,,,,
b0406,83,100,118,146,156
b0407,2967,3695,3512,3064,1969
b0408,174,178,186,167,152
b0409,121,37,202,32,25
b0410,529,595,435,391,283
b0411,278,244,237,226,161
b0412,,,,,
b0413,256,251,210,117,196
b0414,52,42,48,32,38
b0415,4907,6029,7324,6951,6609
b0416,1511,1619,1831,1746,1804
b0417,192,176,167,160,138
b0418,,,,,
b0419,1137,823,599,434,348
b0420,110,108,100,79,69
b0421,184,187,176,145,133
b0422,492,465,381,294,315
b0423,,,,,
b0424,408,416,416,414,466
b0425,,,,,
b0426,5396,4650,3865,3684,4125
b0427,,,,,
b0428,,,,,
b0429,,,,,
b0430,,,,,
b0431,758,1169,1262,1521,1915
b0432,867,1267,1526,1424,1863
b0433,,,,,
b0434,1108,1270,1181,1072,978
b0435,539,715,1337,740,1390
b0436,6359,6911,7938,7805,9068
b0437,3523,3954,3935,3195,3847
b0438,799,960,1223,1219,1368
b0439,1404,1343,1448,1435,1371
b0440,24968,24209,19894,14063,10862
b0441,844,902,859,738,664
b0442,,,,,
b0443,582,420,201,76,35
b0444,307,304,336,302,324
b0445,,,,,
b0446,,,,,
b0447,,,,,
b0448,,,,,
b0449,,,,,
b0450,,,,,
b0451,,,,,
b0452,239,197,161,149,157
b0453,2613,1859,2225,2126,1703
b0454,,,,,
b0455,,,,,
b0456,452,,,,
b0457,,,,,
b0458,,,,,
b0459,,,,,
b0460,,,,,
b0461,,,,,
b0462,226,259,252,242,173
b0463,1278,1218,1174,1003,848
b0464,,,,,
b0465,,,,,
b0466,,,,,
b0467,,,,,
b0468,,,,,
b0469,702,779,828,924,1141
b0470,41,42,38,30,29
b0471,2337,,,2038,2489
b0472,,,,,
b0473,1383,1353,1331,1330,1264
b0474,3355,4387,3628,3413,3974
b0475,,,,,
b0476,,,,,
b0477,,,,,
b0478,,,,,
b0479,,,,,
b0480,621,507,522,455,404
b0481,260,365,355,269,469
b0482,,,,,
b0483,,,,,
b0484,318,361,375,324,282
b0485,,,,,
b0486,,,,,
b0487,,,,,
b0488,,,,,
b0489,,,,,
b0490,,,,,
b0491,,,,,
b0492,1560,1589,1710,1652,1644
b0493,,,,,
b0494,205,202,194,158,148
b0495,,,,,
b0496,,,,,
b0497,,,,,
b0498,,,,,
b0499,,,,,
b0502,,,,,
b0503,,,,,
b0504,,,,,
b0505,,,,,
b0506,56,63,67,69,79
b0507,,,,,
b0508,,,,,
b0509,,,,,
b0511,,,,,
b0512,,,,,
b0513,,,,,
b0514,,,,,
b0515,146,,,,
b0516,,,,,
b0517,,,,,
b0518,,,,,
b0520,,,,,
b0521,,,,,
b0522,262,,,436,
b0523,1174,1864,2098,2427,3157
b0524,,,,,
b0525,3963,4514,3653,3682,4366
b0526,391,382,440,418,518
b0527,,,,,
b0528,785,868,820,996,1144
b0529,362,413,463,503,501
b0530,,,,,
b0531,,,,,
b0532,,,,,
b0533,,,,,
b0534,,,,,
b0535,,,,,
b0536,,,,,
b0537,,,,,
b0543,,,,,
b0544,,,,,
b0545,,,,,
b0546,,,,,
b0547,,,,,
b0548,,,,,
b0549,,,,,
b0550,,,,,
b0551,,,,,
b0553,,,,,
b0554,,,,,
b0555,,,,,
b0562,,,,,
b0564,,,,,
b0565,512,531,548,603,625
b0566,,,,,
b0567,,,,,
b0568,,,,,
b0569,,,,,
b0570,,,,,
b0571,304,305,165,154,111
b0572,298,341,233,143,101
b0573,2651,2686,2325,1550,1213
b0574,353,458,370,251,171
b0575,,,,,
b0576,,,,,
b0577,,,,,
b0578,1502,1915,1915,1923,2124
b0579,,,,,
b0580,,,,,
b0581,966,703,565,381,
b0583,,,,,
b0584,,,,,
b0585,,,,,
b0586,,,,,
b0587,,,,,
b0588,,,,,
b0589,,,,,
b0590,,,,,
b0591,,,,,
b0592,124,189,73,,121
b0593,,,,,
b0594,,,,,
b0595,,,,,
b0596,,,,,
b0597,,,,,
b0598,1435,1830,1359,722,137
b0599,,,,,
b0600,,,,,
b0601,,,,,
b0602,,,,,
b0603,,,,,
b0604,54,47,57,58,62
b0605,18461,22007,19076,16176,15751
b0606,692,750,835,772,744
b0607,3489,3030,2915,2448,2140
b0608,218,,,,
b0610,835,,,,
b0611,,,,,
b0612,,,,,
b0613,,,,,
b0614,,,,,
b0615,,,,,
b0616,,,,,
b0617,,,,,
b0618,,,,,
b0619,,,,,
b0620,,,,,
b0621,,,,,
b0622,,,,,
b0623,15394,17963,16611,19467,20163
b0624,,,,,
b0627,,,,,
b0628,522,561,472,434,439
b0629,,,,,
b0630,,,,,
b0631,3195,2780,2234,2188,2475
b0632,609,704,828,857,990
b0633,37,48,39,36,46
b0634,,,,,
b0635,,,,,
b0636,,,,,
b0637,,,,,
b0638,,,,,
b0639,,,,,
b0640,,,,,
b0641,,,,,
b0642,1738,2009,1921,1858,1782
b0643,1639,1203,846,693,520
b0644,,,,,
b0645,,,,,
b0646,,,,,
b0647,,,,,
b0648,,,,,
b0649,,,,,
b0650,,,,,
b0651,143,182,152,126,76
b0652,,,,,
b0653,,,,,
b0654,,,,,
b0655,4326,3799,3134,2268,1850
b0657,,,,,
b0658,179,201,208,185,173
b0659,,,,,
b0660,671,601,698,678,755
b0661,,,,,
b0662,87,72,60,60,59
b0665,,,,,
b0670,,,,,
b0672,,,,,
b0673,,,,,
b0674,413,526,673,755,741
b0675,593,582,527,477,496
b0676,41,43,48,33,27
b0677,250,,146,,
b0678,1611,1382,1207,970,762
b0679,895,986,652,405,193
b0680,1202,1293,1415,1425,1435
b0681,,,,,
b0682,,,,,
b0683,3227,2868,2506,2107,2114
b0684,269,243,197,189,196
b0685,,,,,
b0686,626,644,585,598,501
b0687,522,502,413,369,416
b0688,1693,1668,1549,1282,1185
b0689,,,,,
b0691,,,,,
b0692,,,,,
b0693,,,,,
b0694,,,,,
b0695,,,,,
b0696,,,,,
b0697,,,,,
b0698,,,,,
b0699,,,,,
b0700,,,,,
b0702,,,,,
b0703,,,,,
b0704,,,,,
b0705,,,,,
b0706,,,,,
b0707,,,,,
b0708,,,,,
b0709,,,,,
b0710,900,904,763,730,565
b0711,,,,,
b0712,96,95,92,77,68
b0713,,,,,
b0714,,,,,
b0715,,,,,
b0716,,,,,
b0717,,,,,
b0718,,,,,
b0719,,,,,
b0720,8332,10668,8794,7284,4644
b0721,,,,,
b0722,308,637,621,457,215
b0723,2940,4297,4827,4099,2476
b0724,3051,4150,4423,4554,2311
b0726,2044,2906,3181,3183,2125
b0727,3550,4651,5316,4970,4080
b0728,7535,10495,10578,9833,5846
b0729,6423,10069,9763,8826,5563
b0730,,,,,
b0731,,,,,
b0732,,,,,
b0733,1228,1281,1135,807,693
b0734,669,698,558,398,321
b0735,,,,,
b0736,,,,,
b0737,136,172,150,149,185
b0738,,,,,
b0739,,,,,
b0740,2405,2364,2297,2101,2509
b0741,92,95,102,102,107
b0742,708,674,711,645,712
b0746,,,,,
b0749,,,,,
b0750,189,231,209,192,213
b0751,,,,,
b0752,,,,,
b0753,3110,,,,
b0754,1327,1881,2142,3132,3710
b0755,10479,9191,7016,6713,6203
b0756,863,836,754,779,721
b0757,324,272,225,168,118
b0759,640,617,481,449,391
b0760,49,61,60,56,61
b0761,,,,,
b0762,,,,,
b0763,881,984,1155,905,637
b0764,,,,,
b0765,77,,40,,
b0766,,,,,
b0767,2739,1874,1697,1570,1371
b0768,,,,,
b0769,,,,,
b0770,,,,,
b0771,,,,,
b0772,72,76,77,69,78
b0773,503,317,237,231,134
b0774,,,,,
b0775,,,,,
b0776,,,,,
b0777,,,,,
b0778,79,,111,97,125
b0779,113,96,79,66,62
b0780,,,,,
b0781,,,,,
b0782,3343,3409,2950,2548,2355
b0783,278,267,302,261,238
b0784,386,367,332,350,286
b0785,311,301,324,287,315
b0786,,,,,
b0787,,,,,
b0788,,,,,
b0789,,,,,
b0790,,,,,
b0791,,,,,
b0792,,,,,
b0793,,,,,
b0794,,,,,
b0795,,,,,
b0796,,,,,
b0797,,,,,
b0798,,,,,
b0799,,,,,
b0800,1013,1061,1159,1033,1052
b0801,775,1112,1368,1394,1517
b0802,,,,,
b0803,,,,,
b0804,,,,,
b0805,,,,,
b0806,,,,,
b0807,,,,,
b0808,,,,,
b0809,1473,1460,1184,1138,762
b0810,,,,,
b0811,12252,14498,13662,9086,5384
b0812,7821,8766,9892,8665,5810
b0813,,,,,
b0814,,,,,
b0815,,,,,
b0816,,,,,
b0817,,,,,
b0818,,,,,
b0819,1652,1674,1791,1814,2287
b0820,202,283,238,233,275
b0821,,,,,
b0822,,,,,
b0823,,,,,
b0824,,,,,
b0825,,,,,
b0826,,,,,
b0827,265,236,252,230,228
b0828,,,,,
b0829,,,,,
b0830,831,714,698,578,580
b0831,,,,,
b0832,,,,,
b0833,,,,,
b0834,,,,,
b0835,,,,,
b0836,,,,,
b0837,,,,,
b0838,1958,1767,1557,1474,1162
b0839,1776,1375,1259,1019,922
b0840,,,,,
b0841,,,,,
b0842,,,,,
b0843,,,,,
b0844,,,,,
b0845,,,,,
b0846,,,,,
b0847,,,,,
b0848,,,,,
b0849,,,,,
b0850,,,,,
b0851,149,149,127,137,122
b0852,,,,,
b0853,,,,,
b0854,5625,3697,2658,2101,1699
b0855,198,193,139,113,
b0856,,,,,
b0857,,,,,
b0858,,,,,
b0859,,,,,
b0860,2046,2942,4197,3758,7098
b0861,,,,,
b0862,,,,,
b0863,3334,2724,2995,3211,2744
b0864,340,,241,210,243
b0865,458,332,289,239,181
b0866,,,,,
b0867,,,,,
b0868,,,,,
b0869,,,,,
b0870,515,633,678,574,598
b0871,2445,1714,1352,1071,807
b0872,,,,,
b0873,,,,,
b0874,,,,,
b0875,,,,,
b0876,,,,,
b0877,,,,,
b0878,10,,,,
b0879,,,,,
b0880,5029,3818,2268,1407,589
b0881,,,,,
b0882,881,1055,1276,1245,1354
b0884,2679,2981,3197,3325,4038
b0885,,,,,
b0886,,,,,
b0887,,,,,
b0888,1488,2144,2098,1923,2377
b0889,6170,5918,4831,4104,4379
b0890,,,,,
b0891,715,759,933,934,1116
b0892,,,,,
b0893,1874,2052,2178,2024,2144
b0894,,,,,
b0895,,,,,
b0896,,,,,
b0897,6384,4735,2197,2407,1620
b0898,,,,,
b0899,,,,,
b0900,,,,,
b0901,,,,,
b0902,329,299,261,258,254
b0903,11018,9016,6292,5409,4595
b0904,,,,,
b0905,,,,,
b0906,,,,,
b0907,4226,5655,6010,5968,8002
b0908,400,397,447,527,701
b0909,,,,,
b0910,406,371,308,297,339
b0911,9620,9870,11901,12827,13745
b0912,8598,6740,5673,4703,4291
b0913,,,,,
b0914,69,69,62,61,50
b0915,,,,,
b0916,,,,,
b0917,510,518,487,494,610
b0918,360,391,410,406,454
b0919,,,,,
b0920,,,,,
b0921,,,,,
b0922,,,,,
b0923,251,246,189,188,184
b0924,91,,,,
b0925,,,,,
b0926,,,,,
b0927,967,824,617,545,602
b0928,4790,7066,7715,6069,5576
b0929,2517,3787,2870,2354,696
b0930,2356,2881,2999,2770,2977
b0931,402,477,451,395,444
b0932,1265,1381,1338,1033,942
b0933,,,,,
b0934,,,,,
b0935,,,,,
b0936,,,,,
b0937,,,,,
b0938,,,,,
b0939,,,,,
b0940,,,,,
b0941,,,,,
b0942,,,,,
b0943,,,,,
b0944,,,,,
b0945,118,199,310,358,542
b0946,,,,,
b0947,235,164,161,122,92
b0948,17,17,16,16,14
b0949,,,,,
b0950,,,,,
b0951,,,,,
b0952,,,,,
b0953,4775,1405,636,257,
b0954,5753,5037,4936,5166,4232
b0955,,,,,
b0956,216,196,165,130,117
b0957,4221,4494,5161,5036,4885
b0958,,,,,
b0959,,,,,
b0960,,,,,
b0961,,,,,
b0962,309,303,321,276,248
b0963,1041,877,1050,763,629
b0964,,,,,
b0965,1939,1578,1494,1116,1034
b0966,,,,,
b0967,52,66,69,80,72
b0968,231,147,109,86,75
b0969,,,,,
b0970,139,,,,
b0971,,,,,
b0972,,,,,
b0973,,,,,
b0974,,,,,
b0975,,,,,
b0976,,,,,
b0977,,,,,
b0978,,,,,
b0979,,,,,
b0980,,,,,
b0981,,,,,
b0982,,,,,
b0983,,,,,
b0984,,,,,
b0985,,,,,
b0986,,,,,
b0987,,,,,
b0989,,,,,
b0990,,,,,
b0991,,,,,
b0992,,,,,
b0993,,,,,
b0994,,,,,
b0995,,,,,
b0996,,,,,
b0997,,,,,
b0998,,,,,
b0999,,,,,
b1000,563,461,399,371,363
b1001,,,,,
b1002,3301,2538,1420,760,413
b1003,3432,2148,1953,1998,1719
b1004,8877,5951,5237,4283,3794
b1006,,,,,
b1007,,,,,
b1008,,,,,
b1009,,,,,
b1010,,,,,
b1011,,,,,
b1012,,,,,
b1013,,,,,
b1014,,,,,
b1015,,,,,
b1018,271,462,623,446,731
b1019,,,,,
b1020,,,,,
b1021,,,,,
b1022,,,,,
b1023,,,,,
b1024,,,,,
b1025,,,,,
b1026,,,,,
b1027,,,,,
b1028,,,,,
b1029,,,,,
b1032,,,,,
b1033,379,473,434,409,372
b1034,,,,,
b1035,440,534,549,569,652
b1036,,,,,
b1037,,,,,
b1038,686,,,,
b1039,,,,,
b1040,110,,,,
b1041,,,,,
b1042,2405,,,,
b1043,514,,,,
b1044,,,,,
b1045,466,321,239,181,171
b1046,,,,,
b1047,,,,,
b1048,1599,2344,2129,1946,1419
b1049,43,57,44,,39
b1050,,,,,
b1051,760,514,417,389,315
b1053,,,,,
b1054,,,,,
b1055,,,,,
b1056,907,911,896,744,613
b1057,,,,,
b1058,,,,,
b1059,275,328,286,273,297
b1060,,,,,
b1061,,,,,
b1062,1132,1270,1251,1441,1325
b1063,,,,,
b1064,1510,1498,1539,1518,1387
b1065,,,,,
b1066,,,,,
b1067,477,499,484,469,492
b1068,,,,,
b1069,,,,,
b1070,155,,,,
b1071,542,,,,
b1072,,,,,
b1073,,,,,
b1074,,,,,
b1075,,,,,
b1076,,,,,
b1077,,,,,
b1078,,,,,
b1079,106,,,,
b1080,,,,,
b1081,,,,,
b1082,143,,,,
b1083,321,,,,
b1084,1207,924,965,935,990
b1085,,,,,
b1086,58,66,61,57,64
b1087,691,591,459,355,319
b1088,284,312,349,330,395
b1089,4759,4703,5144,5972,7280
b1090,,,,,
b1091,1750,1681,1562,1413,1560
b1092,3403,3296,3389,3079,3392
b1093,3636,3469,3484,3534,3790
b1094,35187,20622,25519,21359,18505
b1095,713,853,935,940,964
b1096,,,,,
b1097,,,,,
b1098,54,54,53,54,61
b1099,,,,,
b1100,,,,,
b1101,1594,2549,3073,2949,1416
b1102,,,,,
b1103,3886,4006,3875,3551,3388
b1104,,,,,
b1105,381,290,239,258,236
b1106,,,,,
b1107,84,88,93,90,105
b1108,1399,1121,957,839,860
b1109,353,314,314,314,420
b1110,,,,,
b1111,,,,,
b1112,,,,,
b1113,,,,,
b1114,62,60,53,50,54
b1115,,,,,
b1116,,,,,
b1117,121,119,109,106,129
b1118,,,,,
b1119,109,,,,
b1120,252,280,312,260,266
b1121,,,,,
b1122,,,,,
b1123,4711,4067,4239,3790,3210
b1124,,,,,
b1125,,,,,
b1126,211,235,250,235,265
b1127,582,475,452,388,250
b1128,842,722,657,594,608
b1129,,,,,
b1130,1354,1564,1416,1332,1213
b1131,1378,1397,1643,1811,2221
b1132,,,,,
b1133,138,188,149,122,148
b1134,,,,,
b1135,,,,,
b1136,11865,17198,18013,14633,13764
b1137,,,,,
b1138,,,,,
b1139,,,,,
b1140,,,,,
b1141,,,,,
b1143,,,,,
b1144,,,,,
b1145,,,,,
b1146,,,,,
b1147,,,,,
b1148,,,,,
b1150,,,,,
b1151,,,,,
b1152,,,,,
b1153,,,,,
b1154,,,,,
b1155,,,,,
b1156,,,,,
b1157,,,,,
b1158,,,,,
b1159,,,,,
b1160,,,,,
b1161,,,,,
b1162,,,,,
b1163,,,,,
b1164,,,,,
b1165,,,,,
b1166,,,,,
b1167,,,,,
b1168,,,,,
b1171,,,,,
b1172,,,,,
b1174,1989,1558,1417,1425,1330
b1175,2981,2890,2523,2024,1663
b1176,113,113,121,102,119
b1177,,,,,
b1178,,,,,
b1179,433,517,500,466,489
b1180,170,193,127,84,112
b1181,,,,,
b1182,216,,,,
b1183,,,,,
b1184,,,,,
b1185,,,,,
b1186,,,,,
b1187,255,277,224,209,206
b1188,75,52,61,51,40
b1189,316,451,452,400,207
b1190,65,62,45,27,14
b1191,,,,,
b1192,80,81,70,53,61
b1193,,,,,
b1194,,,,,
b1195,,,,,
b1196,,,,,
b1197,1737,876,461,300,235
b1198,62,,,108,
b1199,326,226,186,196,208
b1200,1801,1480,977,850,553
b1201,,,,,
b1202,,,,,
b1203,609,811,965,973,1149
b1204,,,,,
b1205,,,,,
b1206,,,,,
b1207,2808,3275,3299,3029,3197
b1208,,,,,
b1209,103,92,107,93,103
b1210,,,,,
b1211,,,,,
b1212,,,,,
b1213,,,,,
b1214,,,,,
b1215,2438,2429,2468,2370,2475
b1216,,,,,
b1217,383,127,118,115,129
b1218,,,,,
b1219,3328,2498,1429,995,872
b1220,,,,,
b1221,593,645,863,818,729
b1222,,,,,
b1223,,,,,
b1224,,,,,
b1225,,,,,
b1226,,,,,
b1227,,,,,
b1229,,,,,
b1232,515,663,580,837,888
b1233,,,,,
b1234,,,,,
b1235,,,,,
b1236,1676,1482,1455,1419,1522
b1237,26214,24592,21288,17995,15555
b1238,,,,,
b1241,7586,7434,7706,7499,6020
b1242,,,,,
b1243,8618,9052,10368,9371,9443
b1244,,,,,
b1245,,,,,
b1246,,,,,
b1247,,,,,
b1248,,,,,
b1249,,,,,
b1250,,,,,
b1251,2920,3986,4284,3673,3146
b1252,,,,,
b1253,,,,,
b1254,,,,,
b1255,,,,,
b1256,,,,,
b1257,1279,620,377,220,169
b1258,1809,1634,904,716,438
b1259,531,,,,
b1260,1703,2050,2491,2406,3169
b1261,1269,1525,1619,1922,1980
b1262,478,492,501,599,746
b1263,218,188,194,321,318
b1264,92,106,73,135,127
b1266,,,,,
b1267,634,524,414,362,368
b1268,,,,,
b1269,125,151,161,154,151
b1270,,,,,
b1271,,,,,
b1272,63,67,79,78,82
b1273,654,583,559,524,603
b1274,447,411,393,353,377
b1275,152,168,197,181,165
b1276,2007,1891,1696,1058,797
b1277,,,,,
b1278,,,,,
b1279,523,,,,
b1280,34,37,28,22,20
b1281,170,226,296,309,425
b1282,,,,,
b1283,,,,,
b1284,220,257,216,204,171
b1285,,,,,
b1286,283,347,370,426,479
b1287,,,,,
b1288,7240,6740,6601,6948,8913
b1289,,,,,
b1290,,,,,
b1291,,,,,
b1292,,,,,
b1293,,,,,
b1294,43,,33,33,24
b1295,211,,,,
b1296,,,,,
b1297,,,,,
b1298,,,,,
b1299,,,,,
b1300,,,,,
b1301,,,,,
b1302,,,,,
b1303,,,,,
b1304,1501,1708,1502,1440,1118
b1305,44,53,56,45,38
b1306,,,,,
b1307,,,,,
b1308,936,,,,
b1309,,,,,
b1310,,,,,
b1311,,,,,
b1312,,,,,
b1313,,,,,
b1314,,,,,
b1315,,,,,
b1316,,,,,
b1317,,,,,
b1319,,,,,
b1320,,,,,
b1321,477,,350,,397
b1322,,,,,
b1323,83,74,71,62,59
b1324,10276,12459,12420,11797,12450
b1325,297,265,175,124,92
b1326,110,118,65,72,45
b1327,,,,,
b1328,,,,,
b1329,509,463,377,250,193
b1330,,,,,
b1332,,,,,
b1333,1921,1727,1339,1094,900
b1334,833,954,1142,1058,1125
b1335,,,,,
b1336,,,,,
b1337,,,,,
b1338,,,,,
b1339,,,,,
b1340,,,,,
b1341,36,,38,20,17
b1342,,,,,
b1343,,,,,
b1344,,,,,
