Compound Name,Compound Id (KEGG),glc,glyc,ac,"E. coli (mM), WT(Mar), Ishii et al. 2007'","E. coli (mM), WT(Jun), Ishii et al. 2007'","E. coli (mM), WT(Jul), Ishii et al. 2007'","E. coli (mM), WT(Sep), Ishii et al. 2007'","E. coli (mM), WT(Oct), Ishii et al. 2007'","Human muscle (mM), Bergstrom et al. 1974'","S. cerevisiae (umol/G CDW), Hake Flask (n=4) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 1 (n=20) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 2 (n=20) , Ewald et al. 2009'","S. cerevisiae (mM), Glucose, Fendt et al. 2010'","S. cerevisiae (mM), Galactose, Fendt et al. 2010'","S. cerevisiae (mM), Ethanol, Fendt et al. 2010'","S. cerevisiae (mM), CEN.PK 113-7D, Kummel et al. 2010'","S. cerevisiae (mM), CEN-PK JT4, Kummel et al. 2010'","S. cerevisiae (mM), FY4, Kummel et al. 2010'","Bacillus subtilis (mM), Glucose,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 1,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 2,  Kleijn et al. 2010'"
'L-Glutamine',64,3.77,0.4,0.193,0.569,0.449,0.494,1.32,0.371,19.45,nan,nan,nan,80.35,65.58,18.02,nan,nan,nan,3.87,9.38,36.6
'L-Serine',65,0.0676,0.175,0.0975,0.202,0.156,0.343,0.661,0.182,0.98,8.46,5.04,3.98,nan,nan,nan,5.602,4.852,5.086,0.77,0.67,0.57
'L-Methionine',73,0.145,0.129,0.0659,0.0343,0.0258,0.0303,0.0262,0.0423,0.11,nan,nan,nan,nan,nan,nan,0.223,0.197,0.206,0.14,0.27,0.25
'Phosphoenolpyruvate',74,0.184,1.34,0.909,0.0911,0.175,nan,nan,0.0946,nan,nan,nan,nan,0.19,0.2,0.62,0.064,0.03,0.064,0.33,0.21,0.92
'UTP',75,8.29,3.99,2.37,0.846,0.888,0.663,0.648,0.134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Ornithine',77,0.0101,0.0303,0.064,0.0743,0.0939,0.12,0.0896,0.109,0.3,7.51,5.88,4.98,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Tryptophan',78,0.0115,0.00466,0.000896,nan,nan,0.00939,0.0121,nan,nan,nan,nan,nan,0.03,0.03,0.02,nan,nan,nan,1.05,2.33,2.83
'L-Phenylalanine',79,0.0182,0.0421,0.0274,0.0557,0.0517,0.0657,0.0548,0.0535,0.07,0.59,0.74,0.43,0.35,0.34,0.24,0.428,0.39,0.222,0.13,0.09,0.04
'ITP',81,0.205,nan,nan,0.21,0.314,0.207,0.214,0.0433,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Tyrosine',82,0.0289,0.0874,0.0522,nan,0.0271,0.0378,0.0451,0.0279,0.1,0.82,1.1,0.68,0.16,0.17,0.32,0.405,0.423,0.146,0.15,0.2,0.17
'Malonyl-CoA',83,0.0345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Fructose 6-phosphate',85,nan,nan,nan,0.0545,0.045,0.0551,0.039,0.0259,nan,1.86,1.03,0.87,0.32,0.29,0.24,0.175,0.219,0.051,0.16,0.07,0.01
'Succinyl-CoA',91,0.233,1.44,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Glucose 6-phosphate',92,8.75,5.48,4.36,0.129,0.185,0.18,0.246,0.165,nan,7.82,4.56,4.19,3.7,3.82,1.29,1.282,1.335,0.548,0.43,0.23,0.11
'sn-Glycerol 3-phosphate',93,0.049,0.813,0.246,0.112,0.372,nan,0.213,0.219,nan,0.28,0.34,0.26,0.5,0.39,0.09,nan,nan,nan,0.57,0.51,0.4
'L-Cysteine',97,nan,nan,nan,nan,nan,nan,nan,nan,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'beta-Alanine',99,nan,nan,nan,nan,nan,0.0115,nan,0.00782,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Propanoyl-CoA',100,0.00532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Glucose 1-phosphate',103,nan,nan,nan,0.015,0.0317,0.0334,0.107,0.131,nan,nan,nan,nan,0.09,0.94,0.05,nan,nan,nan,0.23,0.12,0.02
'IDP',104,0.0237,nan,nan,0.0973,0.117,0.0747,0.0775,0.0249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'UMP',105,nan,nan,nan,0.124,0.455,0.129,0.153,0.0746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Anthranilate',108,0.00348,0.00266,0.00344,nan,nan,0.00507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Glycerone phosphate',111,0.374,0.544,0.147,nan,nan,nan,nan,0.126,nan,nan,nan,nan,0.72,0.64,0.03,0.067,0.071,0.031,0.93,0.93,0.54
'CDP',112,nan,nan,nan,0.115,0.34,0.144,0.25,0.0872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Ribose 5-phosphate',117,1.32,1.02,0.686,0.0692,0.0127,nan,0.0268,nan,nan,0.62,0.45,0.42,0.41,0.49,0.02,0.06,0.068,0.013,0.24,0.2,0.07
'D-Glyceraldehyde 3-phosphate',118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12,0.08,0.07
'5-Phospho-alpha-D-ribose 1-diphosphate',119,0.258,0.153,0.0944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Fumarate',122,0.121,0.288,0.298,0.0696,0.0702,nan,nan,0.0315,nan,0.1,0.2,0.17,1.65,1.45,4.53,0.129,0.122,0.364,0.52,nan,nan
'L-Leucine',123,0.303,0.438,0.341,nan,0.107,0.12,nan,nan,0.15,0.37,0.6,0.27,nan,nan,nan,0.301,0.242,0.248,1.23,1.93,0.91
'D-Galactose',124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Glutathione disulfide',127,2.37,7.31,1.68,nan,0.126,3.67,1.4,0.083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
